date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2016-10-06,Running,False,San Antonio Running,3.16,351,00:25:05,149,163,3.0,177,185,7:57,6:39,141,148,1.16,8.6,9.4,255,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:05,0:00,84.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:57,0 days 00:07:57
2016-10-07,Pool Swimming,False,Lap Swimming,"2,600",460,00:45:58,0,0,0.0,0,0,1:31,1:09,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,921,33,26,0,0,45:58,0:00,0.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:01:31,0 days 00:01:31
2016-10-10,Cycling,False,San Antonio Cycling,9.13,794,01:00:00,154,182,3.3,0,0,9.1,24.8,289,322,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:00,0:00,75.2,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-11,Cycling,False,San Antonio Cycling,45.48,"1,261",02:06:00,145,190,3.9,0,0,21.7,34.5,778,774,0.0,0.0,0.0,0,0,89,120,213,44% L / 56% R,237.4,220,167,"1,039",0.0,0.0,9332,0,0,0,0,2:06:00,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-14,Cycling,False,San Antonio Cycling,9.02,886,01:01:08,162,185,4.1,0,0,8.9,21.9,276,289,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:01:08,0:00,80.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-15,Cycling,False,Comfort Cycling,14.82,"1,031",01:12:23,163,184,4.0,0,0,12.3,22.9,"1,079","1,142",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:12:23,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-15,Cycling,False,Comfort Cycling,6.67,518,00:37:53,155,179,3.0,0,0,10.6,21.5,466,472,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,37:53,0:00,80.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-16,Cycling,False,San Antonio Cycling,45.96,"1,425",02:17:32,137,180,2.7,0,0,20.0,35.6,948,919,0.0,0.0,0.0,0,0,90,120,216,45% L / 55% R,265.3,211,173,"1,273",0.0,0.0,10650,0,0,0,0,2:17:32,0:00,75.2,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-18,Cycling,False,San Antonio Cycling,39.52,989,01:57:43,139,193,3.5,0,0,20.1,36.7,633,669,0.0,0.0,0.0,0,0,85,115,199,45% L / 55% R,193.8,217,141,"1,110",0.0,0.0,7354,0,0,0,0,1:57:43,0:00,78.8,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2016-10-20,Indoor Cycling,False,Indoor Cycling,8.81,365,00:30:00,150,188,3.0,0,0,17.6,27.3,0,13,0.0,0.0,0.0,0,0,93,119,254,46% L / 54% R,79.5,234,213,586,0.0,0.0,2794,0,0,0,0,30:00,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
