date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2020-02-07,Hiking,False,Eagle County Hiking,5.57,428,08:40:17,0,0,0.0,0,0,45:23,1:02,"2,462",49,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8:40:17,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:45:23,0 days 00:45:23
2020-02-07,Other,False,Eagle County Ski-Tour,6.81,"3,251",08:38:03,121,166,2.5,0,0,0.8,4.2,"2,923",725,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8:38:03,0:00,57.2,0:00,No,00:32.26,22,0.0,9,garmin,0,00:00:00,00:00:00
2020-02-08,Other,False,Eagle County Ski-Tour,2.54,881,01:59:04,113,152,2.0,0,0,1.3,15.4,856,906,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:59:04,0:00,69.8,0:00,No,01:30.06,6,0.0,9,garmin,0,00:00:00,00:00:00
2020-02-08,Hiking,False,Eagle County Hiking,2.26,173,02:09:11,0,0,0.0,0,0,32:07,4:13,812,797,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:09:11,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:32:07,0 days 00:32:07
2020-02-08,Hiking,False,Eagle County Hiking,3.77,285,03:20:12,0,0,0.0,0,0,33:09,3:40,985,988,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3:20:12,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:33:09,0 days 00:33:09
2020-02-09,Hiking,False,Eagle County Hiking,1.40,112,00:57:48,0,0,0.0,0,0,36:30,4:05,364,346,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,57:48,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:36:30,0 days 00:36:30
2020-02-10,Hiking,False,Eagle County Hiking,1.95,182,01:02:24,0,0,0.0,0,0,29:58,3:45,"1,495","1,473",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:02:24,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:29:58,0 days 00:29:58
2020-02-10,Other,False,Eagle County Ski-Tour,2.33,484,01:40:08,94,134,1.1,0,0,1.4,16.5,"1,798","1,713",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:40:08,0:00,51.8,0:00,No,00:30.00,9,0.0,9,garmin,0,00:00:00,00:00:00
2020-02-10,Other,False,Eagle County Ski-Tour,0.32,90,00:14:05,102,119,1.1,0,0,1.3,12.5,194,79,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:05,0:00,48.2,0:00,No,03:34.49,2,0.0,9,garmin,0,00:00:00,00:00:00
2020-02-10,Hiking,False,Eagle County Hiking,3.27,262,01:03:55,0,0,0.0,0,0,18:59,3:03,7,"2,430",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:03:55,0:00,0.0,0:00,No,00:00.00,1,0.0,9,garmin,0,0 days 00:18:59,0 days 00:18:59
