,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,4,2018-01-26,Running,False,San Antonio Running,2.25,251,00:20:52,140,156,2.3,168,178,9:18,8:26,62,89,0.98,9.5,9.3,278,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:52,0:00,69.8,0:00,No,00:00.00,3,0.0,9,garmin,0,0 days 00:09:18,0 days 00:09:18,27.555555555555557,0.8588957055214724,9.462365591397848,6.451612903225806,9.462494451143122,11.017047110973778
1,6,2018-01-27,Running,False,San Antonio Running,3.14,376,00:26:30,162,174,3.1,170,178,8:26,7:16,89,98,1.07,9.4,10.1,261,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:30,0:00,66.2,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:26,0 days 00:08:26,28.343949044585987,0.9938650306748467,10.43478260869565,7.1146245059288535,10.434932958599033,10.499346125010138
2,8,2018-01-28,Running,False,San Antonio Running,9.07,"1,167",01:22:17,162,176,4.3,169,176,9:04,7:03,289,236,1.02,9.4,9.7,269,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:22:17,0:00,71.6,0:00,No,00:00.00,10,0.0,9,garmin,0,0 days 00:09:04,0 days 00:09:04,31.863285556780593,0.9938650306748467,9.705882352941176,6.61764705882353,9.706059084594193,9.765973029560824
3,12,2018-01-31,Running,False,San Antonio Running,5.23,577,00:43:21,162,184,3.3,172,213,8:18,4:07,171,180,1.09,8.7,9.4,265,49.6% L / 50.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,43:21,0:00,64.4,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:08:18,0 days 00:08:18,32.69598470363288,0.9938650306748467,10.602409638554215,7.228915662650602,10.60261291704083,10.668061144923797
4,17,2018-02-03,Running,False,WTF Garmin!? You blew it!!,1.93,229,00:17:29,151,164,2.6,171,178,9:04,7:44,75,171,1.04,9.5,9.9,262,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,17:29,0:00,60.8,0:00,No,00:00.00,2,0.0,9,garmin,0,0 days 00:09:04,0 days 00:09:04,38.86010362694301,0.9263803680981595,9.705882352941176,6.61764705882353,9.706145221842396,10.477494510995434
5,22,2018-02-10,Running,False,San Antonio Running,4.05,484,00:36:45,150,166,3.2,171,208,9:04,7:14,157,118,0.99,9.9,9.8,263,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:45,0:00,66.2,0:00,No,00:00.00,5,0.0,9,garmin,0,0 days 00:09:04,0 days 00:09:04,38.76543209876544,0.9202453987730062,9.705882352941176,6.61764705882353,9.706143942610007,10.547343084302874
6,25,2018-02-14,Running,False,San Antonio Running,6.27,692,00:49:28,162,181,3.8,172,194,7:53,5:06,203,223,1.14,8.6,9.8,259,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,49:28,0:00,69.8,0:00,No,00:00.00,7,0.0,9,garmin,0,0 days 00:07:53,0 days 00:07:53,32.376395534290275,0.9938650306748467,11.162790697674417,7.6109936575052854,11.163000556797074,11.2319079676415
7,27,2018-02-15,Running,False,San Antonio Running,1.35,148,00:11:12,150,165,2.2,172,183,8:17,7:04,62,52,1.13,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11:12,0:00,75.2,0:00,No,00:00.00,2,0.0,9,garmin,0,0 days 00:08:17,0 days 00:08:17,45.925925925925924,0.9202453987730062,10.62374245472837,7.2434607645875255,10.624144326332999,11.544903501281858
8,30,2018-02-16,Running,False,San Antonio Running,5.97,605,00:47:34,156,177,3.4,171,185,7:58,5:27,302,240,1.17,8.5,10.1,258,49.2% L / 50.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:34,0:00,68.0,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:07:58,0 days 00:07:58,50.586264656616414,0.9570552147239264,11.04602510460251,7.531380753138075,11.04653205263653,11.542209772947144
9,40,2018-02-26,Running,False,San Antonio Running,6.03,664,00:49:21,150,163,3.3,170,178,8:11,6:42,249,253,1.13,8.5,9.8,264,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,49:21,0:00,55.4,0:00,No,00:00.00,7,0.0,9,garmin,0,0 days 00:08:11,0 days 00:08:11,41.29353233830846,0.9202453987730062,10.753564154786151,7.3319755600814664,10.753893015517999,11.685897076862892
10,42,2018-02-28,Running,False,San Antonio Running,5.92,690,00:46:43,156,171,3.6,172,183,7:54,6:02,243,256,1.16,8.3,9.8,260,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,46:43,0:00,77.0,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:07:54,0 days 00:07:54,41.0472972972973,0.9570552147239264,11.139240506329113,7.594936708860759,11.139577111134884,11.639429930224269
11,46,2018-03-03,Running,False,San Antonio Running,3.57,459,00:31:02,155,168,3.2,166,184,8:41,6:50,154,154,1.05,9.9,10.4,270,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:02,0:00,69.8,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:41,0 days 00:08:41,43.13725490196079,0.950920245398773,10.134357005758156,6.90978886756238,10.134695223294008,10.657776267076924
