date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_power_np,lr_balance,training_stress_score,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2019-10-16,Running,False,Wheat Ridge Running,5.32,615,00:43:53,148,163,3.6,171,198,8:15,5:55,269,223,1.12,8.7,9.8,261,49.8% L / 50.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,43:53,0:00,55.4,0:00,No,02:11.18,6,0.0,9,garmin,0,0 days 00:08:15,0 days 00:08:15
2019-10-16,Indoor Cycling,False,Pettit - TrainerRoad,19.34,575,01:00:00,123,142,0.0,0,0,19.4,20.5,0,0,0.0,0.0,0.0,0,0,91,95,162,0,39.0,176,160,202,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,01:00.00,10,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-17,Indoor Cycling,False,Geiger - TrainerRoad,15.58,685,01:00:00,113,135,0.0,0,0,17.2,19.8,0,0,0.0,0.0,0.0,0,0,88,99,212,0,67.0,217,191,324,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:30.00,25,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-17,Indoor Cycling,False,Geiger - TrainerRoad,2.06,108,00:12:36,113,135,0.0,0,0,17.8,19.8,0,0,0.0,0.0,0.0,0,0,88,99,165,0,8.0,0,145,324,0.0,0.0,0,0,0,0,0,12:36,0:00,0.0,0:00,No,00:30.00,8,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-18,Running,False,Wheat Ridge Running,4.80,576,00:36:25,164,184,4.1,173,182,7:35,6:09,213,171,1.22,7.9,9.7,257,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:25,0:00,62.6,0:00,No,00:29.31,11,0.0,9,garmin,0,0 days 00:07:35,0 days 00:07:35
2019-10-19,Indoor Cycling,False,Warlow - TrainerRoad,33.12,"1,114",01:42:00,140,176,0.0,0,0,19.5,22.4,0,0,0.0,0.0,0.0,0,0,90,103,220,0,123.0,219,183,324,0.0,0.0,0,0,0,0,0,1:42:00,0:00,0.0,0:00,No,01:00.00,39,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-19,Running,False,Wheat Ridge Running,3.61,443,00:30:09,149,161,3.1,171,187,8:21,5:44,207,128,1.11,8.6,9.7,263,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:09,0:00,68.0,0:00,No,04:20.16,4,0.0,9,garmin,0,0 days 00:08:21,0 days 00:08:21
2019-10-20,Running,False,Wheat Ridge Running,13.14,"1,413",01:51:02,148,161,3.2,171,192,8:27,6:22,"67,986","119,816",1.1,8.9,9.9,259,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:51:02,0:00,-157.0,0:00,No,01:11.78,14,0.0,9,garmin,0,0 days 00:08:27,0 days 00:08:27
2019-10-22,Indoor Cycling,False,Carillon - TrainerRoad,16.71,763,01:00:00,0,0,0.0,0,0,16.7,18.6,0,0,0.0,0.0,0.0,0,0,0,0,234,0,82.0,254,213,843,0.0,0.0,0,0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:30.00,41,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-22,Indoor Cycling,False,Indoor Cycling,0.00,603,00:47:45,147,171,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,89,99,231,45% L / 55% R,57.8,241,214,344,0.0,0.0,4298,0,0,0,0,47:45,0:00,57.2,0:00,No,00:12.93,18,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-23,Indoor Cycling,False,Indoor Cycling,11.83,446,00:35:58,153,170,0.0,0,0,19.7,21.3,0,0,0.0,0.0,0.0,0,0,92,98,227,45% L / 55% R,41.7,227,207,283,0.0,0.0,3330,0,0,0,0,35:58,0:00,59.0,0:00,No,05:49.57,4,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-23,Indoor Cycling,False,Tallac - TrainerRoad,21.19,795,01:05:00,147,170,0.0,0,0,19.6,21.3,0,0,0.0,0.0,0.0,0,0,91,99,222,0,80.0,227,204,283,0.0,0.0,0,0,0,0,0,1:05:00,0:00,0.0,0:00,No,01:00.00,26,0.0,9,garmin,0,00:00:00,00:00:00
2019-10-23,Running,False,Wheat Ridge Running,5.21,608,00:41:07,152,161,3.3,174,185,7:53,5:27,292,253,1.17,8.1,9.6,252,49.8% L / 50.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,41:07,0:00,50.0,0:00,No,01:24.06,6,0.0,9,garmin,0,0 days 00:07:53,0 days 00:07:53
