,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2016-11-02,Running,False,San Antonio Running,2.09,206,00:19:33,127,144,1.9,167,175,9:22,7:28,121,138,1.04,9.9,9.5,278,49.7% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,19:33,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:09:22,0 days 00:09:22,57.89473684210527,0.7791411042944786,9.395017793594304,6.405693950177936,9.395582554832224,12.058897294784664
1,5,2016-11-06,Running,False,San Antonio Running,7.64,942,01:06:44,159,172,3.7,170,181,8:44,6:42,190,171,1.09,9.1,9.6,271,50.1% L / 49.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:06:44,0:00,75.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:44,0 days 00:08:44,24.86910994764398,0.9754601226993865,10.076335877862595,6.870229007633588,10.076447647250077,10.329943185545677
2,8,2016-11-09,Running,False,San Antonio Running,3.21,346,00:27:49,144,158,2.6,173,184,8:41,7:26,151,174,1.08,9.1,9.4,264,50.1% L / 49.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:49,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:41,0 days 00:08:41,47.0404984423676,0.8834355828220859,10.134357005758156,6.90978886756238,10.134759197890459,11.471984369834338
3,12,2016-11-13,Running,False,San Antonio Running,8.1,904,01:10:57,149,161,3.2,173,184,8:46,6:36,230,236,1.07,8.9,9.3,267,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:10:57,0:00,66.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:46,0 days 00:08:46,28.395061728395063,0.9141104294478528,10.03802281368821,6.844106463878326,10.038167968966212,10.981351536520084
4,17,2016-11-18,Running,False,West Bloomfield Running,4.0,419,00:30:40,159,171,3.2,176,256,7:40,5:51,79,79,1.2,8.2,9.4,256,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:40,0:00,64.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:40,0 days 00:07:40,19.75,0.9754601226993865,11.478260869565217,7.826086956521739,11.478341168712042,11.767104468553853
5,18,2016-11-19,Running,False,West Bloomfield Running,10.05,"1,082",01:22:21,157,165,3.4,174,191,8:12,6:07,243,249,1.13,8.0,8.9,259,50.3% L / 49.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:22:21,0:00,46.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:12,0 days 00:08:12,24.17910447761194,0.9631901840490797,10.73170731707317,7.317073170731708,10.731819842100183,11.141953084473439
6,19,2016-11-21,Running,False,West Bloomfield Running,7.0,734,00:54:53,158,175,3.4,173,214,7:50,4:25,154,151,1.2,8.0,9.2,266,49.9% L / 50.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,54:53,0:00,42.8,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:50,0 days 00:07:50,22.0,0.9693251533742331,11.23404255319149,7.659574468085107,11.234140070498736,11.58965083222338
7,21,2016-11-22,Running,False,Battle Creek Running,4.04,432,00:32:01,152,161,3.0,175,185,7:55,6:42,144,148,1.17,7.9,9.1,259,50.3% L / 49.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,32:01,0:00,51.8,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:55,0 days 00:07:55,35.64356435643565,0.9325153374233128,11.11578947368421,7.578947368421052,11.116042753031516,11.920493215421956
8,24,2016-11-25,Running,False,Battle Creek Running,3.07,361,00:25:26,156,167,3.0,178,256,8:17,7:14,112,105,1.1,8.3,8.9,256,50.7% L / 49.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:26,0:00,50.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:17,0 days 00:08:17,36.48208469055375,0.9570552147239264,10.62374245472837,7.2434607645875255,10.623996045709603,11.100713816991444
9,28,2016-11-30,Running,False,San Antonio Running,5.73,597,00:46:17,150,162,3.2,176,187,8:05,5:17,266,276,1.13,8.1,9.1,258,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,46:17,0:00,57.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:05,0 days 00:08:05,46.42233856893542,0.9202453987730062,10.886597938144329,7.422680412371133,10.887018703505378,11.830560324475844
