,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2016-09-15,Running,False,San Antonio Running,1.53,165,00:11:29,148,159,2.2,173,183,7:31,6:43,59,59,1.3,8.3,10.0,255,50.5% L / 49.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11:29,0:00,75.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:31,0 days 00:07:31,38.56209150326797,0.9079754601226994,11.707317073170731,7.982261640798226,11.707629303372979,12.89421335439051
1,3,2016-09-16,Running,False,San Antonio Running,5.6,638,00:44:00,150,163,3.3,169,178,7:52,6:29,243,236,1.21,8.2,9.9,266,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,44:00,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:52,0 days 00:07:52,43.392857142857146,0.9202453987730062,11.1864406779661,7.627118644067797,11.18681844429292,12.156342709464973
2,5,2016-09-17,Running,False,San Antonio Running,2.01,237,00:15:34,154,161,2.6,173,186,7:45,6:28,72,69,1.21,8.2,9.7,262,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15:34,0:00,86.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:45,0 days 00:07:45,35.820895522388064,0.9447852760736196,11.354838709677418,7.741935483870968,11.35510001665687,12.018709757890063
3,7,2016-09-18,Running,False,San Antonio Running,9.01,"1,046",01:17:33,147,156,3.1,169,178,8:37,7:04,243,240,1.11,9.3,10.1,267,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:17:33,0:00,78.8,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:37,0 days 00:08:37,26.970033296337405,0.901840490797546,10.212765957446807,6.963249516441006,10.212899188564467,11.32450726351026
4,11,2016-09-20,Running,False,San Antonio Running,2.01,217,00:15:21,147,158,2.4,172,182,7:39,6:09,82,69,1.23,8.3,10.0,258,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15:21,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:39,0 days 00:07:39,40.79601990049752,0.901840490797546,11.503267973856207,7.8431372549019605,11.50361133607334,12.755705086938464
5,15,2016-09-22,Running,False,San Antonio Running,2.02,209,00:14:54,147,162,2.3,172,183,7:23,5:44,72,69,1.29,8.2,10.4,251,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:54,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:23,0 days 00:07:23,35.64356435643565,0.901840490797546,11.918735891647854,8.126410835214447,11.91900746656878,13.21631440170552
6,17,2016-09-24,Running,False,San Antonio Running,1.62,188,00:12:54,149,169,2.3,173,198,7:57,6:16,46,46,1.18,8.4,9.7,259,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,12:54,0:00,80.6,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:57,0 days 00:07:57,28.39506172839506,0.9141104294478528,11.069182389937106,7.547169811320755,11.069342456344296,12.109414901906847
7,26,2016-10-06,Running,False,San Antonio Running,3.16,351,00:25:05,149,163,3.0,177,185,7:57,6:39,141,148,1.16,8.6,9.4,255,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:05,0:00,84.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:57,0 days 00:07:57,44.620253164556964,0.9141104294478528,11.069182389937106,7.547169811320755,11.069577641876101,12.109672185408083
8,36,2016-10-20,Running,False,San Antonio Running,3.4,444,00:31:15,152,166,3.1,171,190,9:11,8:04,177,167,1.03,9.4,9.3,270,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:15,0:00,73.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:09:11,0 days 00:09:11,52.05882352941177,0.9325153374233128,9.582577132486387,6.533575317604355,9.583042892957407,10.276552576000377
9,38,2016-10-23,Running,False,San Antonio Running,3.45,201,00:27:10,145,154,2.1,175,183,7:52,6:11,167,167,1.17,8.1,9.4,256,49.7% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:10,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:52,0 days 00:07:52,48.405797101449274,0.8895705521472392,11.1864406779661,7.627118644067797,11.186910766556217,12.575630723783885
10,41,2016-10-25,Running,False,San Antonio Running,3.56,373,00:31:12,138,151,2.6,169,180,8:46,7:39,95,105,1.09,9.1,9.7,266,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:12,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:46,0 days 00:08:46,26.685393258426966,0.8466257668711656,10.03802281368821,6.844106463878326,10.038151015681885,11.856656634464835
11,45,2016-10-27,Running,False,College Station Running,6.03,648,00:47:27,154,165,3.5,169,178,7:52,6:37,138,167,1.22,8.5,10.3,261,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:27,0:00,64.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:52,0 days 00:07:52,22.88557213930348,0.9447852760736196,11.1864406779661,7.627118644067797,11.186545756884039,11.840304924494145
12,51,2016-11-02,Running,False,San Antonio Running,2.09,206,00:19:33,127,144,1.9,167,175,9:22,7:28,121,138,1.04,9.9,9.5,278,49.7% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,19:33,0:00,77.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:09:22,0 days 00:09:22,57.89473684210527,0.7791411042944786,9.395017793594304,6.405693950177936,9.395582554832224,12.058897294784664
13,56,2016-11-06,Running,False,San Antonio Running,7.64,942,01:06:44,159,172,3.7,170,181,8:44,6:42,190,171,1.09,9.1,9.6,271,50.1% L / 49.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:06:44,0:00,75.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:44,0 days 00:08:44,24.86910994764398,0.9754601226993865,10.076335877862595,6.870229007633588,10.076447647250077,10.329943185545677
14,59,2016-11-09,Running,False,San Antonio Running,3.21,346,00:27:49,144,158,2.6,173,184,8:41,7:26,151,174,1.08,9.1,9.4,264,50.1% L / 49.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:49,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:41,0 days 00:08:41,47.0404984423676,0.8834355828220859,10.134357005758156,6.90978886756238,10.134759197890459,11.471984369834338
15,63,2016-11-13,Running,False,San Antonio Running,8.1,904,01:10:57,149,161,3.2,173,184,8:46,6:36,230,236,1.07,8.9,9.3,267,50.2% L / 49.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:10:57,0:00,66.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:46,0 days 00:08:46,28.395061728395063,0.9141104294478528,10.03802281368821,6.844106463878326,10.038167968966212,10.981351536520084
16,68,2016-11-18,Running,False,West Bloomfield Running,4.0,419,00:30:40,159,171,3.2,176,256,7:40,5:51,79,79,1.2,8.2,9.4,256,50.4% L / 49.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:40,0:00,64.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:07:40,0 days 00:07:40,19.75,0.9754601226993865,11.478260869565217,7.826086956521739,11.478341168712042,11.767104468553853
17,69,2016-11-19,Running,False,West Bloomfield Running,10.05,"1,082",01:22:21,157,165,3.4,174,191,8:12,6:07,243,249,1.13,8.0,8.9,259,50.3% L / 49.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:22:21,0:00,46.4,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:12,0 days 00:08:12,24.17910447761194,0.9631901840490797,10.73170731707317,7.317073170731708,10.731819842100183,11.141953084473439
