,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,5,2018-02-26,Running,False,San Antonio Running,6.03,664,00:49:21,150,163,3.3,170,178,8:11,6:42,249,253,1.13,8.5,9.8,264,49.5% L / 50.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,49:21,0:00,55.4,0:00,No,00:00.00,7,0.0,9,garmin,0,0 days 00:08:11,0 days 00:08:11,41.29353233830846,0.9202453987730062,10.753564154786151,7.3319755600814664,10.753893015517999,11.685897076862892
1,7,2018-02-28,Running,False,San Antonio Running,5.92,690,00:46:43,156,171,3.6,172,183,7:54,6:02,243,256,1.16,8.3,9.8,260,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,46:43,0:00,77.0,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:07:54,0 days 00:07:54,41.0472972972973,0.9570552147239264,11.139240506329113,7.594936708860759,11.139577111134884,11.639429930224269
2,11,2018-03-03,Running,False,San Antonio Running,3.57,459,00:31:02,155,168,3.2,166,184,8:41,6:50,154,154,1.05,9.9,10.4,270,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:02,0:00,69.8,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:41,0 days 00:08:41,43.13725490196079,0.950920245398773,10.134357005758156,6.90978886756238,10.134695223294008,10.657776267076924
3,13,2018-03-07,Running,False,San Antonio Running,5.94,645,00:45:17,155,177,3.5,170,182,7:38,6:05,279,246,1.22,7.9,9.8,262,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:17,0:00,51.8,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:07:38,0 days 00:07:38,46.96969696969697,0.950920245398773,11.528384279475981,7.860262008733624,11.528840418814774,12.123877343656828
4,18,2018-03-10,Running,False,San Antonio Running,3.6,496,00:31:20,164,178,3.4,165,207,8:42,7:02,135,112,1.03,10.5,10.8,271,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:20,0:00,86.0,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:42,0 days 00:08:42,37.5,1.0061349693251533,10.114942528735632,6.8965517241379315,10.115197635889578,10.053519601524398
5,24,2018-03-16,Running,False,San Antonio Running,2.01,231,00:14:57,166,176,2.7,172,179,7:27,6:48,79,69,1.2,8.4,10.2,256,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:57,0:00,80.6,0:00,No,00:00.00,3,0.0,9,garmin,0,0 days 00:07:27,0 days 00:07:27,39.30348258706468,1.01840490797546,11.812080536912749,8.053691275167784,11.812407790646592,11.59893054141804
6,25,2018-03-18,Running,False,Norfolk Running,3.88,415,00:28:10,161,181,3.2,171,182,7:16,6:08,85,62,1.3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:10,0:00,53.6,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:07:16,0 days 00:07:16,21.90721649484536,0.9877300613496932,12.110091743119265,8.256880733944953,12.11019598017208,12.260633197317075
7,28,2018-03-24,Running,False,Brazos County Running,1.16,130,00:08:53.1,160,174,2.1,167,182,7:39,6:21,36,23,1.22,8.2,10.2,266,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8:53.1,0:00,73.4,0:00,No,00:00.00,2,0.0,9,garmin,1,0 days 00:07:39,0 days 00:07:39,31.03448275862069,0.9815950920245399,11.503267973856207,7.8431372549019605,11.503466678798118,11.719156679025582
