Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
580690535,"May 19, 2016, 12:58:11 AM",#commutescount,Ride,"",1832,8.38,12,false,,activities/634963458.fit.gz,68.03890228271484,,1832.0,1770.0,8386.400390625,8.100000381469727,,101.0,,12.800000190734863,106.80000305175781,24.600000381469727,1.120862364768982,,,93.0,70.21451568603516,173.0,126.2159194946289,,92.11761474609375,181.79869079589844,,14.0,12.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581769723,"May 19, 2016, 3:24:12 PM",Morning Ride,Ride,"",837,4.50,,false,,activities/636075230.fit.gz,68.03890228271484,,837.0,756.0,4508.39990234375,10.5,,11.0,,27.200000762939453,95.4000015258789,8.600000381469727,-1.2687400579452515,,,95.0,65.14990234375,,,,77.9811019897461,65.73339080810547,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582143864,"May 20, 2016, 2:07:09 PM",Windy lap,Ride,"",3463,20.97,55,false,,activities/636462106.fit.gz,68.03890228271484,,3463.0,3378.0,20973.099609375,16.5,,318.0,,13.600000381469727,122.19999694824219,40.0,0.015257639810442924,,,109.0,75.7121810913086,180.0,140.24205017089844,,124.6773681640625,469.5921936035156,,8.0,55.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586445452,"May 24, 2016, 1:50:09 PM",Morning Ride,Ride,,3585,23.46,65,false,,activities/640912374.fit.gz,68.03890228271484,,3585.0,3567.0,23465.69921875,16.100000381469727,,316.0,,8.399999618530273,116.4000015258789,39.0,-0.0230123121291399,,,106.0,78.50904846191406,180.0,143.04910278320312,,128.99887084960938,513.0554809570312,,9.0,65.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587577364,"May 25, 2016, 1:42:35 PM",MEh. Found the cycle track. Misty + Tired,Ride,"",3781,27.57,,false,,activities/642071491.fit.gz,68.03890228271484,,3781.0,3781.0,27569.0,11.699999809265137,,158.0,,35.0,106.4000015258789,28.600000381469727,0.026841742917895317,,,102.0,83.44699096679688,,,,114.48346710205078,482.63916015625,,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591138316,"May 28, 2016, 5:00:06 PM",4 corners. It was a hot one. ,Ride,"",9063,52.82,92,false,,activities/645735359.fit.gz,68.03890228271484,,9063.0,8024.0,52827.30078125,15.100000381469727,,552.0,,0.800000011920929,227.1999969482422,28.600000381469727,-0.025365673005580902,,,123.0,80.40181732177734,185.0,146.42648315429688,,118.017333984375,1055.8697509765625,,20.0,92.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595095812,"Jun 1, 2016, 2:22:07 PM","Me, Karl and some hills",Ride,"",2908,15.48,60,false,,activities/649825932.fit.gz,68.03890228271484,,2908.0,2846.0,15485.2001953125,14.899999618530273,,363.0,,88.80000305175781,263.20001220703125,32.900001525878906,-0.015498669818043709,,,103.0,77.64481353759766,187.0,144.7858123779297,,126.09068298339844,400.1233215332031,,8.0,60.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596155888,"Jun 2, 2016, 2:14:07 PM",Polo field laps,Ride,"",3758,27.78,22,false,,activities/650920772.fit.gz,68.03890228271484,,3758.0,3716.0,27784.900390625,12.199999809265137,,106.0,,14.800000190734863,100.19999694824219,36.70000076293945,0.005038707982748747,,,106.0,82.08992004394531,166.0,103.69711303710938,,116.24144744873047,481.6259765625,,8.0,22.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598558720,"Jun 4, 2016, 2:38:28 PM",Mt. Tam - with Chioma and GARMIN hiccups ,Ride,"",21111,80.71,163,false,,activities/653385823.fit.gz,68.03890228271484,,21111.0,14420.0,80710.1015625,15.600000381469727,,1240.0,,7.800000190734863,761.2000122070312,43.70000076293945,0.036426667124032974,,,119.0,73.7069320678711,189.0,142.4514617919922,,104.21792602539062,1675.6483154296875,,16.0,163.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606333850,"Jun 11, 2016, 2:52:59 PM",Chasing Tom up Mt. Tam - with Em + M. GARMIN died. ,Ride,"",13428,57.66,281,false,OG,activities/661475752.fit.gz,68.03890228271484,8.958450317382812,13428.0,9954.0,57664.1015625,16.799999237060547,,1094.0,,2.799999952316284,748.5999755859375,18.0,0.35724133253097534,,,129.0,79.44559478759766,193.0,155.9497833251953,,130.2380828857422,1445.4737548828125,,15.0,281.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3111233.0,,,,,,,,,,,
