date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2018-08-23,Running,False,Tyler Running,3.02,464,00:31:08,168,188,135,164,0 days 00:10:18,0 days 00:07:10,79,59,1.16,0.0,0.0,0.0,0.0,0.0,31:08,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-08-30,Treadmill Running,False,Treadmill Running,3.11,501,00:30:16,177,195,145,155,0 days 00:09:44,0 days 00:07:45,0,0,1.24,0.0,0.0,0.0,0.0,0.0,30:16,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-09-02,Running,False,Longview Running,7.60,"1,237",01:22:16,170,192,133,152,0 days 00:10:49,0 days 00:08:09,315,279,1.12,0.0,0.0,0.0,0.0,0.0,1:22:16,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0
2018-09-04,Treadmill Running,False,Treadmill Running,3.11,440,00:27:22,175,190,147,158,0 days 00:08:48,0 days 00:08:04,0,0,1.24,0.0,0.0,0.0,0.0,0.0,27:22,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-09-05,Treadmill Running,False,Treadmill Running,3.04,386,00:26:45,161,187,147,154,0 days 00:08:49,0 days 00:08:06,0,0,1.25,0.0,0.0,0.0,0.0,0.0,26:45,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-09-09,Running,False,Longview Running,7.27,"1,175",01:17:25,176,193,137,155,0 days 00:10:39,0 days 00:08:32,230,213,1.1,0.0,0.0,0.0,0.0,0.0,1:17:25,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0
2018-09-11,Treadmill Running,False,Treadmill Running,3.00,485,00:30:26,175,185,143,149,0 days 00:10:09,0 days 00:08:46,0,0,1.22,0.0,0.0,0.0,0.0,0.0,30:26,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-09-15,Running,False,Longview Running,3.01,445,00:29:29,171,187,144,151,0 days 00:09:48,0 days 00:08:14,102,98,1.14,0.0,0.0,0.0,0.0,0.0,29:29,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
2018-09-16,Treadmill Running,False,Treadmill Running,6.67,954,01:00:21,174,191,143,155,0 days 00:09:03,0 days 00:08:39,0,0,1.24,0.0,0.0,0.0,0.0,0.0,1:00:21,0:00,0.0,0:00,No,00:00.00,7,0.0,5,garmin,0
2018-09-18,Treadmill Running,False,Treadmill Running,4.40,595,00:38:29,171,188,146,153,0 days 00:08:45,0 days 00:08:14,0,0,1.26,0.0,0.0,0.0,0.0,0.0,38:29,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0
2018-09-25,Running,False,Tyler Running,2.50,428,00:27:47,171,194,121,153,0 days 00:11:07,0 days 00:07:42,112,121,1.19,0.0,0.0,0.0,0.0,0.0,27:47,0:00,0.0,0:00,No,00:00.00,3,0.0,5,garmin,0
2018-09-25,Indoor Running,False,Indoor Running,1.00,164,00:10:17,177,190,144,148,0 days 00:10:17,0 days 00:09:16,0,0,1.09,0.0,0.0,0.0,0.0,0.0,10:17,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2018-10-02,Running,False,Tyler Running,4.39,730,00:45:07,177,198,130,155,0 days 00:10:17,0 days 00:07:55,184,187,1.2,0.0,0.0,0.0,0.0,0.0,45:07,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0
2018-10-04,Running,False,Longview Running,4.00,616,00:38:21,179,199,144,152,0 days 00:09:35,0 days 00:08:14,161,174,1.17,0.0,0.0,0.0,0.0,0.0,38:21,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0
2018-10-06,Running,False,Longview Running,8.00,"1,267",01:25:41,174,198,137,210,0 days 00:10:43,0 days 00:08:26,259,272,1.09,0.0,0.0,0.0,0.0,0.0,1:25:41,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0
2018-10-09,Treadmill Running,False,Treadmill Running,3.02,485,00:32:35,169,178,143,158,0 days 00:10:48,0 days 00:08:38,0,0,1.26,0.0,0.0,0.0,0.0,0.0,32:35,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0
