date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-09-13,Running,False,Longview Running,5.22,781,00:51:13,166,184,146,156,0 days 00:09:49,0 days 00:08:33,230,305,1.12,0.0,0.0,0.0,0.0,0.0,51:13,0:00,0.0,0:00,No,02:05.03,6,0.0,5,garmin,0
2019-09-17,Running,False,Longview Running,5.10,801,00:51:54,170,191,146,154,0 days 00:10:10,0 days 00:08:02,108,154,1.08,0.0,0.0,0.0,0.0,0.0,51:54,0:00,0.0,0:00,No,00:57.57,6,0.0,5,garmin,0
2019-09-21,Running,False,Dallas Running,9.10,"1,426",01:34:34,171,191,137,213,0 days 00:10:24,0 days 00:08:13,144,230,1.13,0.0,0.0,0.0,0.0,0.0,1:34:34,0:00,0.0,0:00,No,00:53.44,10,0.0,5,garmin,0
2019-09-23,Running,False,Longview Running,5.88,841,00:57:21,161,183,147,160,0 days 00:09:46,0 days 00:08:32,210,285,1.12,0.0,0.0,0.0,0.0,0.0,57:21,0:00,0.0,0:00,No,08:33.60,6,0.0,5,garmin,0
2019-09-24,Running,False,Longview Running,5.72,850,00:56:23,164,192,140,158,0 days 00:09:52,0 days 00:08:09,226,299,1.16,0.0,0.0,0.0,0.0,0.0,56:23,0:00,0.0,0:00,No,06:17.31,6,0.0,5,garmin,0
2019-09-25,Running,False,Longview Running,5.97,867,01:03:29,152,177,139,155,0 days 00:10:38,0 days 00:08:41,256,325,1.09,0.0,0.0,0.0,0.0,0.0,1:03:29,0:00,0.0,0:00,No,09:42.43,6,0.0,5,garmin,0
2019-09-25,Running,False,Longview Running,1.03,147,00:08:58.6,174,187,149,157,0 days 00:08:45,0 days 00:07:46,161,138,1.24,0.0,0.0,0.0,0.0,0.0,8:58.6,0:00,0.0,0:00,No,00:12.47,2,0.0,5,garmin,0
2019-09-27,Running,False,Longview Running,3.01,430,00:26:17,173,193,148,157,0 days 00:08:45,0 days 00:07:27,7,59,1.25,0.0,0.0,0.0,0.0,0.0,26:17,0:00,0.0,0:00,No,00:03.77,4,0.0,5,garmin,0
2019-09-28,Running,False,Longview Running,5.21,731,00:50:49,155,176,149,156,0 days 00:09:45,0 days 00:07:49,427,476,1.11,0.0,0.0,0.0,0.0,0.0,50:49,0:00,0.0,0:00,No,01:57.41,6,0.0,5,garmin,0
2019-09-28,Running,False,Longview Running,5.01,792,00:53:26,165,177,142,160,0 days 00:10:40,0 days 00:08:33,164,187,1.06,0.0,0.0,0.0,0.0,0.0,53:26,0:00,0.0,0:00,No,00:03.15,6,0.0,5,garmin,0
2019-10-01,Running,False,Longview Running,5.27,722,00:49:08,158,183,149,155,0 days 00:09:19,0 days 00:08:19,138,184,1.16,0.0,0.0,0.0,0.0,0.0,49:08,0:00,0.0,0:00,No,02:23.91,6,0.0,5,garmin,0
2019-10-02,Running,False,Longview Running,7.01,964,01:04:42,159,182,149,157,0 days 00:09:14,0 days 00:06:58,653,705,1.17,0.0,0.0,0.0,0.0,0.0,1:04:42,0:00,0.0,0:00,No,00:07.39,8,0.0,5,garmin,0
2019-10-03,Running,False,Longview Running,5.13,719,00:48:20,156,180,149,158,0 days 00:09:25,0 days 00:08:16,315,384,1.15,0.0,0.0,0.0,0.0,0.0,48:20,0:00,0.0,0:00,No,01:19.21,6,0.0,5,garmin,0
2019-10-05,Running,False,Longview Running,12.01,"1,771",01:58:45,162,182,147,157,0 days 00:09:53,0 days 00:07:19,584,676,1.11,0.0,0.0,0.0,0.0,0.0,1:58:45,0:00,0.0,0:00,No,00:07.43,13,0.0,5,garmin,0
2019-10-07,Running,False,Longview Running,5.00,707,00:42:57,170,186,147,162,0 days 00:08:36,0 days 00:07:18,180,217,1.27,0.0,0.0,0.0,0.0,0.0,42:57,0:00,0.0,0:00,No,08:25.85,5,0.0,5,garmin,0
2019-10-08,Running,False,Longview Running,5.12,708,00:50:27,148,164,151,156,0 days 00:09:51,0 days 00:08:36,121,194,1.08,0.0,0.0,0.0,0.0,0.0,50:27,0:00,0.0,0:00,No,01:12.90,6,0.0,5,garmin,0
2019-10-12,Running,False,Longview Running,12.00,"1,700",01:57:56,158,181,151,160,0 days 00:09:50,0 days 00:08:36,551,604,1.08,0.0,0.0,0.0,0.0,0.0,1:57:56,0:00,0.0,0:00,No,09:24.76,12,0.0,5,garmin,0
2019-10-14,Running,False,Longview Running,5.24,720,00:46:44,159,185,150,159,0 days 00:08:55,0 days 00:07:25,121,200,1.2,0.0,0.0,0.0,0.0,0.0,46:44,0:00,0.0,0:00,No,01:52.82,6,0.0,5,garmin,0
2019-10-17,Running,False,Longview Running,7.24,"1,009",01:07:00,156,175,151,158,0 days 00:09:15,0 days 00:08:06,180,226,1.15,0.0,0.0,0.0,0.0,0.0,1:07:00,0:00,0.0,0:00,No,02:10.28,8,0.0,5,garmin,0
2019-10-19,Running,False,Longview Running,12.03,"1,778",01:54:49,165,180,148,160,0 days 00:09:32,0 days 00:08:19,417,479,1.14,0.0,0.0,0.0,0.0,0.0,1:54:49,0:00,0.0,0:00,No,00:24.23,13,0.0,5,garmin,0
