,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2018-08-04,Running,False,Longview Running,4.01,824,00:42:31,178,199,143,158,0 days 00:10:37,0 days 00:08:11,102,95,1.06,0.0,0.0,0.0,0.0,0.0,42:31,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0,25.436408977556113,1.0171428571428571,8.288854003139717,5.65149136577708,8.288950187780626,8.149248780121402
1,2,2018-08-12,Running,False,Washoe County Running,7.02,"1,123",01:16:23,164,188,134,155,0 days 00:10:53,0 days 00:08:47,256,276,1.1,0.0,0.0,0.0,0.0,0.0,1:16:23,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0,36.46723646723647,0.9371428571428572,8.085758039816232,5.51301684532925,8.085950891496799,8.628301256170364
2,3,2018-08-14,Running,False,Washoe County Running,2.56,365,00:26:39,153,180,142,154,0 days 00:10:25,0 days 00:08:51,112,118,1.09,0.0,0.0,0.0,0.0,0.0,26:39,0:00,0.0,0:00,No,00:00.00,3,0.0,5,garmin,0,43.75,0.8742857142857143,8.448,5.760000000000001,8.448290004492035,9.66307680252357
3,5,2018-08-23,Running,False,Tyler Running,3.02,464,00:31:08,168,188,135,164,0 days 00:10:18,0 days 00:07:10,79,59,1.16,0.0,0.0,0.0,0.0,0.0,31:08,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0,26.158940397350992,0.96,8.543689320388347,5.825242718446601,8.543794174445253,8.899785598380472
4,7,2018-09-02,Running,False,Longview Running,7.6,"1,237",01:22:16,170,192,133,152,0 days 00:10:49,0 days 00:08:09,315,279,1.12,0.0,0.0,0.0,0.0,0.0,1:22:16,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0,41.44736842105263,0.9714285714285714,8.135593220338983,5.546995377503852,8.135843876635027,8.37513340241841
5,10,2018-09-09,Running,False,Longview Running,7.27,"1,175",01:17:25,176,193,137,155,0 days 00:10:39,0 days 00:08:32,230,213,1.1,0.0,0.0,0.0,0.0,0.0,1:17:25,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0,31.63686382393398,1.0057142857142858,8.262910798122064,5.633802816901408,8.263059124426373,8.216109924855768
6,12,2018-09-15,Running,False,Longview Running,3.01,445,00:29:29,171,187,144,151,0 days 00:09:48,0 days 00:08:14,102,98,1.14,0.0,0.0,0.0,0.0,0.0,29:29,0:00,0.0,0:00,No,00:00.00,4,0.0,5,garmin,0,33.887043189368775,0.9771428571428571,8.979591836734693,6.122448979591836,8.979776772809602,9.189830030653102
7,15,2018-09-25,Running,False,Tyler Running,2.5,428,00:27:47,171,194,121,153,0 days 00:11:07,0 days 00:07:42,112,121,1.19,0.0,0.0,0.0,0.0,0.0,27:47,0:00,0.0,0:00,No,00:00.00,3,0.0,5,garmin,0,44.8,0.9771428571428571,7.916041979010494,5.397301349325337,7.916326922317004,8.10150416026594
8,17,2018-10-02,Running,False,Tyler Running,4.39,730,00:45:07,177,198,130,155,0 days 00:10:17,0 days 00:07:55,184,187,1.2,0.0,0.0,0.0,0.0,0.0,45:07,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0,41.91343963553531,1.0114285714285713,8.557536466774716,5.834683954619125,8.557806085891546,8.461107712039665
9,18,2018-10-04,Running,False,Longview Running,4.0,616,00:38:21,179,199,144,152,0 days 00:09:35,0 days 00:08:14,161,174,1.17,0.0,0.0,0.0,0.0,0.0,38:21,0:00,0.0,0:00,No,00:00.00,5,0.0,5,garmin,0,40.25,1.022857142857143,9.182608695652172,6.260869565217391,9.182875500488226,8.977671578689606
10,19,2018-10-06,Running,False,Longview Running,8.0,"1,267",01:25:41,174,198,137,210,0 days 00:10:43,0 days 00:08:26,259,272,1.09,0.0,0.0,0.0,0.0,0.0,1:25:41,0:00,0.0,0:00,No,00:00.00,8,0.0,5,garmin,0,32.375,0.9942857142857143,8.211508553654742,5.598755832037325,8.211662915720208,8.258856380753082
11,23,2018-10-20,Running,False,Longview Running,9.01,"1,436",01:37:31,175,190,139,150,0 days 00:10:50,0 days 00:08:13,384,364,1.07,0.0,0.0,0.0,0.0,0.0,1:37:31,0:00,0.0,0:00,No,00:00.00,10,0.0,5,garmin,0,42.619311875693676,1.0,8.123076923076923,5.538461538461538,8.1233415466432,8.1233415466432
12,25,2018-10-27,Running,False,Cedar Park Running,13.07,"1,844",02:09:22,171,190,145,158,0 days 00:09:54,0 days 00:08:35,328,367,1.12,0.0,0.0,0.0,0.0,0.0,2:09:22,0:00,0.0,0:00,No,00:00.00,14,0.0,5,garmin,1,25.095638867635806,0.9771428571428571,8.888888888888888,6.0606060606060606,8.888989291196905,9.096918865259992
