date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-01-01,Running,False,Morton Running,5.48,732,00:44:24,0,0,0.0,169,175,0 days 00:08:06,0 days 00:07:35,70,50,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,44:24,0:00,0.0,0:00,No,03:45.01,6,0.0,4,garmin,0
2020-01-02,Running,False,Morton Running,2.05,268,00:16:51,0,0,0.0,171,193,0 days 00:08:14,0 days 00:06:46,22,19,1.15,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16:51,0:00,0.0,0:00,No,00:21.03,3,0.0,4,garmin,0
2020-01-03,Running,False,Morton Running,3.59,476,00:29:22,0,0,0.0,170,185,0 days 00:08:11,0 days 00:06:40,48,28,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:22,0:00,0.0,0:00,No,04:15.16,4,0.0,4,garmin,0
2020-01-04,Running,False,Morton Running,3.54,470,00:30:17,0,0,0.0,175,188,0 days 00:08:33,0 days 00:06:35,28,8,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,30:17,0:00,0.0,0:00,No,03:52.11,4,0.0,4,garmin,0
2020-01-05,Running,False,Morton Running,1.25,160,00:09:09.7,0,0,0.0,172,185,0 days 00:07:20,0 days 00:06:05,98,72,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:09.7,0:00,0.0,0:00,No,01:37.21,2,0.0,4,garmin,0
2020-01-06,Running,False,Morton Running,2.81,370,00:21:24,0,0,0.0,174,195,0 days 00:07:37,0 days 00:06:21,14,0,1.21,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:24,0:00,0.0,0:00,No,05:35.100,3,0.0,4,garmin,0
2020-01-07,Running,False,Morton Running,2.94,391,00:25:57,0,0,0.0,170,183,0 days 00:08:49,0 days 00:07:06,29,25,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,25:57,0:00,0.0,0:00,No,08:20.87,3,0.0,4,garmin,0
2020-01-08,Running,False,Morton Running,4.91,656,00:35:51,0,0,0.0,175,189,0 days 00:07:18,0 days 00:06:47,26,20,1.26,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:51,0:00,0.0,0:00,No,06:33.40,5,0.0,4,garmin,0
2020-01-09,Running,False,Morton Running,1.21,163,00:13:17,0,0,0.0,171,179,0 days 00:10:59,0 days 00:08:26,10,7,0.86,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,13:17,0:00,0.0,0:00,No,02:01.00,2,0.0,4,garmin,0
2020-01-10,Running,False,Morton Running,1.89,245,00:17:52,0,0,0.0,173,181,0 days 00:09:26,0 days 00:07:35,13,10,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,17:52,0:00,0.0,0:00,No,07:42.92,2,0.0,4,garmin,0
2020-01-11,Running,False,Morton Running,1.36,179,00:11:40,0,0,0.0,175,189,0 days 00:08:33,0 days 00:07:14,18,16,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,11:40,0:00,0.0,0:00,No,02:44.31,2,0.0,4,garmin,0
2020-01-12,Running,False,Morton Running,1.28,171,00:13:33,0,0,0.0,171,194,0 days 00:10:38,0 days 00:08:51,13,10,0.89,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,13:33,0:00,0.0,0:00,No,02:34.57,2,0.0,4,garmin,0
2020-01-13,Running,False,Morton Running,2.00,266,00:15:40,0,0,0.0,175,192,0 days 00:07:49,0 days 00:06:11,23,10,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,15:40,0:00,0.0,0:00,No,00:02.35,3,0.0,4,garmin,0
2020-01-14,Running,False,Running,5.06,670,00:35:00,0,0,0.0,172,182,0 days 00:06:55,0 days 00:06:17,28,26,1.35,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:00,0:00,0.0,0:00,No,00:24.65,6,0.0,4,garmin,0
2020-01-15,Running,False,Morton Running,2.01,268,00:16:43,0,0,0.0,173,182,0 days 00:08:18,0 days 00:07:14,23,11,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16:43,0:00,0.0,0:00,No,00:06.63,3,0.0,4,garmin,0
2020-01-16,Running,False,Morton Running,1.16,154,00:10:24,0,0,0.0,175,182,0 days 00:08:56,0 days 00:08:06,7,3,1.03,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:24,0:00,0.0,0:00,No,01:25.24,2,0.0,4,garmin,0
2020-01-17,Running,False,Morton Running,1.29,170,00:12:44,0,0,0.0,170,182,0 days 00:09:51,0 days 00:08:33,11,18,0.96,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,12:44,0:00,0.0,0:00,No,03:06.37,2,0.0,4,garmin,0
2020-01-19,Running,False,Morton Running,3.16,424,00:24:49,0,0,0.0,175,187,0 days 00:07:52,0 days 00:07:18,33,21,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:49,0:00,0.0,0:00,No,01:11.50,4,0.0,4,garmin,0
2020-01-20,Running,False,Morton Running,1.15,153,00:11:30,0,0,0.0,174,185,0 days 00:10:01,0 days 00:08:39,0,4,0.93,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,11:30,0:00,0.0,0:00,No,01:19.01,2,0.0,4,garmin,0
2020-01-21,Running,False,Morton Running,5.41,719,00:39:24,0,0,0.0,174,190,0 days 00:07:17,0 days 00:05:09,48,29,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,39:24,0:00,0.0,0:00,No,00:00.64,10,0.0,4,garmin,0
2020-01-22,Running,False,Morton Running,1.03,135,00:10:05,0,0,0.0,173,183,0 days 00:09:50,0 days 00:08:52,0,0,0.94,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:05,0:00,0.0,0:00,No,00:12.30,2,0.0,4,garmin,0
2020-01-27,Running,False,Morton Running,4.83,652,00:37:14,0,0,0.0,174,189,0 days 00:07:42,0 days 00:06:36,38,33,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:14,0:00,0.0,0:00,No,06:14.85,5,0.0,4,garmin,0
2020-01-28,Running,False,Morton Running,2.84,381,00:21:58,0,0,0.0,178,196,0 days 00:07:45,0 days 00:07:11,23,12,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:58,0:00,0.0,0:00,No,06:13.65,3,0.0,4,garmin,0
2020-01-30,Running,False,Morton Running,2.84,377,00:22:56,0,0,0.0,171,185,0 days 00:08:05,0 days 00:07:22,23,11,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,22:56,0:00,0.0,0:00,No,06:26.86,3,0.0,4,garmin,0
2020-02-01,Running,False,Clinton Running,1.12,146,00:09:06.0,0,0,0.0,172,193,0 days 00:08:09,0 days 00:04:20,0,4,1.15,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:06.0,0:00,0.0,0:00,No,00:54.81,2,0.0,4,garmin,1
2020-02-01,Running,False,Clinton Running,4.03,522,00:24:34,0,0,0.0,175,192,0 days 00:06:06,0 days 00:05:11,0,7,1.51,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:34,0:00,0.0,0:00,No,00:06.97,5,0.0,4,garmin,1
2020-02-01,Running,False,Clinton Running,0.31,30,00:04:27.2,0,0,0.0,163,175,0 days 00:14:35,0 days 00:07:11,0,0,0.68,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4:27.2,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,1
