,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2020-07-19,Running,False,Sauherad Running,10.0,779,00:48:23,160,180,4.0,172,232,0 days 00:04:50,0 days 00:04:01,141,155,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:23,0:00,18.0,0:00,No,06:14.16,4,0.0,13,13,13,7,garmin,0,14.1,0.9142857142857143,18.206896551724135,12.413793103448276,18.20696147127924,19.91386410921167
1,3,2020-07-23,Running,False,BÃ¸ Running,21.35,"1,543",01:49:43,156,178,4.3,171,240,0 days 00:05:08,0 days 00:00:24,437,453,1.14,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:49:43,0:00,21.0,0:00,No,01:49:42.64,1,0.0,16,16,16,7,garmin,0,20.46838407494145,0.8914285714285715,17.14285714285714,11.688311688311687,17.14298595323342,19.23091372958877
2,4,2020-07-25,Running,False,BÃ¸ Running,18.12,"1,554",01:43:29,161,185,4.8,165,208,0 days 00:05:43,0 days 00:03:40,247,323,1.05,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:43:29,0:00,22.0,0:00,No,02:51.28,10,0.0,19,19,19,7,garmin,0,13.631346578366445,0.92,15.393586005830901,10.495626822157433,15.393637305995425,16.732214463038503
3,5,2020-07-26,Running,False,Sauherad Running,20.4,"1,562",01:33:00,167,184,5.0,176,193,0 days 00:04:34,0 days 00:03:51,364,353,1.25,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:33:00,0:00,17.0,0:00,No,01:33:00.17,1,0.0,15,15,15,7,garmin,0,17.84313725490196,0.9542857142857143,19.27007299270073,13.138686131386862,19.270183026652745,20.193305566851677
4,6,2020-07-28,Running,False,BÃ¸ Running,38.38,"2,481",03:18:34,155,176,4.6,172,198,0 days 00:05:10,0 days 00:04:13,1230,"1,221",1.12,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,3:18:34,0:00,12.0,0:00,No,03:18:34.25,1,0.0,12,12,12,7,garmin,0,32.04794163626889,0.8857142857142857,17.032258064516125,11.61290322580645,17.032571805078103,19.230323005733343
5,7,2020-08-02,Running,False,BÃ¸ Running,10.02,752,00:48:12,154,173,3.4,171,207,0 days 00:04:49,0 days 00:03:41,121,199,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:12,0:00,21.0,0:00,No,48:12.40,1,0.0,16,16,16,7,garmin,0,12.075848303393213,0.88,18.269896193771626,12.456747404844291,18.269943976722747,20.761299973548574
6,8,2020-08-08,Running,False,Sauherad Running,9.3,701,00:42:36,159,178,3.7,176,195,0 days 00:04:35,0 days 00:03:25,128,130,1.24,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,42:36,0:00,23.0,0:00,No,42:35.88,1,0.0,16,16,16,7,garmin,0,13.763440860215052,0.9085714285714286,19.2,13.090909090909092,19.200065231398934,21.132147267262976
7,9,2020-08-09,Running,False,Oslo Running,18.82,"1,446",01:34:08,156,175,4.1,172,205,0 days 00:05:00,0 days 00:03:30,329,323,1.16,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:34:08,0:00,22.0,0:00,No,01:34:07.60,1,0.0,18,18,18,7,garmin,0,17.481402763018064,0.8914285714285715,17.599999999999998,12.0,17.60009646420615,19.743697956641512
8,10,2020-08-10,Running,False,Oslo Running,9.81,801,00:50:43,156,178,3.6,170,206,0 days 00:05:10,0 days 00:03:23,163,171,1.14,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:43,0:00,20.0,0:00,No,50:42.66,1,0.0,22,22,22,7,garmin,0,16.615698267074414,0.8914285714285715,17.032258064516125,11.61290322580645,17.03234240003219,19.10679435901047
9,11,2020-08-13,Running,False,Oslo Running,7.72,698,00:50:09,147,172,3.1,149,240,0 days 00:06:30,0 days 00:03:50,266,262,1.03,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:09,0:00,23.0,0:00,No,01:43.87,3,0.0,17,17,17,7,garmin,0,34.4559585492228,0.84,13.538461538461537,9.23076923076923,13.538749805856721,16.117559292686572
