date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2020-07-18,Trail Running,False,Sauherad Trail Running,13.86,"1,159",01:35:04,146,173,3.5,152,242,0 days 00:06:52,0 days 00:03:28,701,693,0.96,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:35:04,0:00,14.0,0:00,No,01:35:04.10,1,0.0,15,15,15,7,garmin,0
2020-07-19,Running,False,Sauherad Running,10.0,779,00:48:23,160,180,4.0,172,232,0 days 00:04:50,0 days 00:04:01,141,155,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:23,0:00,18.0,0:00,No,06:14.16,4,0.0,13,13,13,7,garmin,0
2020-07-21,Trail Running,False,BÃ¸ Trail Running,14.83,"1,272",01:32:58,153,180,3.9,157,216,0 days 00:06:16,0 days 00:03:42,529,522,1.01,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:32:58,0:00,18.0,0:00,No,01:32:58.04,1,0.0,0,0,0,7,garmin,0
2020-07-23,Running,False,BÃ¸ Running,21.35,"1,543",01:49:43,156,178,4.3,171,240,0 days 00:05:08,0 days 00:00:24,437,453,1.14,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:49:43,0:00,21.0,0:00,No,01:49:42.64,1,0.0,16,16,16,7,garmin,0
2020-07-25,Running,False,BÃ¸ Running,18.12,"1,554",01:43:29,161,185,4.8,165,208,0 days 00:05:43,0 days 00:03:40,247,323,1.05,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:43:29,0:00,22.0,0:00,No,02:51.28,10,0.0,19,19,19,7,garmin,0
2020-07-26,Running,False,Sauherad Running,20.4,"1,562",01:33:00,167,184,5.0,176,193,0 days 00:04:34,0 days 00:03:51,364,353,1.25,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:33:00,0:00,17.0,0:00,No,01:33:00.17,1,0.0,15,15,15,7,garmin,0
2020-07-28,Running,False,BÃ¸ Running,38.38,"2,481",03:18:34,155,176,4.6,172,198,0 days 00:05:10,0 days 00:04:13,"1,230","1,221",1.12,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,3:18:34,0:00,12.0,0:00,No,03:18:34.25,1,0.0,12,12,12,7,garmin,0
2020-08-02,Running,False,BÃ¸ Running,10.02,752,00:48:12,154,173,3.4,171,207,0 days 00:04:49,0 days 00:03:41,121,199,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:12,0:00,21.0,0:00,No,48:12.40,1,0.0,16,16,16,7,garmin,0
2020-08-08,Running,False,Sauherad Running,9.3,701,00:42:36,159,178,3.7,176,195,0 days 00:04:35,0 days 00:03:25,128,130,1.24,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,42:36,0:00,23.0,0:00,No,42:35.88,1,0.0,16,16,16,7,garmin,0
2020-08-09,Running,False,Oslo Running,18.82,"1,446",01:34:08,156,175,4.1,172,205,0 days 00:05:00,0 days 00:03:30,329,323,1.16,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:34:08,0:00,22.0,0:00,No,01:34:07.60,1,0.0,18,18,18,7,garmin,0
2020-08-10,Running,False,Oslo Running,9.81,801,00:50:43,156,178,3.6,170,206,0 days 00:05:10,0 days 00:03:23,163,171,1.14,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:43,0:00,20.0,0:00,No,50:42.66,1,0.0,22,22,22,7,garmin,0
2020-08-13,Running,False,Oslo Running,7.72,698,00:50:09,147,172,3.1,149,240,0 days 00:06:30,0 days 00:03:50,266,262,1.03,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:09,0:00,23.0,0:00,No,01:43.87,3,0.0,17,17,17,7,garmin,0
2020-08-14,Running,False,Oslo Running,18.72,"1,410",01:33:43,161,188,4.5,167,206,0 days 00:05:00,0 days 00:03:25,237,296,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:33:43,0:00,25.0,0:00,No,03:46.54,9,0.0,17,17,17,7,garmin,0
2020-08-15,Running,False,Oslo Running,9.46,780,00:47:48,163,184,3.8,170,191,0 days 00:05:03,0 days 00:03:28,127,129,1.16,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:48,0:00,22.0,0:00,No,47:48.39,1,0.0,15,15,15,7,garmin,0
2020-08-16,Trail Running,False,Oslo Trail Running,12.87,975,01:17:49,140,172,3.1,157,225,0 days 00:06:03,0 days 00:03:45,297,371,1.05,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:17:49,0:00,22.0,0:00,No,01:17:48.53,1,0.0,14,14,14,7,garmin,0
2020-08-17,Running,False,Oslo Running,4.39,357,00:25:32,142,156,2.5,163,197,0 days 00:05:49,0 days 00:04:16,73,14,1.05,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,25:32,0:00,17.0,0:00,No,25:31.99,1,0.0,15,15,15,7,garmin,0
2020-08-17,Running,False,Oslo Running,3.84,271,00:19:42,142,159,2.3,162,191,0 days 00:05:07,0 days 00:04:08,13,74,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,19:42,0:00,26.0,0:00,No,19:41.70,1,0.0,14,14,14,7,garmin,0
2020-08-18,Running,False,Oslo Running,9.05,686,00:43:57,156,175,3.4,169,232,0 days 00:04:51,0 days 00:03:25,108,120,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,43:57,0:00,24.0,0:00,No,01:20.20,9,0.0,17,17,17,7,garmin,0
2020-08-20,Running,False,Oslo Running,11.01,841,00:54:24,153,174,3.5,169,223,0 days 00:04:57,0 days 00:04:04,143,142,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,54:24,0:00,24.0,0:00,No,54:24.42,1,0.0,13,13,13,7,garmin,0
2020-08-23,Trail Running,False,Oslo Trail Running,7.35,709,01:05:30,135,161,2.5,143,232,0 days 00:08:55,0 days 00:04:30,209,207,0.79,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:05:30,0:00,18.0,0:00,No,01:05:29.61,1,0.0,19,19,19,7,garmin,0
2020-08-26,Running,False,Oslo Running,6.95,566,00:37:54,149,180,3.0,166,227,0 days 00:05:27,0 days 00:04:40,150,121,1.11,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,37:54,0:00,18.0,0:00,No,37:53.59,1,0.0,14,14,14,7,garmin,0
2020-08-27,Running,False,Oslo Running,11.09,771,00:53:46,153,184,3.5,170,197,0 days 00:04:51,0 days 00:03:22,170,185,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,53:46,0:00,17.0,0:00,No,02:38.41,11,0.0,14,14,14,7,garmin,0
