date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2020-01-22,Running,False,Sparta - 3x1 mi,5.63,622,00:48:21,142,170.0,2.4,147,256,8:35,4:26,141,108,1.32,6.6,9.1,256,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:21,0:00,41.0,0:00,No,00:17.79,10.0,0.0,0,2,garmin,0,0 days 00:08:35,0 days 00:08:35
2020-01-24,Running,False,Sparta Running,4.02,407,00:29:54,144,162.0,1.9,162,173,7:27,5:40,108,115,1.32,8.0,10.9,246,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,29:54,0:00,50.0,0:00,No,00:07.25,5.0,0.0,0,2,garmin,0,0 days 00:07:27,0 days 00:07:27
2020-01-25,Pool Swimming,False,Lap Swimming,"3,500",756,01:08:59,0,0.0,0.0,0,0,1:28,1:04,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1265,32,27,1:08:59,0:00,80.6,0:00,No,00:05.29,70.0,0.0,0,2,garmin,0,0 days 00:01:28,0 days 00:01:28
2020-01-27,Strength Training,False,Strength 1,0.00,431,01:00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:00,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2020-01-27,Running,False,Sparta Running,5.06,516,00:39:40,142,150.0,2.0,161,167,7:50,7:10,108,108,1.26,8.5,11.0,255,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39:40,0:00,73.4,0:00,No,00:26.89,6.0,0.0,0,2,garmin,0,0 days 00:07:50,0 days 00:07:50
2020-01-28,Pool Swimming,False,CH S199 3500,"3,475",693,01:12:12,0,0.0,0.0,0,0,1:31,1:07,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1168,33,27,1:12:12,0:00,78.8,0:00,No,00:09.100,72.0,0.0,0,2,garmin,0,0 days 00:01:31,0 days 00:01:31
2020-01-29,Running,False,Sparta Running,6.17,562,00:48:29,140,149.0,1.8,158,197,7:52,6:05,121,141,1.27,8.3,10.7,254,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:29,0:00,66.2,0:00,No,00:04.88,8.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52
2020-01-30,Pool Swimming,False,CH S200 3600,"3,600",748,01:21:38,0,0.0,0.0,0,0,1:31,0:57,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1284,33,28,1:21:38,0:00,78.8,0:00,No,00:06.54,58.0,0.0,0,2,garmin,0,0 days 00:01:31,0 days 00:01:31
2020-02-01,Running,False,Randolph County Running,5.56,586,00:44:14,143,157.0,2.0,160,192,7:58,5:12,430,427,1.23,9.0,11.4,254,48.6% L / 51.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,44:14,0:00,50.0,0:00,No,04:24.26,6.0,0.0,0,2,garmin,0,0 days 00:07:58,0 days 00:07:58
2020-02-01,Cycling,False,Sparta Cycling,47.25,"1,081",03:12:14,107,138.0,0.5,0,0,14.7,36.5,971,899,0.0,0.0,0.0,0,0,78,114,0.0,0.0,0,0,0.0,0.0,0.0,14155,0,0,3:12:14,0:00,53.6,0:00,No,09:59.55,10.0,0.0,0,2,garmin,0,00:00:00,00:00:00
