date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2018-09-06,Running,False,Lafayette Running,6.18,667,00:49:43,140,157,2.8,167,173,0 days 00:08:03,0 days 00:07:23,96,125,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,49:43,0:00,0.0,0:00,No,00:00.00,7,0.0,2,garmin,0
2018-09-07,Running,False,Lafayette Running,7.50,938,00:58:31,154,173,4.0,167,172,0 days 00:07:48,0 days 00:07:12,218,278,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,58:31,0:00,0.0,0:00,No,00:00.00,8,0.0,2,garmin,0
2018-09-08,Running,False,Lafayette Running,9.26,"1,046",01:26:28,144,186,3.0,168,220,0 days 00:09:20,0 days 00:03:51,123,113,1.02,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:26:28,0:00,0.0,0:00,No,00:00.00,38,0.0,2,garmin,0
2018-09-08,Cycling,False,Lafayette Cycling,7.43,381,00:46:10,0,0,0.0,0,0,9.7,21.6,205,236,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:10,0:00,0.0,0:00,No,00:00.00,2,0.0,2,garmin,0
2018-09-10,Running,False,Lafayette Running,7.02,897,00:56:54,155,171,4.0,166,215,0 days 00:08:07,0 days 00:07:03,154,175,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,56:54,0:00,0.0,0:00,No,00:00.00,8,0.0,2,garmin,0
2018-09-11,Running,False,Lafayette Running,6.07,657,00:48:12,144,178,3.2,168,195,0 days 00:07:56,0 days 00:04:38,240,282,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,48:12,0:00,0.0,0:00,No,00:00.00,7,0.0,2,garmin,0
2018-09-12,Running,False,Boulder Running,6.47,852,00:58:50,150,171,3.4,163,180,0 days 00:09:05,0 days 00:06:04,642,616,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,58:50,0:00,0.0,0:00,No,00:00.00,7,0.0,2,garmin,0
2018-09-14,Running,False,Tazewell County Running,4.20,484,00:32:33,149,162,3.1,169,172,0 days 00:07:44,0 days 00:07:22,109,107,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,32:33,0:00,0.0,0:00,No,00:00.00,5,0.0,2,garmin,0
2018-09-15,Running,False,Morton Running,1.03,128,00:09:19.2,139,151,1.8,169,176,0 days 00:09:04,0 days 00:08:21,0,10,1.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:19.2,0:00,0.0,0:00,No,00:00.00,2,0.0,2,garmin,0
2018-09-15,Running,False,Morton Running,6.21,690,00:36:20,179,191,5.0,175,195,0 days 00:05:51,0 days 00:04:59,56,56,1.57,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,36:20,0:00,0.0,0:00,No,00:00.00,7,0.0,2,garmin,0
2018-09-15,Running,False,Morton Running,1.11,156,00:10:52,147,159,2.0,169,174,0 days 00:09:45,0 days 00:08:29,10,3,0.98,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:52,0:00,0.0,0:00,No,00:00.00,2,0.0,2,garmin,0
2018-09-18,Running,False,Lafayette Running,3.08,341,00:24:38,145,168,2.6,167,176,0 days 00:08:00,0 days 00:06:27,91,92,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:38,0:00,0.0,0:00,No,00:00.00,4,0.0,2,garmin,0
