,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2018-04-27,Running,False,Sparta Running,7.71,714,01:00:40,143,174.0,2.2,156,180,7:52,5:39,292,272,1.29,8.7,11.3,250,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:40,0:00,64.4,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52,37.87289234760052,0.8171428571428572,11.1864406779661,7.627118644067797,11.186728447917806,13.690052296402909
1,5,2018-04-29,Running,False,Sparta Running,10.6,"1,068",01:30:08,145,164.0,2.7,154,170,8:30,6:56,253,246,1.21,9.1,11.1,260,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:30:08,0:00,64.4,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,0 days 00:08:30,0 days 00:08:30,23.867924528301888,0.8285714285714286,10.352941176470587,7.0588235294117645,10.353046953897627,12.495056668497135
2,8,2018-05-01,Running,False,Sparta Running,8.32,917,01:20:18,146,180.0,2.8,140,256,9:39,3:11,210,180,1.17,7.3,8.8,295,49.1% L / 50.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:20:18,0:00,73.4,0:00,No,00:00.00,13.0,0.0,0,2,garmin,0,0 days 00:09:39,0 days 00:09:39,25.240384615384613,0.8342857142857143,9.119170984455957,6.217616580310881,9.119275179478716,10.930638057594352
3,12,2018-05-04,Running,False,Sparta Running,6.5,688,00:49:04,153,168.0,2.6,159,174,7:33,5:53,118,148,1.33,8.4,11.3,240,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,49:04,0:00,66.2,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:07:33,0 days 00:07:33,18.153846153846153,0.8742857142857143,11.655629139072849,7.9470198675496695,11.655698031882613,13.331680755421289
4,16,2018-05-06,Running,False,Sparta Running,13.53,"1,312",02:08:56,139,187.0,2.6,142,171,9:32,5:54,285,249,1.17,9.5,11.3,270,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,2:08:56,0:00,77.0,0:00,No,00:00.00,17.0,0.0,0,2,garmin,0,0 days 00:09:32,0 days 00:09:32,21.064301552106432,0.7942857142857143,9.23076923076923,6.293706293706294,9.230842687644763,11.621564534804559
5,18,2018-05-08,Running,False,Sparta Running,5.05,410,00:45:30,126,137.0,1.1,150,166,9:00,7:40,131,121,1.17,9.6,11.5,267,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:30,0:00,75.2,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:09:00,0 days 00:09:00,25.940594059405942,0.72,9.777777777777777,6.666666666666667,9.777895782540611,13.580410809084183
6,21,2018-05-10,Running,False,Sparta Running,8.58,697,01:15:06,133,145.0,1.9,152,170,8:45,6:26,236,207,1.19,9.5,11.4,263,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:06,0:00,78.8,0:00,No,00:00.00,9.0,0.0,0,2,garmin,0,0 days 00:08:45,0 days 00:08:45,27.505827505827504,0.76,10.057142857142855,6.857142857142857,10.057279322765844,13.233262266797162
7,24,2018-05-12,Running,False,Sparta Running,8.63,756,01:15:05,135,152.0,2.1,152,170,8:42,6:43,194,161,1.17,10.0,11.7,258,48.3% L / 51.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:05,0:00,82.4,0:00,No,00:00.00,9.0,0.0,0,2,garmin,0,0 days 00:08:42,0 days 00:08:42,22.479721900347624,0.7714285714285715,10.114942528735632,6.8965517241379315,10.115034202587427,13.112081373724441
8,26,2018-05-15,Running,False,Sparta Running,7.39,720,01:16:57,134,166.0,2.0,137,256,10:25,2:42,121,148,1.13,6.9,8.2,324,48.9% L / 51.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:16:57,0:00,69.8,0:00,No,00:00.00,43.0,0.0,0,2,garmin,0,0 days 00:10:25,0 days 00:10:25,16.37347767253045,0.7657142857142857,8.448,5.760000000000001,8.44804061971615,11.032888869032284
9,30,2018-05-18,Running,False,Sparta Running,9.85,896,01:15:18,144,167.0,2.4,158,176,7:39,5:27,417,410,1.3,8.6,11.4,243,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:18,0:00,68.0,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,0 days 00:07:39,0 days 00:07:39,42.33502538071066,0.8228571428571428,11.503267973856207,7.8431372549019605,11.503637730567453,13.980115297564613
10,32,2018-05-20,Running,False,Sparta Running,12.5,"1,218",01:46:13,146,163.0,2.7,154,256,8:30,7:11,230,203,1.22,8.9,11.1,261,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:46:13,0:00,77.0,0:00,No,00:00.00,13.0,0.0,0,2,garmin,0,0 days 00:08:30,0 days 00:08:30,18.4,0.8342857142857143,10.352941176470587,7.0588235294117645,10.353004040213182,12.409422650940458
