date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-11-21,Running,False,Running,2.51,337,00:20:04,0,0,0.0,165,172,0 days 00:08:00,0 days 00:06:50,0,0,1.22,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,20:04,0:00,0.0,0:00,No,04:01.25,3,0.0,2,garmin,0
2019-11-24,Running,False,Morton Running,4.04,539,00:32:38,0,0,0.0,167,175,0 days 00:08:04,0 days 00:07:28,11,22,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,32:38,0:00,0.0,0:00,No,00:20.02,5,0.0,2,garmin,0
2019-11-26,Running,False,Morton Running,3.53,472,00:26:49,0,0,0.0,171,185,0 days 00:07:36,0 days 00:06:53,20,17,1.24,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,26:49,0:00,0.0,0:00,No,03:39.43,4,0.0,2,garmin,0
2019-11-28,Running,False,Peoria Running,0.09,11,00:02:19.7,0,0,0.0,162,176,0 days 00:25:34,0 days 00:08:59,0,0,0.39,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:19.7,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2019-11-28,Running,False,Peoria Running,0.05,9,00:00:51.2,0,0,0.0,192,209,0 days 00:15:37,0 days 00:07:19,0,0,0.54,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0:51.2,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2019-11-28,Running,False,Peoria Running,3.01,388,00:17:47,0,0,0.0,174,190,0 days 00:05:55,0 days 00:04:56,17,18,1.56,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,17:47,0:00,0.0,0:00,No,00:02.28,4,0.0,2,garmin,0
2019-11-29,Running,False,Morton Running,2.95,395,00:23:38,0,0,0.0,170,177,0 days 00:08:01,0 days 00:07:40,30,23,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,23:38,0:00,0.0,0:00,No,07:31.13,3,0.0,2,garmin,0
2019-12-03,Running,False,Morton Running,5.03,664,00:40:24,0,0,0.0,170,193,0 days 00:08:02,0 days 00:04:31,32,10,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:24,0:00,0.0,0:00,No,00:12.15,6,0.0,2,garmin,0
2019-12-05,Running,False,Morton Running,4.87,656,00:38:35,0,0,0.0,169,174,0 days 00:07:55,0 days 00:07:32,36,32,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,38:35,0:00,0.0,0:00,No,06:52.15,5,0.0,2,garmin,0
2019-12-06,Running,False,Morton Running,2.25,296,00:24:34,0,0,0.0,163,191,0 days 00:10:56,0 days 00:05:41,23,10,0.9,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:34,0:00,0.0,0:00,No,01:57.82,3,0.0,2,garmin,0
