date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2018-04-27,Pool Swimming,False,Lap Swimming,"3,600",630,01:15:44,0,0.0,0.1,0,0,1:33,1:06,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,975,33,24,1:15:44,0:00,78.8,0:00,No,00:00.00,74.0,0.0,0,2,garmin,0,0 days 00:01:33,0 days 00:01:33
2018-04-27,Running,False,Sparta Running,7.71,714,01:00:40,143,174.0,2.2,156,180,7:52,5:39,292,272,1.29,8.7,11.3,250,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:40,0:00,64.4,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52
2018-04-28,Virtual Cycling,False,Zwift - Watopia,37.43,"1,399",02:01:07,126,156.0,0.0,0,0,18.5,45.0,"1,818",0,0.0,0.0,0.0,0,0,87,116,230.0,0.0,251,201,380.0,0.0,0.0,0,0,0,2:01:07,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-04-28,Cycling,False,Sparta Cycling,31.77,755,01:49:58,117,137.0,0.8,0,0,17.3,29.7,702,712,0.0,0.0,0.0,0,0,88,113,0.0,0.0,0,0,0.0,0.0,0.0,9092,0,0,1:49:58,0:00,57.2,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-04-29,Cycling,False,Sparta Cycling,35.68,936,01:50:31,132,153.0,2.1,0,0,19.4,33.4,"1,109","1,027",0.0,0.0,0.0,0,0,93,115,0.0,0.0,0,0,0.0,0.0,0.0,10015,0,0,1:50:31,0:00,60.8,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-04-29,Running,False,Sparta Running,10.60,"1,068",01:30:08,145,164.0,2.7,154,170,8:30,6:56,253,246,1.21,9.1,11.1,260,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:30:08,0:00,64.4,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,0 days 00:08:30,0 days 00:08:30
2018-04-29,Pool Swimming,False,Lap Swimming,"3,200",432,01:01:56,0,0.0,0.1,0,0,1:25,1:09,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666,30,26,1:01:56,0:00,80.6,0:00,No,00:00.00,42.0,0.0,0,2,garmin,0,0 days 00:01:25,0 days 00:01:25
2018-05-01,Pool Swimming,False,Lap Swimming,"3,725",819,01:13:14,0,0.0,0.1,0,0,1:32,1:07,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1275,33,25,1:13:14,0:00,80.6,0:00,No,00:00.00,70.0,0.0,0,2,garmin,0,0 days 00:01:32,0 days 00:01:32
2018-05-01,Running,False,Sparta Running,8.32,917,01:20:18,146,180.0,2.8,140,256,9:39,3:11,210,180,1.17,7.3,8.8,295,49.1% L / 50.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:20:18,0:00,73.4,0:00,No,00:00.00,13.0,0.0,0,2,garmin,0,0 days 00:09:39,0 days 00:09:39
2018-05-02,Cycling,False,Sparta Cycling,25.74,690,01:28:51,123,151.0,1.3,0,0,17.4,35.1,935,912,0.0,0.0,0.0,0,0,81,107,0.0,0.0,0,0,0.0,0.0,0.0,5972,0,0,1:28:51,0:00,78.8,0:00,No,00:00.00,19.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-05-03,Pool Swimming,False,Lap Swimming,"4,000",768,01:22:49,0,0.0,0.1,0,0,1:30,1:11,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1175,32,24,1:22:49,0:00,80.6,0:00,No,00:00.00,98.0,0.0,0,2,garmin,0,0 days 00:01:30,0 days 00:01:30
