,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-01-22,Running,False,Sparta - 3x1 mi,5.63,622,00:48:21,142,170.0,2.4,147,256,8:35,4:26,141,108,1.32,6.6,9.1,256,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:21,0:00,41.0,0:00,No,00:17.79,10.0,0.0,0,2,garmin,0,0 days 00:08:35,0 days 00:08:35,25.044404973357018,0.8114285714285714,10.252427184466018,6.990291262135922,10.252542515940831,12.635175635842575
1,1,2020-01-24,Running,False,Sparta Running,4.02,407,00:29:54,144,162.0,1.9,162,173,7:27,5:40,108,115,1.32,8.0,10.9,246,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,29:54,0:00,50.0,0:00,No,00:07.25,5.0,0.0,0,2,garmin,0,0 days 00:07:27,0 days 00:07:27,26.865671641791046,0.8228571428571428,11.812080536912749,8.053691275167784,11.812233441724553,14.355144807651367
2,4,2020-01-27,Running,False,Sparta Running,5.06,516,00:39:40,142,150.0,2.0,161,167,7:50,7:10,108,108,1.26,8.5,11.0,255,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39:40,0:00,73.4,0:00,No,00:26.89,6.0,0.0,0,2,garmin,0,0 days 00:07:50,0 days 00:07:50,21.343873517786562,0.8114285714285714,11.23404255319149,7.659574468085107,11.23413434056167,13.84488387041051
3,6,2020-01-29,Running,False,Sparta Running,6.17,562,00:48:29,140,149.0,1.8,158,197,7:52,6:05,121,141,1.27,8.3,10.7,254,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:29,0:00,66.2,0:00,No,00:04.88,8.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52,19.611021069692057,0.8,11.1864406779661,7.627118644067797,11.186517838104495,13.983147297630618
4,8,2020-02-01,Running,False,Randolph County Running,5.56,586,00:44:14,143,157.0,2.0,160,192,7:58,5:12,430,427,1.23,9.0,11.4,254,48.6% L / 51.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,44:14,0:00,50.0,0:00,No,04:24.26,6.0,0.0,0,2,garmin,0,0 days 00:07:58,0 days 00:07:58,77.33812949640289,0.8171428571428572,11.04602510460251,7.531380753138075,11.047209978742554,13.51931291104858
5,12,2020-02-03,Running,False,Sparta Running,3.79,419,00:30:02,145,152.0,1.7,160,171,7:55,6:39,85,79,1.26,8.6,11.0,251,48.5% L / 51.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:02,0:00,60.8,0:00,No,06:16.37,4.0,0.0,0,2,garmin,0,0 days 00:07:55,0 days 00:07:55,22.427440633245382,0.8285714285714286,11.11578947368421,7.578947368421052,11.115889750363756,13.415729009059705
6,13,2020-02-05,Running,False,Sparta - 8x800 w/ Strides,8.08,872,01:12:21,144,173.0,2.2,146,256,8:57,2:34,220,171,1.29,6.7,8.8,284,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:12:21,0:00,48.2,0:00,No,00:16.47,32.0,0.0,0,2,garmin,0,0 days 00:08:57,0 days 00:08:57,27.22772277227723,0.8228571428571428,9.832402234636872,6.703910614525141,9.832532966529628,11.949258813490868
7,15,2020-02-07,Running,False,Sparta Running,4.13,435,00:32:27,142,149.0,1.7,159,175,7:51,7:06,85,102,1.28,8.6,11.2,252,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,32:27,0:00,75.2,0:00,No,00:56.68,5.0,0.0,0,2,garmin,0,0 days 00:07:51,0 days 00:07:51,20.581113801452783,0.8114285714285714,11.210191082802547,7.643312101910828,11.210276245865574,13.815481288918841
8,19,2020-02-11,Running,False,Sparta Running,5.21,560,00:40:19,145,153.0,2.0,160,174,7:44,6:02,125,102,1.28,8.5,11.0,250,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,40:19,0:00,48.2,0:00,No,01:30.63,6.0,0.0,0,2,garmin,0,0 days 00:07:44,0 days 00:07:44,23.99232245681382,0.8285714285714286,11.379310344827585,7.758620689655173,11.379427823881086,13.733792201235792
9,22,2020-02-14,Running,False,Sparta Running,4.16,472,00:30:14,149,157.0,2.1,160,180,7:16,6:33,105,95,1.32,8.3,11.2,252,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:14,0:00,60.8,0:00,No,01:10.86,5.0,0.0,0,2,garmin,0,0 days 00:07:16,0 days 00:07:16,25.240384615384613,0.8514285714285714,12.110091743119265,8.256880733944953,12.110230112197653,14.223424628420062
