,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,4,2019-04-21,Running,False,Sparta Running,13.67,"1,412",01:59:03,147,157.0,2.8,153,167,8:43,6:24,344,325,1.2,9.6,11.7,281,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:59:03,0:00,75.2,0:00,No,06:02.28,14.0,0.0,0,2,garmin,0,0 days 00:08:43,0 days 00:08:43,25.16459400146306,0.84,10.095602294455066,6.8833652007648185,10.095716954414218,12.018710660016927
1,7,2019-04-24,Running,False,Sparta - 10x400 Repeats w,6.84,737,01:05:02,140,171.0,2.2,144,256,9:30,2:31,112,112,1.23,7.2,9.1,278,48.3% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:05:02,0:00,64.4,0:00,No,00:17.43,36.0,0.0,0,2,garmin,0,0 days 00:09:30,0 days 00:09:30,16.374269005847953,0.8,9.26315789473684,6.315789473684211,9.26320243820455,11.579003047755686
2,8,2019-04-25,Running,False,Sparta Running,4.01,387,00:33:26,137,152.0,1.4,157,256,8:20,5:41,72,79,1.21,9.2,11.3,259,47.3% L / 52.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,33:26,0:00,57.2,0:00,No,00:03.96,5.0,0.0,0,2,garmin,0,0 days 00:08:20,0 days 00:08:20,17.955112219451372,0.7828571428571428,10.559999999999999,7.199999999999999,10.560061057788408,13.48912908841585
3,9,2019-04-26,Running,False,Sparta Running,6.82,667,00:59:58,138,165.0,2.1,150,256,8:48,2:35,164,157,1.24,8.3,10.6,271,48.1% L / 51.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,59:58,0:00,64.4,0:00,No,00:16.95,19.0,0.0,0,2,garmin,0,0 days 00:08:48,0 days 00:08:48,24.04692082111437,0.7885714285714286,9.999999999999998,6.8181818181818175,10.000103709574876,12.681290936055097
4,11,2019-04-27,Running,False,Sparta Running,3.66,443,00:30:34,145,156.0,2.1,155,165,8:22,6:11,89,79,1.22,9.3,11.6,259,47.0% L / 53.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:34,0:00,59.0,0:00,No,05:36.21,4.0,0.0,0,2,garmin,0,0 days 00:08:22,0 days 00:08:22,24.316939890710383,0.8285714285714286,10.51792828685259,7.171314741035856,10.518039831286627,12.694186003276963
5,13,2019-04-28,Running,False,Sparta Running,14.02,"1,239",01:58:25,140,150.0,2.5,154,170,8:27,6:38,328,295,1.23,9.1,11.4,278,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:58:25,0:00,55.4,0:00,No,00:10.25,15.0,0.0,0,2,garmin,0,0 days 00:08:27,0 days 00:08:27,23.39514978601997,0.8,10.414201183431953,7.100591715976332,10.41430341326488,13.0178792665811
6,14,2019-04-30,Running,False,Sparta - 10x400 Repeats w,6.32,800,01:01:31,148,178.0,2.5,135,256,9:44,2:38,174,167,1.35,7.0,9.2,275,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:01:31,0:00,73.4,0:00,No,00:16.96,36.0,0.0,0,2,garmin,0,0 days 00:09:44,0 days 00:09:44,27.531645569620252,0.8457142857142858,9.04109589041096,6.164383561643836,9.04121879967627,10.69063033745505
7,15,2019-05-01,Running,False,Sparta Running,3.45,322,00:29:06,134,144.0,1.1,155,166,8:25,6:06,59,49,1.21,9.1,11.2,263,46.8% L / 53.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,29:06,0:00,69.8,0:00,No,03:47.93,4.0,0.0,0,2,garmin,0,0 days 00:08:25,0 days 00:08:25,17.101449275362317,0.7657142857142857,10.455445544554454,7.128712871287129,10.455500386063663,13.65457139971001
8,18,2019-05-06,Running,False,Sparta Running,6.02,585,00:49:38,137,150.0,2.0,155,163,8:14,7:00,105,115,1.25,8.8,11.3,255,46.8% L / 53.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,49:38,0:00,53.6,0:00,No,00:11.39,7.0,0.0,0,2,garmin,0,0 days 00:08:14,0 days 00:08:14,17.44186046511628,0.7828571428571428,10.68825910931174,7.287449392712551,10.688317426095447,13.652960215815352
9,19,2019-05-08,Running,False,Sparta Running,5.46,593,00:45:03,141,156.0,2.0,156,187,8:15,7:09,102,95,1.23,9.1,11.4,254,47.0% L / 53.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:03,0:00,62.6,0:00,No,03:44.37,6.0,0.0,0,2,garmin,0,0 days 00:08:15,0 days 00:08:15,18.681318681318682,0.8057142857142857,10.666666666666666,7.2727272727272725,10.666733431010002,13.238853549125889
