date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2019-06-19,Pool Swimming,False,CH S186 4100,"4,050",876,01:18:03,0,0.0,0.0,0,0,1:32,1:12,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1531,33,27,1:18:03,0:00,82.4,0:00,No,00:15.20,50.0,0.0,0,2,garmin,0,0 days 00:01:32,0 days 00:01:32
2019-06-20,Running,False,Sparta Cycling,4.05,361,00:32:57,135,152.0,1.4,0,0,8:09,5:35,85,108,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,32:57,0:00,68.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,0 days 00:08:09,0 days 00:08:09
2019-06-21,Virtual Cycling,False,Zwift - Richmond,19.76,751,01:00:11,0,0.0,0.0,0,0,19.7,43.2,709,0,0.0,0.0,0.0,0,0,91,101,236.0,0.0,245,217,461.0,0.0,0.0,0,0,0,1:00:11,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-06-22,Virtual Cycling,False,Zwift - NYC,50.04,"2,030",03:01:51,0,0.0,0.0,0,0,16.5,47.9,"4,304",0,0.0,0.0,0.0,0,0,88,104,201.0,0.0,210,195,239.0,0.0,0.0,0,0,0,3:01:51,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-06-22,Running,False,Sparta Running,5.07,651,00:39:50,162,180.0,3.2,158,166,7:52,6:35,82,102,1.29,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39:50,0:00,68.0,0:00,No,00:29.95,6.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52
2019-06-23,Pool Swimming,False,CH S204 3900,"3,900",816,01:24:06,0,0.0,0.0,0,0,1:31,1:16,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1374,33,27,1:24:06,0:00,80.6,0:00,No,00:05.20,78.0,0.0,0,2,garmin,0,0 days 00:01:31,0 days 00:01:31
2019-06-23,Running,False,Sparta Running,7.11,922,01:01:47,160,177.0,2.9,154,168,8:41,7:34,187,144,1.2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:01:47,0:00,71.6,0:00,No,00:57.87,8.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41
2019-06-25,Running,False,Sparta Running,3.01,384,00:27:15,150,171.0,2.3,149,168,9:03,7:14,36,36,1.19,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,27:15,0:00,75.2,0:00,No,00:06.41,4.0,0.0,0,2,garmin,0,0 days 00:09:03,0 days 00:09:03
2019-06-25,Cycling,False,Sparta Cycling,17.85,450,01:02:02,120,135.0,0.5,0,0,17.3,30.2,381,374,0.0,0.0,0.0,0,0,87,109,0.0,0.0,0,0,0.0,0.0,0.0,5159,0,0,1:02:02,0:00,82.4,0:00,No,10:06.44,4.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-06-26,Pool Swimming,False,CH S188 3500,"3,500",757,01:08:52,0,0.0,0.0,0,0,1:28,1:00,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1268,32,28,1:08:52,0:00,82.4,0:00,No,00:10.20,62.0,0.0,0,2,garmin,0,0 days 00:01:28,0 days 00:01:28
