,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-11-21,Running,False,Sparta Running,6.73,666,00:57:36,142,153.0,2.2,151,256,8:34,3:24,256,246,1.29,8.1,10.6,256,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,57:36,0:00,57.2,0:00,No,00:07.51,23.0,0.0,0,2,garmin,0,0 days 00:08:34,0 days 00:08:34,38.03863298662704,0.8114285714285714,10.27237354085603,7.003891050583658,10.272640114451665,12.659943803021418
1,1,2019-11-22,Running,False,Sparta Running,6.34,586,00:48:45,143,151.0,2.1,160,174,7:41,6:40,141,144,1.29,8.6,11.3,246,47.3% L / 52.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,48:45,0:00,48.2,0:00,No,02:37.30,7.0,0.0,0,2,garmin,0,0 days 00:07:41,0 days 00:07:41,22.239747634069403,0.8171428571428572,11.453362255965292,7.809110629067245,11.453463855785568,14.01647674659073
2,4,2019-11-24,Running,False,St Louis County Running,13.01,"1,293",02:01:49,140,158.0,2.6,156,256,9:22,6:13,1368,"1,283",1.06,10.2,10.7,276,48.9% L / 51.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,2:01:49,0:00,55.4,0:00,No,00:03.99,14.0,0.0,0,2,garmin,0,0 days 00:09:22,0 days 00:09:22,105.14988470407378,0.8,9.395017793594304,6.405693950177936,9.39688062827332,11.74610078534165
3,5,2019-11-26,Running,False,Sparta Running,3.56,338,00:30:56,135,143.0,1.3,160,168,8:41,7:19,66,59,1.15,9.3,10.7,249,48.3% L / 51.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:56,0:00,57.2,0:00,No,04:49.93,4.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41,18.53932584269663,0.7714285714285715,10.134357005758156,6.90978886756238,10.13441947768411,13.137210434034957
4,8,2019-11-28,Running,False,Sparta Running,4.18,366,00:34:37,132,144.0,1.3,158,172,8:16,6:31,108,52,1.22,8.9,11.1,254,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,34:37,0:00,42.8,0:00,No,01:32.64,5.0,0.0,0,2,garmin,0,0 days 00:08:16,0 days 00:08:16,25.837320574162682,0.7542857142857143,10.645161290322578,7.258064516129031,10.645288742351338,14.113072196299122
5,10,2019-11-30,Running,False,Sparta Running,6.34,585,00:50:11,141,153.0,2.1,159,178,7:55,6:09,177,154,1.26,8.8,11.4,245,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,50:11,0:00,48.2,0:00,No,02:49.43,7.0,0.0,0,2,garmin,0,0 days 00:07:55,0 days 00:07:55,27.917981072555207,0.8057142857142857,11.11578947368421,7.578947368421052,11.115944858098006,13.796385462178376
6,11,2019-12-01,Running,False,Sparta Running,7.87,668,01:01:52,140,150.0,2.1,160,195,7:52,6:53,220,213,1.27,8.6,11.1,245,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:01:52,0:00,44.6,0:00,No,06:47.06,8.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52,27.95425667090216,0.8,11.1864406779661,7.627118644067797,11.186597456621984,13.98324682077748
7,13,2019-12-03,Running,False,Sparta Running,8.05,718,01:02:26,141,151.0,2.2,159,194,7:45,5:03,233,174,1.3,8.5,11.3,248,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:02:26,0:00,50.0,0:00,No,00:24.39,9.0,0.0,0,2,garmin,0,0 days 00:07:45,0 days 00:07:45,28.944099378881987,0.8057142857142857,11.354838709677418,7.741935483870968,11.355009317895721,14.09309667114717
8,14,2019-12-04,Running,False,Sparta - 12x400 Repeats w,8.01,760,01:11:20,140,167.0,2.1,146,256,8:54,2:45,154,157,1.32,6.8,8.9,280,48.8% L / 51.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:11:20,0:00,57.2,0:00,No,00:17.21,42.0,0.0,0,2,garmin,0,0 days 00:08:54,0 days 00:08:54,19.22596754057428,0.8,9.887640449438202,6.741573033707865,9.887705999000296,12.35963249875037
9,15,2019-12-04,Running,False,Sparta Running,4.08,392,00:32:34,140,146.0,1.7,159,171,7:58,7:12,82,62,1.25,8.8,11.2,247,47.1% L / 52.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,32:34,0:00,41.0,0:00,No,00:36.60,5.0,0.0,0,2,garmin,0,0 days 00:07:58,0 days 00:07:58,20.098039215686274,0.8,11.04602510460251,7.531380753138075,11.04610512744809,13.807631409310112
