date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-03-14,Running,False,Lafayette - Running,4.35,444,00:37:16,140,157,2.7,169,176,0 days 00:08:34,0 days 00:07:58,83,79,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:16,0:00,0.0,0:00,No,03:02.20,5,0.0,2,garmin,0
2019-03-15,Running,False,Lafayette - Running,4.23,432,00:35:56,139,161,2.6,167,174,0 days 00:08:29,0 days 00:06:24,139,127,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:56,0:00,0.0,0:00,No,02:07.71,5,0.0,2,garmin,0
2019-03-16,Running,False,Lafayette - Running,9.21,931,01:22:31,139,158,2.7,167,174,0 days 00:08:57,0 days 00:07:47,157,270,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:22:31,0:00,0.0,0:00,No,02:11.84,10,0.0,2,garmin,0
2019-03-19,Running,False,Tazewell County - Running,4.56,535,00:37:02,152,177,3.5,167,176,0 days 00:08:07,0 days 00:07:25,93,93,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:02,0:00,0.0,0:00,No,04:23.26,5,0.0,2,garmin,0
2019-03-21,Cycling,False,Lafayette Cycling,1.46,68,00:07:32.9,0,0,0.0,0,0,11.6,14.1,35,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,7:32.9,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2019-03-21,Cycling,False,Lafayette Cycling,1.85,91,00:09:03.6,0,0,0.0,0,0,12.2,19.3,0,25,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:03.6,0:00,0.0,0:00,No,00:00.00,1,0.0,2,garmin,0
2019-03-21,Running,False,Lafayette Running,2.36,277,00:21:26,144,171,2.2,166,176,0 days 00:09:06,0 days 00:07:45,74,0,1.06,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:26,0:00,0.0,0:00,No,03:22.64,3,0.0,2,garmin,0
2019-03-21,Running,False,Lafayette Running,4.82,537,00:30:06,181,190,5.0,173,185,0 days 00:06:15,0 days 00:05:19,4,11,1.49,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,30:06,0:00,0.0,0:00,No,04:59.18,5,0.0,2,garmin,0
2019-03-21,Running,False,Lafayette Running,2.23,292,00:19:49,154,166,2.9,169,175,0 days 00:08:52,0 days 00:07:33,0,82,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,19:49,0:00,0.0,0:00,No,02:09.85,3,0.0,2,garmin,0
2019-03-22,Running,False,Lafayette Running,3.43,360,00:31:41,136,152,2.2,167,186,0 days 00:09:15,0 days 00:07:47,67,77,1.04,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31:41,0:00,0.0,0:00,No,04:01.74,4,0.0,2,garmin,0
2019-03-23,Running,False,Lafayette Running,2.24,212,00:54:19,0,0,0.0,111,125,0 days 00:24:12,0 days 00:17:44,60,57,0.59,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,54:19,0:00,0.0,0:00,No,09:45.79,3,0.0,2,garmin,0
2019-03-24,Running,False,Lafayette Running,10.26,"1,152",01:30:52,147,163,3.2,167,174,0 days 00:08:51,0 days 00:07:10,180,177,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:30:52,0:00,0.0,0:00,No,02:19.95,11,0.0,2,garmin,0
2019-03-26,Running,False,Tazewell County Running,5.84,584,00:50:03,140,170,2.4,168,174,0 days 00:08:34,0 days 00:07:50,118,115,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,50:03,0:00,0.0,0:00,No,07:03.06,6,0.0,2,garmin,0
2019-03-27,Running,False,Tazewell County Running,8.01,"1,106",01:18:13,155,174,3.6,164,177,0 days 00:09:46,0 days 00:06:25,376,379,1.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:18:13,0:00,0.0,0:00,No,00:06.75,9,0.0,2,garmin,0
2019-03-28,Running,False,Washington Running,5.14,518,00:44:38,140,161,2.6,167,174,0 days 00:08:41,0 days 00:07:13,114,111,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,44:38,0:00,0.0,0:00,No,01:14.73,6,0.0,2,garmin,0
2019-03-29,Running,False,Tazewell County Running,11.16,"1,095",01:30:02,145,172,3.4,170,179,0 days 00:08:04,0 days 00:06:40,250,249,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:30:02,0:00,0.0,0:00,No,01:10.46,12,0.0,2,garmin,0
2019-03-31,Running,False,Lafayette Running,4.16,421,00:35:41,137,160,2.2,165,172,0 days 00:08:35,0 days 00:06:59,51,49,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:41,0:00,0.0,0:00,No,01:27.44,5,0.0,2,garmin,0
2019-04-01,Running,False,Lafayette Running,7.01,783,00:59:20,145,165,3.0,167,172,0 days 00:08:28,0 days 00:05:49,244,241,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,59:20,0:00,0.0,0:00,No,00:04.97,8,0.0,2,garmin,0
2019-04-02,Running,False,Boulder County Running,5.42,650,00:45:00,145,171,3.4,168,186,0 days 00:08:19,0 days 00:06:10,326,339,1.15,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,45:00,0:00,0.0,0:00,No,03:25.94,6,0.0,2,garmin,0
2019-04-03,Running,False,Lafayette Running,5.95,711,00:54:25,144,160,2.9,165,175,0 days 00:09:09,0 days 00:08:00,89,85,1.07,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,54:25,0:00,0.0,0:00,No,08:42.47,6,0.0,2,garmin,0
2019-04-03,Running,False,Lafayette Running,3.34,331,01:15:01,0,0,0.0,123,245,0 days 00:22:28,0 days 00:04:34,30,26,0.58,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:15:01,0:00,0.0,0:00,No,00:02.09,5,0.0,2,garmin,0
