,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2019-06-20,Running,False,Sparta Cycling,4.05,361,00:32:57,135,152.0,1.4,0,0,8:09,5:35,85,108,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,32:57,0:00,68.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,0 days 00:08:09,0 days 00:08:09,20.987654320987655,0.7714285714285715,10.797546012269937,7.361963190184048,10.797631313110784,13.996929479958423
1,4,2019-06-22,Running,False,Sparta Running,5.07,651,00:39:50,162,180.0,3.2,158,166,7:52,6:35,82,102,1.29,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39:50,0:00,68.0,0:00,No,00:29.95,6.0,0.0,0,2,garmin,0,0 days 00:07:52,0 days 00:07:52,16.173570019723865,0.9257142857142857,11.1864406779661,7.627118644067797,11.186493159298273,12.084174709118505
2,6,2019-06-23,Running,False,Sparta Running,7.11,922,01:01:47,160,177.0,2.9,154,168,8:41,7:34,187,144,1.2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:01:47,0:00,71.6,0:00,No,00:57.87,8.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41,26.30098452883263,0.9142857142857143,10.134357005758156,6.90978886756238,10.134482735978343,11.084590492476313
3,7,2019-06-25,Running,False,Sparta Running,3.01,384,00:27:15,150,171.0,2.3,149,168,9:03,7:14,36,36,1.19,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,27:15,0:00,75.2,0:00,No,00:06.41,4.0,0.0,0,2,garmin,0,0 days 00:09:03,0 days 00:09:03,11.960132890365449,0.8571428571428571,9.723756906077346,6.6298342541436455,9.723781852467225,11.344412161211762
4,10,2019-06-27,Running,False,Sparta Running,6.56,665,00:58:35,143,164.0,2.2,150,175,8:55,4:58,148,154,1.18,9.2,11.0,256,48.4% L / 51.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:35,0:00,73.4,0:00,No,04:09.03,7.0,0.0,0,2,garmin,0,0 days 00:08:55,0 days 00:08:55,22.5609756097561,0.8171428571428572,9.869158878504674,6.728971962616823,9.869248972546234,12.077752239130007
5,13,2019-06-29,Running,False,Perry County Running,5.02,743,00:57:33,151,168.0,2.4,138,256,11:28,5:52,302,295,0.97,10.2,9.8,286,48.4% L / 51.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,57:33,0:00,77.0,0:00,No,00:10.24,6.0,0.0,0,2,garmin,0,0 days 00:11:28,0 days 00:11:28,60.159362549800804,0.8628571428571429,7.674418604651161,5.232558139534883,7.674916731557675,8.89477104650724
6,17,2019-07-02,Running,False,Sparta Running,3.01,335,00:23:28,152,169.0,2.4,160,231,7:48,6:52,49,52,1.27,8.7,11.2,253,48.3% L / 51.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,23:28,0:00,82.4,0:00,No,00:01.94,4.0,0.0,0,2,garmin,0,0 days 00:07:48,0 days 00:07:48,16.27906976744186,0.8685714285714285,11.282051282051281,7.6923076923076925,11.282104904712735,12.989265515294267
7,19,2019-07-04,Running,False,Steeleville Running,1.86,199,00:11:22,172,182.0,2.5,169,195,6:06,4:21,56,56,1.56,6.4,10.3,218,48.5% L / 51.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,11:22,0:00,80.6,0:00,No,05:25.99,2.0,0.0,0,2,garmin,0,0 days 00:06:06,0 days 00:06:06,30.10752688172043,0.9828571428571429,14.426229508196721,9.836065573770492,14.42646403994004,14.678088412729691
8,23,2019-07-06,Running,False,Clinton County Running,6.01,739,01:09:42,135,162.0,2.2,138,256,11:36,7:17,200,197,0.96,10.8,10.2,289,49.0% L / 51.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:09:42,0:00,78.8,0:00,No,00:05.32,7.0,0.0,0,2,garmin,0,0 days 00:11:36,0 days 00:11:36,33.277870216306155,0.7714285714285715,7.586206896551724,5.172413793103448,7.586357568906854,9.83416721895333
9,26,2019-07-09,Running,False,Sparta Running,3.26,304,00:25:47,140,152.0,1.5,158,163,7:54,6:35,62,98,1.26,8.7,11.3,249,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,25:47,0:00,75.2,0:00,No,01:59.39,4.0,0.0,0,2,garmin,0,0 days 00:07:54,0 days 00:07:54,19.018404907975462,0.8,11.139240506329113,7.594936708860759,11.139312767419458,13.924140959274322
10,28,2019-07-11,Running,False,Sparta Running,6.12,568,00:51:10,142,160.0,2.1,153,185,8:22,5:24,89,92,1.24,9.1,11.3,251,48.1% L / 51.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,51:10,0:00,75.2,0:00,No,00:58.54,7.0,0.0,0,2,garmin,0,0 days 00:08:22,0 days 00:08:22,14.542483660130719,0.8114285714285714,10.51792828685259,7.171314741035856,10.517968180956087,12.962284730051516
11,30,2019-07-13,Running,False,St Louis County Running,8.23,"1,074",01:35:02,147,179.0,2.6,138,256,11:32,6:10,574,620,0.98,10.9,10.7,290,49.8% L / 50.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:35:02,0:00,75.2,0:00,No,05:02.54,9.0,0.0,0,2,garmin,0,0 days 00:11:32,0 days 00:11:32,69.74483596597813,0.84,7.630057803468208,5.202312138728324,7.630723436949148,9.084194567796605
