,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
14,14,2020-11-24 06:14:26,Running,2020-11-24 06:14:26,False,Montgomery County Running,5.04,527,00:41:39,156,166,4.0,171,185,0 days 00:08:15,0 days 00:07:25,23,36,1.14,0.0,0.0,0.0,0.0,0.0,41:39,0:00,62.6,0:00,No,00:20.51,6,0.0,11,garmin,0,4.563492063492063,0.75,10.666666666666666,7.2727272727272725,10.666670650722361,14.222227534296481
15,15,2020-11-21 07:33:52,Running,2020-11-21 07:33:52,False,Harris County Running,10.01,897,01:22:24,150,171,3.7,172,190,0 days 00:08:14,0 days 00:07:02,148,167,1.13,0.0,0.0,0.0,0.0,0.0,1:22:24,0:00,69.8,0:00,No,00:03.15,11,0.0,11,garmin,0,14.785214785214785,0.7211538461538461,10.68825910931174,7.287449392712551,10.688301014091007,14.82111073953953
16,17,2020-11-15 08:07:13,Running,2020-11-15 08:07:13,False,Harris County - Tempo Variation,9.64,956,01:23:04,150,178,3.7,173,187,0 days 00:08:37,0 days 00:06:23,151,200,1.08,0.0,0.0,0.0,0.0,0.0,1:23:04,0:00,64.4,0:00,No,00:03.99,17,0.0,11,garmin,0,15.663900414937759,0.7211538461538461,10.212765957446807,6.963249516441006,10.212810898620456,14.161764446087032
17,18,2020-11-14 10:44:09,Running,2020-11-14 10:44:09,False,Montgomery County Running,2.0,201,00:16:41,148,164,3.0,169,177,0 days 00:08:20,0 days 00:07:11,13,10,1.14,0.0,0.0,0.0,0.0,0.0,16:41,0:00,78.8,0:00,No,00:02.76,3,0.0,11,garmin,0,6.5,0.7115384615384616,10.559999999999999,7.199999999999999,10.560008001890907,14.841092326981814
18,19,2020-11-10 17:18:14,Running,2020-11-10 17:18:14,False,Montgomery County Running,3.0,301,00:26:37,141,160,3.1,169,181,0 days 00:08:51,0 days 00:07:40,3,16,1.07,0.0,0.0,0.0,0.0,0.0,26:37,0:00,77.0,0:00,No,00:01.97,4,0.0,11,garmin,0,1.0,0.6778846153846154,9.943502824858758,6.779661016949153,9.9435030031958,14.66842996216118
19,20,2020-11-10 06:03:22,Running,2020-11-10 06:03:22,False,Montgomery County - Run #1 - enduran,5.24,475,00:47:07,140,161,3.1,163,205,0 days 00:09:00,0 days 00:06:55,33,46,1.1,0.0,0.0,0.0,0.0,0.0,47:07,0:00,73.4,0:00,No,00:06.91,12,0.0,11,garmin,0,6.297709923664122,0.6730769230769231,9.777777777777777,6.666666666666667,9.777784732943351,14.526994460372977
20,21,2020-11-07 07:46:46,Running,2020-11-07 07:46:46,False,Montgomery County Running,7.04,669,01:00:22,144,163,3.8,168,188,0 days 00:08:35,0 days 00:07:25,43,59,1.11,0.0,0.0,0.0,0.0,0.0,1:00:22,0:00,64.4,0:00,No,00:18.57,8,0.0,11,garmin,0,6.107954545454546,0.6923076923076923,10.252427184466018,6.990291262135922,10.252434044405753,14.809071397474977
21,22,2020-11-05 06:01:05,Running,2020-11-05 06:01:05,False,Harris County - endurance run wi,5.35,558,00:48:25,151,175,3.8,161,244,0 days 00:09:03,0 days 00:06:35,30,46,1.1,0.0,0.0,0.0,0.0,0.0,48:25,0:00,64.4,0:00,No,00:03.30,13,0.0,11,garmin,0,5.607476635514019,0.7259615384615384,9.723756906077346,6.6298342541436455,9.72376238974436,13.394321702429318
22,23,2020-11-03 05:35:48,Running,2020-11-03 05:35:48,False,Montgomery County Running,6.01,650,00:53:58,155,170,4.6,169,190,0 days 00:08:59,0 days 00:05:43,30,49,1.06,0.0,0.0,0.0,0.0,0.0,53:58,0:00,51.8,0:00,No,00:18.78,26,0.0,11,garmin,0,4.9916805324459235,0.7451923076923077,9.795918367346939,6.679035250463823,9.795922744994408,13.14549632876669
23,24,2020-10-29 16:15:09,Running,2020-10-29 16:15:09,False,Montgomery County Running,4.62,455,00:37:35,152,170,4.0,171,187,0 days 00:08:08,0 days 00:06:55,56,69,1.16,0.0,0.0,0.0,0.0,0.0,37:35,0:00,64.4,0:00,No,01:12.29,6,0.0,11,garmin,0,12.121212121212121,0.7307692307692307,10.819672131147541,7.3770491803278695,10.819700641841644,14.805906141467513
24,25,2020-10-24 08:59:57,Running,2020-10-24 08:59:57,False,St Johns County Running,3.48,380,00:30:04,157,178,3.9,169,187,0 days 00:08:39,0 days 00:07:26,46,56,1.1,0.0,0.0,0.0,0.0,0.0,30:04,0:00,80.6,0:00,No,04:11.66,4,0.0,11,garmin,0,13.218390804597702,0.7548076923076923,10.173410404624278,6.936416184971098,10.173442285131243,13.47819105291273
25,26,2020-10-18 07:07:52,Running,2020-10-18 07:07:52,False,Montgomery County Running,5.77,580,01:17:34,118,156,2.9,126,236,0 days 00:13:27,0 days 00:08:16,30,33,0.93,0.0,0.0,0.0,0.0,0.0,1:17:34,0:00,71.6,0:00,No,00:00.36,18,0.0,11,garmin,0,5.199306759098787,0.5673076923076923,6.5427509293680295,4.4609665427509295,6.542754101515176,11.532990280636922
26,27,2020-10-17 08:01:06,Running,2020-10-17 08:01:06,False,Harris County Running,5.19,517,01:10:01,115,176,3.1,128,185,0 days 00:13:30,0 days 00:07:45,95,115,0.91,0.0,0.0,0.0,0.0,0.0,1:10:01,0:00,64.4,0:00,No,01:43.00,9,0.0,11,garmin,0,18.304431599229286,0.5528846153846154,6.518518518518518,4.444444444444445,6.518557689301519,11.790086951084486
27,28,2020-10-15 07:26:15,Running,2020-10-15 07:26:15,False,Montgomery County Running,3.55,363,00:30:01,153,171,3.6,170,182,0 days 00:08:27,0 days 00:07:12,10,30,1.12,0.0,0.0,0.0,0.0,0.0,30:01,0:00,71.6,0:00,No,04:41.09,4,0.0,11,garmin,0,2.8169014084507045,0.7355769230769231,10.414201183431953,7.100591715976332,10.41420266551106,14.157870290367978
28,29,2020-10-11 07:08:19,Running,2020-10-11 07:08:19,False,Montgomery County Running,8.02,844,01:20:29,143,166,3.6,155,180,0 days 00:10:02,0 days 00:07:50,46,75,1.02,0.0,0.0,0.0,0.0,0.0,1:20:29,0:00,75.2,0:00,No,01:59.02,20,0.0,11,garmin,0,5.7356608478802995,0.6875,8.770764119601328,5.980066445182724,8.770769294554082,12.757482610260483
29,30,2020-10-10 08:04:44,Running,2020-10-10 08:04:44,False,Harris County Running,5.68,584,01:00:02,135,162,3.1,150,180,0 days 00:10:34,0 days 00:07:40,102,125,1.0,0.0,0.0,0.0,0.0,0.0,1:00:02,0:00,71.6,0:00,No,00:58.83,23,0.0,11,garmin,0,17.95774647887324,0.6490384615384616,8.32807570977918,5.678233438485805,8.328123876739502,12.831479750828269
