,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
58,74,2020-07-14 10:30:31,Running,2020-07-14 10:30:31,False,Longview Running,4.09,615,00:41:33,166,186,137,153,0 days 00:10:10,0 days 00:08:56,148,220,1.15,0.0,0.0,0.0,0.0,0.0,41:33,0:00,0.0,0:00,No,01:20.57,5,0.0,5,garmin,0,36.18581907090465,0.9485714285714286,8.655737704918034,5.901639344262295,8.655940977106125,9.125238981888987
59,75,2020-07-12 12:03:23,Running,2020-07-12 12:03:23,False,Longview Running,3.15,479,00:31:34,165,185,143,157,0 days 00:10:01,0 days 00:08:21,49,43,1.13,0.0,0.0,0.0,0.0,0.0,31:34,0:00,0.0,0:00,No,01:26.90,4,0.0,5,garmin,0,15.555555555555555,0.9428571428571428,8.785357737104823,5.990016638935107,8.785395864024535,9.317844098207841
60,76,2020-07-11 06:05:24,Running,2020-07-11 06:05:24,False,Longview Running,6.02,858,00:55:34,164,188,146,154,0 days 00:09:14,0 days 00:08:14,341,459,1.19,0.0,0.0,0.0,0.0,0.0,55:34,0:00,0.0,0:00,No,00:10.98,7,0.0,5,garmin,0,56.64451827242525,0.9371428571428572,9.530685920577618,6.498194945848376,9.53123436117731,10.17052447076847
61,77,2020-07-09 05:01:48,Running,2020-07-09 05:01:48,False,Longview Running,5.48,765,00:50:10,164,188,148,154,0 days 00:09:09,0 days 00:08:09,131,285,1.19,0.0,0.0,0.0,0.0,0.0,50:10,0:00,0.0,0:00,No,04:18.23,6,0.0,5,garmin,0,23.905109489051092,0.9371428571428572,9.617486338797814,6.557377049180328,9.617584908395996,10.262666822983531
62,78,2020-06-30 16:24:01,Running,2020-06-30 16:24:01,False,Arvada Running,3.01,428,00:34:05,149,179,140,158,0 days 00:11:20,0 days 00:08:46,30,207,1.01,0.0,0.0,0.0,0.0,0.0,34:05,0:00,0.0,0:00,No,00:04.35,4,0.0,5,garmin,0,9.966777408637874,0.8514285714285714,7.76470588235294,5.294117647058823,7.764719715987553,9.119637250320952
63,79,2020-06-29 16:35:22,Running,2020-06-29 16:35:22,False,Arvada Running,3.14,462,00:39:26,144,170,128,153,0 days 00:12:34,0 days 00:10:07,138,272,1.0,0.0,0.0,0.0,0.0,0.0,39:26,0:00,0.0,0:00,No,01:23.97,4,0.0,5,garmin,0,43.94904458598726,0.8228571428571428,7.002652519893899,4.774535809018568,7.0028951005075815,8.51046279575574
64,80,2020-06-22 05:02:31,Running,2020-06-22 05:02:31,False,Longview Running,5.29,741,00:50:40,160,182,144,157,0 days 00:09:34,0 days 00:08:54,79,207,1.17,0.0,0.0,0.0,0.0,0.0,50:40,0:00,0.0,0:00,No,02:43.13,6,0.0,5,garmin,0,14.93383742911153,0.9142857142857143,9.198606271777003,6.2717770034843205,9.19864306485824,10.061015852188701
65,81,2020-06-02 12:42:29,Running,2020-06-02 12:42:29,False,Longview Running,6.03,962,01:03:35,168,186,140,166,0 days 00:10:33,0 days 00:08:44,223,463,1.09,0.0,0.0,0.0,0.0,0.0,1:03:35,0:00,0.0,0:00,No,00:16.51,7,0.0,5,garmin,0,36.981757877280266,0.96,8.34123222748815,5.6872037914691935,8.341436825847733,8.688996693591388
66,82,2020-05-27 06:37:19,Running,2020-05-27 06:37:19,False,Longview Running,4.01,599,00:38:19,167,185,135,161,0 days 00:09:33,0 days 00:07:25,95,266,1.25,0.0,0.0,0.0,0.0,0.0,38:19,0:00,0.0,0:00,No,00:07.48,5,0.0,5,garmin,0,23.690773067331673,0.9542857142857143,9.214659685863873,6.282722513089005,9.214752440951358,9.656177707583758
67,83,2020-05-25 12:01:46,Running,2020-05-25 12:01:46,False,Longview Running,5.01,710,00:46:57,165,180,142,161,0 days 00:09:22,0 days 00:05:31,92,292,1.21,0.0,0.0,0.0,0.0,0.0,46:57,0:00,0.0,0:00,No,00:06.97,6,0.0,5,garmin,0,18.363273453093814,0.9428571428571428,9.395017793594304,6.405693950177936,9.395074613257611,9.964473074667163
68,84,2020-05-20 06:06:25,Running,2020-05-20 06:06:25,False,Longview Running,5.7,807,00:55:19,159,182,147,155,0 days 00:09:42,0 days 00:08:13,154,341,1.13,0.0,0.0,0.0,0.0,0.0,55:19,0:00,0.0,0:00,No,06:57.04,6,0.0,5,garmin,0,27.017543859649123,0.9085714285714286,9.072164948453608,6.185567010309279,9.072283717148638,9.985217927679319
69,85,2020-05-19 05:03:10,Running,2020-05-19 05:03:10,False,Longview Running,5.01,670,00:46:19,157,175,148,153,0 days 00:09:14,0 days 00:07:12,141,344,1.18,0.0,0.0,0.0,0.0,0.0,46:19,0:00,0.0,0:00,No,00:09.67,6,0.0,5,garmin,0,28.1437125748503,0.8971428571428571,9.530685920577618,6.498194945848376,9.530821310396087,10.623526938339587
70,87,2020-05-18 11:24:02,Running,2020-05-18 11:24:02,False,Longview Running,5.52,814,00:52:58,171,187,140,155,0 days 00:09:36,0 days 00:08:00,49,213,1.19,0.0,0.0,0.0,0.0,0.0,52:58,0:00,0.0,0:00,No,04:50.41,6,0.0,5,garmin,0,8.876811594202898,0.9771428571428571,9.166666666666666,6.25,9.166679621364754,9.381104875665685
71,89,2020-05-15 12:48:10,Running,2020-05-15 12:48:10,False,Longview Running,0.28,41,00:02:19.2,0,0,145,151,0 days 00:08:24,0 days 00:08:33,13,0,1.32,0.0,0.0,0.0,0.0,0.0,2:19.2,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,46.42857142857142,0.0,10.476190476190474,7.142857142857142,10.47659548809852,inf
72,90,2020-05-15 12:14:50,Running,2020-05-15 12:14:50,False,Longview Running,1.17,182,00:10:08,0,0,144,151,0 days 00:08:41,0 days 00:08:09,0,118,1.29,0.0,0.0,0.0,0.0,0.0,10:08,0:00,0.0,0:00,No,01:20.05,2,0.0,5,garmin,0,0.0,0.0,10.134357005758156,6.90978886756238,10.134357005758156,inf
73,91,2020-05-11 13:28:33,Running,2020-05-11 13:28:33,False,Longview Running,3.11,409,00:27:59,161,181,143,180,0 days 00:09:00,0 days 00:08:04,79,272,1.25,0.0,0.0,0.0,0.0,0.0,27:59,0:00,0.0,0:00,No,00:55.97,4,0.0,5,garmin,0,25.40192926045016,0.92,9.777777777777777,6.666666666666667,9.777890932638275,10.62814231808508
74,92,2020-05-07 12:43:37,Running,2020-05-07 12:43:37,False,Longview Running,6.0,895,00:57:36,170,189,134,161,0 days 00:09:36,0 days 00:07:36,354,597,1.26,0.0,0.0,0.0,0.0,0.0,57:36,0:00,0.0,0:00,No,00:01.96,7,0.0,5,garmin,0,59.0,0.9714285714285714,9.166666666666666,6.25,9.167238940732874,9.436863615460311
75,93,2020-05-03 18:12:45,Running,2020-05-03 18:12:45,False,Longview Running,1.13,149,00:10:10,161,177,150,161,0 days 00:08:58,0 days 00:08:20,0,157,1.2,0.0,0.0,0.0,0.0,0.0,10:10,0:00,0.0,0:00,No,01:15.23,2,0.0,5,garmin,0,0.0,0.92,9.814126394052044,6.691449814126394,9.814126394052044,10.667528689187003
76,94,2020-04-29 13:21:16,Running,2020-04-29 13:21:16,False,Longview Running,4.02,574,00:37:38,166,180,140,157,0 days 00:09:22,0 days 00:08:04,187,446,1.23,0.0,0.0,0.0,0.0,0.0,37:38,0:00,0.0,0:00,No,00:13.21,5,0.0,5,garmin,0,46.517412935323385,0.9485714285714286,9.395017793594304,6.405693950177936,9.395382398448271,9.90477060077378
77,95,2020-04-27 12:43:05,Running,2020-04-27 12:43:05,False,Longview Running,3.25,568,00:45:23,152,184,93,160,0 days 00:13:58,0 days 00:07:35,233,259,1.24,0.0,0.0,0.0,0.0,0.0,45:23,0:00,0.0,0:00,No,02:14.86,4,0.0,5,garmin,0,71.6923076923077,0.8685714285714285,6.300715990453461,4.2959427207637235,6.301296777828879,7.254782474474039
78,96,2020-04-25 17:04:44,Running,2020-04-25 17:04:44,False,Longview Running,3.31,454,00:29:09,168,188,148,163,0 days 00:08:48,0 days 00:07:58,102,354,1.24,0.0,0.0,0.0,0.0,0.0,29:09,0:00,0.0,0:00,No,02:43.94,4,0.0,5,garmin,0,30.815709969788518,0.96,9.999999999999998,6.8181818181818175,10.000170311046286,10.416844074006548
79,97,2020-04-18 14:57:01,Running,2020-04-18 14:57:01,False,Longview Running,6.31,864,00:56:58,165,183,144,157,0 days 00:09:02,0 days 00:08:09,213,472,1.24,0.0,0.0,0.0,0.0,0.0,56:58,0:00,0.0,0:00,No,02:47.59,7,0.0,5,garmin,0,33.75594294770206,0.9428571428571428,9.74169741697417,6.642066420664206,9.741896499364255,10.332314469022695
80,98,2020-04-14 12:10:10,Running,2020-04-14 12:10:10,False,Longview Running,3.01,377,00:26:28,155,176,147,156,0 days 00:08:47,0 days 00:08:00,102,92,1.25,0.0,0.0,0.0,0.0,0.0,26:28,0:00,0.0,0:00,No,00:08.26,4,0.0,5,garmin,0,33.887043189368775,0.8857142857142857,10.01897533206831,6.83111954459203,10.019181674406159,11.311979309813406
81,99,2020-04-13 12:23:58,Running,2020-04-13 12:23:58,False,Longview Running,3.02,368,00:25:47,156,185,145,164,0 days 00:08:32,0 days 00:07:33,98,203,1.3,0.0,0.0,0.0,0.0,0.0,25:47,0:00,0.0,0:00,No,00:09.97,4,0.0,5,garmin,0,32.450331125827816,0.8914285714285715,10.3125,7.03125,10.312694760232942,11.568728096415159
82,100,2020-04-08 17:43:02,Running,2020-04-08 17:43:02,False,Longview Running,4.03,612,00:38:51,170,188,135,157,0 days 00:09:39,0 days 00:07:56,440,515,1.24,0.0,0.0,0.0,0.0,0.0,38:51,0:00,0.0,0:00,No,00:14.72,5,0.0,5,garmin,0,109.18114143920594,0.9714285714285714,9.119170984455957,6.217616580310881,9.121120408692613,9.389388656007101
83,101,2020-04-06 17:58:01,Running,2020-04-06 17:58:01,False,Longview Running,3.02,424,00:27:20,165,186,141,159,0 days 00:09:03,0 days 00:07:47,39,213,1.26,0.0,0.0,0.0,0.0,0.0,27:20,0:00,0.0,0:00,No,00:10.49,4,0.0,5,garmin,0,12.913907284768213,0.9428571428571428,9.723756906077346,6.6298342541436455,9.723785989862707,10.31310635288469
84,103,2020-04-01 12:35:17,Running,2020-04-01 12:35:17,False,Longview Running,4.02,596,00:36:58,170,185,146,160,0 days 00:09:11,0 days 00:07:17,128,171,1.2,0.0,0.0,0.0,0.0,0.0,36:58,0:00,0.0,0:00,No,00:12.04,5,0.0,5,garmin,0,31.840796019900502,0.9714285714285714,9.582577132486387,6.533575317604355,9.582751372689112,9.864597001297614
85,104,2020-03-29 10:29:19,Running,2020-03-29 10:29:19,False,Longview Running,6.26,919,00:58:58,167,187,142,160,0 days 00:09:25,0 days 00:07:55,446,535,1.2,0.0,0.0,0.0,0.0,0.0,58:58,0:00,0.0,0:00,No,02:20.46,7,0.0,5,garmin,0,71.24600638977635,0.9542857142857143,9.345132743362832,6.371681415929204,9.345983467818638,9.793695250708152
86,105,2020-03-26 17:38:43,Running,2020-03-26 17:38:43,False,Longview Running,3.12,483,00:29:43,173,191,143,160,0 days 00:09:31,0 days 00:07:59,66,141,1.19,0.0,0.0,0.0,0.0,0.0,29:43,0:00,0.0,0:00,No,01:02.18,4,0.0,5,garmin,0,21.153846153846153,0.9885714285714285,9.24693520140105,6.304728546409807,9.247009413875746,9.353911256810726
87,106,2020-03-25 15:02:35,Running,2020-03-25 15:02:35,False,Longview Running,4.03,626,00:38:05,174,189,144,160,0 days 00:09:27,0 days 00:07:22,85,89,1.18,0.0,0.0,0.0,0.0,0.0,38:05,0:00,0.0,0:00,No,00:14.13,5,0.0,5,garmin,0,21.09181141439206,0.9942857142857143,9.312169312169312,6.34920634920635,9.312243610498845,9.365762251938493
88,107,2020-03-21 15:51:26,Running,2020-03-21 15:51:26,False,Longview Running,0.53,41,00:04:12.0,118,132,149,169,0 days 00:08:00,0 days 00:07:36,59,33,1.35,0.0,0.0,0.0,0.0,0.0,4:12.0,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,111.32075471698113,0.6742857142857143,11.0,7.5,11.002444549716119,16.31718471356204
89,110,2020-03-11 06:05:04,Running,2020-03-11 06:05:04,False,Longview Running,5.02,686,00:47:37,155,175,146,158,0 days 00:09:29,0 days 00:08:36,135,190,1.16,0.0,0.0,0.0,0.0,0.0,47:37,0:00,0.0,0:00,No,00:08.91,6,0.0,5,garmin,0,26.892430278884465,0.8857142857142857,9.279437609841828,6.32688927943761,9.279557969543216,10.476920288193954
90,111,2020-03-08 14:43:08,Running,2020-03-08 14:43:08,False,Longview Running,6.02,861,00:53:38,170,186,149,160,0 days 00:08:54,0 days 00:07:45,43,95,1.22,0.0,0.0,0.0,0.0,0.0,53:38,0:00,0.0,0:00,No,00:11.60,7,0.0,5,garmin,0,7.142857142857143,0.9714285714285714,9.887640449438202,6.741573033707865,9.887649497145759,10.178462717650046
91,113,2020-02-25 07:16:49,Running,2020-02-25 07:16:49,False,Phoenix Running,3.01,435,00:27:27,168,185,134,165,0 days 00:09:08,0 days 00:06:52,56,141,1.31,0.0,0.0,0.0,0.0,0.0,27:27,0:00,0.0,0:00,No,00:09.56,4,0.0,5,garmin,0,18.6046511627907,0.96,9.635036496350365,6.569343065693431,9.635096309577962,10.036558655810378
92,114,2020-02-24 05:32:20,Running,2020-02-24 05:32:20,False,Phoenix Running,4.32,628,00:40:26,167,184,133,210,0 days 00:09:22,0 days 00:06:46,30,105,1.3,0.0,0.0,0.0,0.0,0.0,40:26,0:00,0.0,0:00,No,02:33.98,5,0.0,5,garmin,0,6.944444444444444,0.9542857142857143,9.395017793594304,6.405693950177936,9.395025919552696,9.845087041447435
93,115,2020-02-22 15:53:29,Running,2020-02-22 15:53:29,False,Dallas Running,5.03,772,00:45:18,177,191,142,157,0 days 00:09:01,0 days 00:07:23,135,226,1.26,0.0,0.0,0.0,0.0,0.0,45:18,0:00,0.0,0:00,No,00:16.58,6,0.0,5,garmin,0,26.8389662027833,1.0114285714285713,9.759704251386319,6.6543438077634,9.759830337592746,9.649549768806388
94,117,2020-02-17 17:11:23,Running,2020-02-17 17:11:23,False,Longview Running,6.05,962,00:58:14,176,188,140,160,0 days 00:09:37,0 days 00:07:55,177,285,1.19,0.0,0.0,0.0,0.0,0.0,58:14,0:00,0.0,0:00,No,00:31.25,7,0.0,5,garmin,0,29.25619834710744,1.0057142857142858,9.150779896013864,6.239168110918544,9.15092036896896,9.09892650323618
95,119,2020-02-09 07:57:51,Running,2020-02-09 07:57:51,False,New Orleans Running,13.12,"1,894",01:53:17,175,192,148,160,0 days 00:08:38,0 days 00:07:03,23,128,1.26,0.0,0.0,0.0,0.0,0.0,1:53:17,0:00,0.0,0:00,No,00:54.70,14,0.0,5,garmin,0,1.753048780487805,1.0,10.193050193050192,6.94980694980695,10.193050754866462,10.193050754866462
96,125,2020-01-25 06:07:35,Running,2020-01-25 06:07:35,False,Longview Running,10.76,"1,453",01:37:06,164,186,148,160,0 days 00:09:01,0 days 00:07:32,364,456,1.21,0.0,0.0,0.0,0.0,0.0,1:37:06,0:00,0.0,0:00,No,06:13.80,11,0.0,5,garmin,0,33.82899628252788,0.9371428571428572,9.759704251386319,6.6543438077634,9.759904565977246,10.414532311256208
97,126,2020-01-23 10:47:11,Running,2020-01-23 10:47:11,False,Longview Running,11.55,"1,621",01:55:53,159,185,139,161,0 days 00:10:02,0 days 00:07:12,377,397,1.15,0.0,0.0,0.0,0.0,0.0,1:55:53,0:00,0.0,0:00,No,04:40.45,12,0.0,5,garmin,0,32.64069264069264,0.9085714285714286,8.770764119601328,5.980066445182724,8.770931711944582,9.653541192391836
98,127,2020-01-21 05:05:11,Running,2020-01-21 05:05:11,False,Longview Running,5.43,667,00:49:59,146,170,152,160,0 days 00:09:12,0 days 00:07:59,157,246,1.15,0.0,0.0,0.0,0.0,0.0,49:59,0:00,0.0,0:00,No,03:51.21,6,0.0,5,garmin,0,28.913443830570905,0.8342857142857143,9.565217391304348,6.521739130434783,9.565360805913597,11.465329733115613
99,128,2020-01-18 09:26:16,Running,2020-01-18 09:26:16,False,Longview Running,9.5,"1,420",01:42:45,159,175,140,158,0 days 00:10:49,0 days 00:07:54,502,430,1.07,0.0,0.0,0.0,0.0,0.0,1:42:45,0:00,0.0,0:00,No,05:03.64,10,0.0,5,garmin,0,52.8421052631579,0.9085714285714286,8.135593220338983,5.546995377503852,8.136000638828612,8.954717684245328
100,130,2020-01-14 05:03:37,Running,2020-01-14 05:03:37,False,Longview Running,5.18,680,00:46:45,159,179,147,157,0 days 00:09:02,0 days 00:07:26,121,210,1.22,0.0,0.0,0.0,0.0,0.0,46:45,0:00,0.0,0:00,No,01:30.51,6,0.0,5,garmin,0,23.35907335907336,0.9085714285714286,9.74169741697417,6.642066420664206,9.741792750551815,10.722098939286589
101,131,2020-01-12 16:20:59,Running,2020-01-12 16:20:59,False,Longview Running,11.06,"1,447",01:43:34,161,182,144,158,0 days 00:09:22,0 days 00:07:36,472,541,1.2,0.0,0.0,0.0,0.0,0.0,1:43:34,0:00,0.0,0:00,No,00:29.53,12,0.0,5,garmin,0,42.67631103074141,0.92,9.395017793594304,6.405693950177936,9.395324672061827,10.21230942615416
102,133,2020-01-08 04:30:58,Running,2020-01-08 04:30:58,False,Running,9.0,"1,353",01:20:23,0,0,0,0,0 days 00:08:56,0 days 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1:20:23,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,0.0,0.0,9.850746268656716,6.716417910447761,9.850746268656716,inf
103,134,2020-01-07 18:31:13,Running,2020-01-07 18:31:13,False,Longview Running,3.13,427,00:30:57,153,176,142,156,0 days 00:09:54,0 days 00:08:14,102,177,1.15,0.0,0.0,0.0,0.0,0.0,30:57,0:00,0.0,0:00,No,01:12.65,4,0.0,5,garmin,0,32.587859424920126,0.8742857142857143,8.888888888888888,6.0606060606060606,8.889058188971266,10.167223418757983
104,135,2020-01-05 09:53:09,Running,2020-01-05 09:53:09,False,Longview Running,15.59,"2,318",02:44:17,170,186,139,158,0 days 00:10:33,0 days 00:08:06,328,348,1.09,0.0,0.0,0.0,0.0,0.0,2:44:17,0:00,0.0,0:00,No,06:22.04,16,0.0,5,garmin,0,21.039127645926875,0.9714285714285714,8.34123222748815,5.6872037914691935,8.341298447019822,8.58663075428511
105,136,2020-01-03 17:44:12,Running,2020-01-03 17:44:12,False,Longview Running,5.03,699,00:48:18,159,182,145,158,0 days 00:09:37,0 days 00:08:26,128,276,1.16,0.0,0.0,0.0,0.0,0.0,48:18,0:00,0.0,0:00,No,00:16.74,6,0.0,5,garmin,0,25.44731610337972,0.9085714285714286,9.150779896013864,6.239168110918544,9.15088617360834,10.071730065292199
106,138,2019-12-31 18:05:48,Running,2019-12-31 18:05:48,False,Longview Running,5.02,686,00:44:52,165,187,144,160,0 days 00:08:56,0 days 00:07:20,174,210,1.25,0.0,0.0,0.0,0.0,0.0,44:52,0:00,0.0,0:00,No,00:11.04,6,0.0,5,garmin,0,34.66135458167331,0.9428571428571428,9.850746268656716,6.716417910447761,9.850958523532574,10.447986312837578
107,139,2019-12-28 06:00:36,Running,2019-12-28 06:00:36,False,Running,15.0,"2,217",02:18:00,0,0,0,0,0 days 00:09:12,0 days 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2:18:00,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,0.0,0.0,9.565217391304348,6.521739130434783,9.565217391304348,inf
108,142,2019-12-23 09:08:26,Running,2019-12-23 09:08:26,False,Houston Running,5.01,710,00:46:10,163,180,147,157,0 days 00:09:12,0 days 00:08:11,20,118,1.19,0.0,0.0,0.0,0.0,0.0,46:10,0:00,0.0,0:00,No,00:09.27,6,0.0,5,garmin,0,3.9920159680638725,0.9314285714285714,9.565217391304348,6.521739130434783,9.56522012519715,10.269408109874242
109,143,2019-12-15 07:15:37,Running,2019-12-15 07:15:37,False,Galveston Running,13.03,"1,886",02:02:46,166,180,146,163,0 days 00:09:25,0 days 00:08:16,26,102,1.17,0.0,0.0,0.0,0.0,0.0,2:02:46,0:00,0.0,0:00,No,00:12.19,14,0.0,5,garmin,0,1.9953952417498082,0.9485714285714286,9.345132743362832,6.371681415929204,9.34513341070026,9.851797270316538
110,144,2019-12-14 06:31:05,Running,2019-12-14 06:31:05,False,Longview Running,9.02,"1,438",01:23:50,170,187,148,164,0 days 00:09:18,0 days 00:07:59,230,322,1.17,0.0,0.0,0.0,0.0,0.0,1:23:50,0:00,0.0,0:00,No,00:13.06,10,0.0,5,garmin,0,25.49889135254989,0.9714285714285714,9.462365591397848,6.451612903225806,9.462475933676348,9.740784049372712
111,146,2019-12-07 06:07:17,Running,2019-12-07 06:07:17,False,Longview Running,17.04,"2,278",02:38:37,156,180,147,158,0 days 00:09:18,0 days 00:07:54,728,814,1.18,0.0,0.0,0.0,0.0,0.0,2:38:37,0:00,0.0,0:00,No,00:22.96,18,0.0,5,garmin,0,42.72300469483568,0.8914285714285715,9.462365591397848,6.451612903225806,9.462675346417017,10.615180677070372
112,147,2019-12-05 06:14:19,Running,2019-12-05 06:14:19,False,Longview Running,1.02,153,00:09:37.5,161,169,148,160,0 days 00:09:25,0 days 00:07:59,36,13,1.16,0.0,0.0,0.0,0.0,0.0,9:37.5,0:00,0.0,0:00,No,00:10.52,2,0.0,5,garmin,0,35.294117647058826,0.92,9.345132743362832,6.371681415929204,9.345341522664564,10.157979915939743
113,148,2019-12-05 05:31:47,Running,2019-12-05 05:31:47,False,Longview Running,4.5,635,00:38:46,164,174,152,160,0 days 00:08:37,0 days 00:07:39,154,226,1.23,0.0,0.0,0.0,0.0,0.0,38:46,0:00,0.0,0:00,No,04:33.82,5,0.0,5,garmin,0,34.22222222222222,0.9371428571428572,10.212765957446807,6.963249516441006,10.2129804723115,10.897997455210442
114,150,2019-12-03 05:05:26,Running,2019-12-03 05:05:26,False,Longview Running,5.19,746,00:48:50,154,174,152,162,0 days 00:09:24,0 days 00:07:44,138,187,1.13,0.0,0.0,0.0,0.0,0.0,48:50,0:00,0.0,0:00,No,01:46.09,6,0.0,5,garmin,0,26.589595375722542,0.88,9.361702127659573,6.382978723404255,9.361820835029116,10.638432767078541
115,151,2019-12-01 12:48:55,Running,2019-12-01 12:48:55,False,Longview Running,15.0,"2,335",02:29:03,168,183,142,184,0 days 00:09:56,0 days 00:06:41,489,587,1.14,0.0,0.0,0.0,0.0,0.0,2:29:03,0:00,0.0,0:00,No,09:01.63,15,0.0,5,garmin,0,32.6,0.96,8.859060402684563,6.040268456375839,8.859229260389935,9.228363812906181
116,152,2019-11-29 06:03:01,Running,2019-11-29 06:03:01,False,Longview Running,5.26,712,00:49:21,150,165,142,158,0 days 00:09:23,0 days 00:07:33,108,177,1.21,0.0,0.0,0.0,0.0,0.0,49:21,0:00,0.0,0:00,No,02:16.93,6,0.0,5,garmin,0,20.53231939163498,0.8571428571428571,9.378330373001775,6.394316163410302,9.378401282117217,10.941468162470088
117,153,2019-11-28 07:11:28,Running,2019-11-28 07:11:28,False,Gregg County Running,7.0,"1,060",01:01:00,170,193,150,160,0 days 00:08:43,0 days 00:07:19,472,643,1.23,0.0,0.0,0.0,0.0,0.0,1:01:00,0:00,0.0,0:00,No,00:02.52,8,0.0,5,garmin,0,67.42857142857143,0.9714285714285714,10.095602294455066,6.8833652007648185,10.096425493019286,10.393379183990442
118,155,2019-11-23 06:05:52,Running,2019-11-23 06:05:52,False,Longview Running,15.2,"2,046",02:23:06,154,175,145,173,0 days 00:09:25,0 days 00:07:36,449,620,1.18,0.0,0.0,0.0,0.0,0.0,2:23:06,0:00,0.0,0:00,No,01:48.52,16,0.0,5,garmin,0,29.539473684210527,0.88,9.345132743362832,6.371681415929204,9.345278991297569,10.619635217383601
119,157,2019-11-21 12:34:23,Running,2019-11-21 12:34:23,False,Longview Running,4.05,610,00:36:29,167,180,149,156,0 days 00:09:01,0 days 00:07:41,20,85,1.2,0.0,0.0,0.0,0.0,0.0,36:29,0:00,0.0,0:00,No,00:24.100,5,0.0,5,garmin,0,4.938271604938272,0.9542857142857143,9.759704251386319,6.6543438077634,9.759708520017835,10.227239467084557
120,158,2019-11-20 04:37:03,Running,2019-11-20 04:37:03,False,Longview Running,8.02,"1,169",01:09:45,164,184,150,159,0 days 00:08:42,0 days 00:07:29,266,335,1.24,0.0,0.0,0.0,0.0,0.0,1:09:45,0:00,0.0,0:00,No,00:10.55,9,0.0,5,garmin,0,33.16708229426434,0.9371428571428572,10.114942528735632,6.8965517241379315,10.115142089809071,10.793596742174314
121,160,2019-11-18 04:36:57,Running,2019-11-18 04:36:57,False,Longview Running,9.16,"1,199",01:27:41,145,167,148,156,0 days 00:09:35,0 days 00:07:47,193,204,1.14,0.0,0.0,0.0,0.0,0.0,1:27:41,0:00,0.0,0:00,No,01:23.71,10,0.0,5,garmin,0,21.069868995633186,0.8285714285714286,9.182608695652172,6.260869565217391,9.182681807907143,11.082547009543102
122,162,2019-11-12 04:36:40,Running,2019-11-12 04:36:40,False,Longview Running,5.28,713,00:46:00,155,178,152,165,0 days 00:08:43,0 days 00:07:44,108,220,1.21,0.0,0.0,0.0,0.0,0.0,46:00,0:00,0.0,0:00,No,02:14.72,6,0.0,5,garmin,0,20.454545454545453,0.8857142857142857,10.095602294455066,6.8833652007648185,10.095678049651632,11.398346185090553
123,163,2019-11-09 06:06:59,Running,2019-11-09 06:06:59,False,Longview Running,12.06,"1,796",01:52:43,163,182,150,158,0 days 00:09:21,0 days 00:08:06,515,604,1.15,0.0,0.0,0.0,0.0,0.0,1:52:43,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,42.70315091210613,0.9314285714285714,9.411764705882351,6.4171122994652405,9.412072518176164,10.104985832397722
124,165,2019-11-06 05:40:17,Running,2019-11-06 05:40:17,False,Longview Running,6.04,936,00:53:23,173,189,147,157,0 days 00:08:51,0 days 00:07:23,197,285,1.24,0.0,0.0,0.0,0.0,0.0,53:23,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,32.615894039735096,0.9885714285714285,9.943502824858758,6.779661016949153,9.943692537378732,10.058648520469816
125,166,2019-11-05 05:04:35,Running,2019-11-05 05:04:35,False,Longview Running,6.0,467,00:56:47,157,176,150,156,0 days 00:09:28,0 days 00:07:29,180,272,1.13,0.0,0.0,0.0,0.0,0.0,56:47,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,30.0,0.8971428571428571,9.295774647887322,6.338028169014084,9.295924694691704,10.361699500452536
126,167,2019-11-03 09:48:20,Running,2019-11-03 09:48:20,False,Longview Running,3.0,215,00:24:21,170,184,154,160,0 days 00:08:07,0 days 00:07:40,23,102,1.29,0.0,0.0,0.0,0.0,0.0,24:21,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0,7.666666666666667,0.9714285714285714,10.84188911704312,7.392197125256673,10.841900546354225,11.160779974188173
127,168,2019-11-02 06:09:34,Running,2019-11-02 06:09:34,False,Longview Running,12.23,"1,759",02:02:44,162,177,145,164,0 days 00:10:02,0 days 00:07:54,489,564,1.11,0.0,0.0,0.0,0.0,0.0,2:02:44,0:00,0.0,0:00,No,09:14.92,11,0.0,5,garmin,0,39.98364677023712,0.9257142857142857,8.770764119601328,5.980066445182724,8.771015596542204,9.474862527128925
