,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
13,20,2021-01-09 11:39:00,Running,1/9/2021 11:39,False,Untitled,6.44,607,0:58:46,128,144,2.8,162,172,0 days 00:09:08,0 days 00:07:35,217,279,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58:46:00,0:00,60.8,0:00,No,04:11.7,7,0,32,14,42,1,garmin,0,33.69565217391304,0.6956521739130435,9.635036496350365,6.569343065693431,9.635232696274228,13.850647000894202
14,21,2021-01-07 14:14:00,Running,1/7/2021 14:14,False,Untitled,6.19,647,0:59:34,135,171,3.2,157,212,0 days 00:09:38,0 days 00:07:59,390,449,1.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59:34:00,0:00,50.0,0:00,No,01:49.8,7,0,31,20,41,1,garmin,0,63.00484652665589,0.7336956521739131,9.134948096885813,6.228373702422146,9.135598437235815,12.45148231445474
15,23,2021-01-06 14:19:00,Running,1/6/2021 14:19,False,Untitled,7.23,836,1:06:59,140,157,3.6,160,179,0 days 00:09:16,0 days 00:07:36,367,335,1.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:06:59,0:00,60.8,0:00,No,02:01.9,8,0,30,13,39,1,garmin,0,50.76071922544951,0.7608695652173914,9.496402877697841,6.474820143884892,9.496841718287167,12.481563401177418
16,25,2021-01-04 12:56:00,Running,1/4/2021 12:56,False,Untitled,7.2,746,1:06:16,134,150,3.1,162,177,0 days 00:09:12,0 days 00:07:54,410,394,1.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:06:16,0:00,62.6,0:00,No,01:49.2,8,0,31,16,40,1,garmin,0,56.94444444444444,0.7282608695652174,9.565217391304348,6.521739130434783,9.565773663171452,13.135092194205576
17,27,2021-01-02 12:55:00,Running,1/2/2021 12:55,False,Untitled,6.23,654,0:58:05,131,148,3.0,159,177,0 days 00:09:20,0 days 00:08:00,502,505,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58:05:00,0:00,30.2,0:00,No,02:23.1,7,0,32,14,42,1,garmin,0,80.57784911717495,0.7119565217391305,9.428571428571427,6.428571428571428,9.429669306644836,13.244726354371371
18,28,2021-01-01 12:49:00,Running,1/1/2021 12:49,False,Untitled,7.24,797,1:06:34,134,153,3.2,160,174,0 days 00:09:12,0 days 00:07:56,554,591,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:06:34,0:00,48.2,0:00,No,02:16.5,8,0,31,14,43,1,garmin,0,76.51933701657458,0.7282608695652174,9.565217391304348,6.521739130434783,9.566221814190163,13.135707565753656
19,30,2020-12-26 10:36:00,Running,12/26/2020 10:36,False,Untitled,7.24,688,1:08:02,124,148,2.8,160,176,0 days 00:09:23,0 days 00:08:16,528,594,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:08:02,0:00,37.4,0:00,No,02:23.3,8,0,33,15,43,1,garmin,0,72.92817679558011,0.6739130434782609,9.378330373001775,6.394316163410302,9.37922490872322,13.917559541976392
20,31,2020-12-24 13:51:00,Running,12/24/2020 13:51,False,Untitled,6.01,621,0:55:24,127,154,2.8,166,178,0 days 00:09:13,0 days 00:07:49,262,256,1.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:24:00,0:00,69.8,0:00,No,00:02.6,7,0,33,17,48,1,garmin,0,43.59400998336107,0.6902173913043478,9.547920433996381,6.509945750452079,9.548245863697987,13.833679046617558
21,33,2020-12-22 12:13:00,Running,12/22/2020 12:13,False,Untitled,7.1,648,1:03:13,125,146,2.6,170,180,0 days 00:08:54,0 days 00:07:47,315,335,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:03:13,0:00,55.4,0:00,No,00:49.5,8,0,33,18,46,1,garmin,0,44.36619718309859,0.6793478260869565,9.887640449438202,6.741573033707865,9.887989502594348,14.555120547818879
22,34,2020-12-21 13:00:00,Running,12/21/2020 13:00,False,Untitled,7.3,729,1:04:01,133,150,3.1,166,180,0 days 00:08:46,0 days 00:07:53,387,358,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:04:01,0:00,55.4,0:00,No,02:39.3,8,0,32,15,42,1,garmin,0,53.013698630136986,0.7228260869565217,10.03802281368821,6.844106463878326,10.038528773010787,13.887889430330713
