date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2020-12-26 14:37:54,Trail Running,2020-12-26 14:37:54,False,Sauherad Trail Running,14.26,"1,356",01:46:51,149,185,4.0,151,245,0 days 00:07:29,0 days 00:04:08,690,689,0.88,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:46:51,0:00,5.0,0:00,No,01:46:51.39,1,0.0,0,0,0,7,garmin,0
2020-12-24 06:54:22,Trail Running,2020-12-24 06:54:22,False,BÃ¸ Trail Running,14.85,"1,598",02:15:59,143,189,3.7,121,245,0 days 00:09:09,0 days 00:03:30,558,543,0.91,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,2:15:59,0:00,4.0,0:00,No,02:15:58.98,1,0.0,20,20,20,7,garmin,0
2020-12-12 12:27:35,Trail Running,2020-12-12 12:27:35,False,Sauherad Trail Running,10.08,924,01:11:22,149,189,3.3,151,242,0 days 00:07:05,0 days 00:03:38,494,494,0.94,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:11:22,0:00,6.0,0:00,No,01:11:21.58,1,0.0,12,12,12,7,garmin,0
2020-12-10 13:17:08,Running,2020-12-10 13:17:08,False,Sauherad Running,10.00,779,00:47:57,162,193,3.7,175,230,0 days 00:04:48,0 days 00:03:30,125,128,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:57,0:00,8.0,0:00,No,04:00.20,9,0.0,14,14,14,7,garmin,0
2020-12-09 12:41:00,Running,2020-12-09 12:41:00,False,Sauherad Running,11.00,923,00:52:54,170,197,4.4,175,191,0 days 00:04:48,0 days 00:04:01,171,169,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,52:54,0:00,8.0,0:00,No,52:53.97,1,0.0,18,18,18,7,garmin,0
2020-12-08 17:12:11,Running,2020-12-08 17:12:11,False,Sauherad Running,10.01,820,00:48:30,167,194,4.0,174,232,0 days 00:04:51,0 days 00:03:37,175,123,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:30,0:00,11.0,0:00,No,48:30.29,1,0.0,16,16,16,7,garmin,0
2020-12-07 14:18:08,Running,2020-12-07 14:18:08,False,Sauherad Running,10.00,770,00:47:47,161,189,3.8,171,205,0 days 00:04:47,0 days 00:03:27,146,154,1.22,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:47,0:00,9.0,0:00,No,02:30.00,12,0.0,17,17,17,7,garmin,0
2020-12-06 11:14:55,Running,2020-12-06 11:14:55,False,Oslo Running,14.63,"1,213",01:17:05,160,198,4.0,171,229,0 days 00:05:16,0 days 00:03:32,246,246,1.11,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:17:05,0:00,7.0,0:00,No,01:17:05.12,1,0.0,14,14,14,7,garmin,0
2020-12-05 15:53:52,Running,2020-12-05 15:53:52,False,Oslo Running,10.01,788,00:51:14,159,195,3.6,167,179,0 days 00:05:07,0 days 00:04:06,184,204,1.17,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,51:14,0:00,7.0,0:00,No,02:13.86,2,0.0,17,17,17,7,garmin,0
2020-12-02 17:53:26,Running,2020-12-02 17:53:26,False,Sunndal Running,10.07,898,00:50:16,173,202,4.7,178,238,0 days 00:05:00,0 days 00:04:16,86,80,1.13,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:16,0:00,11.0,0:00,No,50:15.71,1,0.0,22,22,22,7,garmin,0
2020-12-01 11:29:53,Running,2020-12-01 11:29:53,False,Oslo Running,10.00,844,00:50:43,163,191,4.1,172,226,0 days 00:05:04,0 days 00:03:26,169,174,1.15,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:43,0:00,7.0,0:00,No,04:42.69,2,0.0,13,13,13,7,garmin,0
