,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2021-02-16 08:30:09,Running,2021-02-16 08:30:09,False,Boulder Running,4.8,648,00:56:04,144,171,3.0,159,233,0 days 00:11:41,0 days 00:07:14,1017,"1,004",0.88,10.6,9.1,299,49.4% L / 50.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,56:04,0:00,50.0,0:00,No,05:10.48,3,0.0,33,14,44,12,garmin,0,211.875,0.7128712871287128,7.5320970042796,5.1355206847360915,7.538158820569127,10.574361678853915
1,6,2021-02-13 08:56:33,Running,2021-02-13 08:56:33,False,Boulder Running,8.13,"1,342",02:14:19,139,177,3.6,125,236,0 days 00:16:32,0 days 00:07:59,3228,"3,268",0.78,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:14:19,0:00,30.2,0:00,No,02:14:19.04,1,0.0,0,0,0,12,garmin,0,397.04797047970476,0.6881188118811881,5.322580645161289,3.6290322580645156,5.337608524697553,7.7568123884093945
2,9,2021-02-11 08:07:37,Running,2021-02-11 08:07:37,False,Boulder Running,4.32,581,00:48:22,144,170,3.1,155,256,0 days 00:11:12,0 days 00:06:41,994,"1,007",0.91,9.7,8.8,328,49.4% L / 50.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,48:22,0:00,41.0,0:00,No,48:21.99,1,0.0,31,14,45,12,garmin,0,230.09259259259258,0.7128712871287128,7.857142857142858,5.357142857142858,7.86459988977145,11.032285956484952
3,16,2021-02-05 08:11:50,Running,2021-02-05 08:11:50,False,Boulder Running,3.54,384,00:35:02,132,145,2.2,174,215,0 days 00:09:54,0 days 00:08:16,207,174,0.93,9.8,9.2,247,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,35:02,0:00,50.0,0:00,No,35:01.68,1,0.0,32,22,40,12,garmin,0,58.47457627118644,0.6534653465346535,8.888888888888888,6.0606060606060606,8.889433981741858,13.603527759938297
4,19,2021-02-04 07:32:30,Running,2021-02-04 07:32:30,False,Boulder Running,5.33,547,00:46:08,145,170,3.0,179,223,0 days 00:08:39,0 days 00:06:14,213,197,1.03,8.8,9.1,236,49.3% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:08,0:00,42.8,0:00,No,01:59.87,18,0.0,32,22,42,12,garmin,0,39.9624765478424,0.7178217821782178,10.173410404624278,6.936416184971098,10.173701789692752,14.173019044951282
5,24,2021-02-02 06:14:35,Running,2021-02-02 06:14:35,False,Boulder Running,4.03,480,00:37:40,143,158,2.9,183,209,0 days 00:09:21,0 days 00:07:35,315,289,0.95,8.8,8.5,239,48.8% L / 51.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:40,0:00,55.4,0:00,No,10:21.45,3,0.0,32,24,39,12,garmin,0,78.1637717121588,0.7079207920792079,9.411764705882351,6.4171122994652405,9.412795947529318,13.296397072733722
6,47,2021-01-15 07:50:51,Running,2021-01-15 07:50:51,False,Longmont Running,8.17,881,01:13:53,145,167,3.7,170,225,0 days 00:09:02,0 days 00:07:06,180,190,1.05,8.7,9.3,238,48.9% L / 51.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:13:53,0:00,41.0,0:00,No,05:01.91,4,0.0,31,13,43,12,garmin,0,22.031823745410037,0.7178217821782178,9.74169741697417,6.642066420664206,9.741782224775084,13.57131040968667
7,49,2021-01-13 06:57:22,Running,2021-01-13 06:57:22,False,Longmont Running,4.58,550,00:46:38,143,175,3.0,163,219,0 days 00:10:11,0 days 00:05:49,341,338,0.97,8.7,8.5,254,49.0% L / 51.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:38,0:00,60.8,0:00,No,00:42.16,10,0.0,31,21,43,12,garmin,0,74.45414847161572,0.7079207920792079,8.641571194762683,5.8919803600654665,8.642430309335891,12.208188269131819
8,54,2021-01-09 07:37:33,Running,2021-01-09 07:37:33,False,Longmont Running,9.01,928,01:21:23,147,163,3.2,174,201,0 days 00:09:02,0 days 00:07:39,213,213,1.03,8.8,9.3,242,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:21:23,0:00,55.4,0:00,No,04:20.74,3,0.0,30,16,38,12,garmin,0,23.640399556048834,0.7277227722772277,9.74169741697417,6.642066420664206,9.741795060677752,13.3866843690946
9,56,2021-01-07 14:45:34,Running,2021-01-07 14:45:34,False,Longmont Running,3.46,384,00:33:08,144,177,2.8,158,207,0 days 00:09:35,0 days 00:04:43,69,49,1.02,7.6,7.6,252,49.2% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,33:08,0:00,50.0,0:00,No,00:00.73,16,0.0,31,15,43,12,garmin,0,19.942196531791907,0.7128712871287128,9.182608695652172,6.260869565217391,9.182674191334687,12.881251296177826
10,62,2021-01-05 07:34:46,Running,2021-01-05 07:34:46,False,Longmont Running,5.8,668,01:00:09,140,177,3.1,154,202,0 days 00:10:22,0 days 00:05:43,167,171,0.98,8.4,8.2,257,49.2% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:00:09,0:00,51.8,0:00,No,02:30.26,13,0.0,32,17,44,12,garmin,0,28.79310344827586,0.693069306930693,8.488745980707394,5.787781350482315,8.488872198163728,12.248229885921951
11,64,2021-01-03 07:29:27,Running,2021-01-03 07:29:27,False,Longmont Running,8.27,822,01:10:04,143,154,3.1,173,217,0 days 00:08:28,0 days 00:06:42,197,177,1.1,9.0,10.1,230,49.2% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:10:04,0:00,46.4,0:00,No,05:01.39,3,0.0,30,17,42,12,garmin,0,23.821039903264815,0.7079207920792079,10.393700787401574,7.086614173228346,10.393806564486146,14.68216032186155
12,68,2021-01-01 07:01:23,Running,2021-01-01 07:01:23,False,Longmont Running,6.74,641,01:07:21,127,139,2.3,169,193,0 days 00:09:59,0 days 00:07:50,144,164,0.95,10.4,10.0,247,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:07:21,0:00,48.2,0:00,No,01:07:21.46,1,0.0,30,17,39,12,garmin,0,21.364985163204746,0.6287128712871287,8.814691151919867,6.010016694490819,8.814763314603029,14.02033220117962
