date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-11-04 18:48:01,Treadmill Running,2020-11-04 18:48:01,False,Treadmill Running,0.44,157,00:54:08,91,109,1.0,117,123,0 days 00:00:00,0 days 00:16:20,0,0,0.11,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,54:08,0:00,0.0,0:00,No,54:07.98,1,0.0,6,garmin,0
2020-11-01 15:40:25,Running,2020-11-01 15:40:25,False,Fairfax County Running,1.84,110,00:13:03,143,176,2.1,173,191,0 days 00:07:07,0 days 00:05:39,42,76,1.31,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:03,0:00,0.0,0:00,No,05:56.14,2,0.0,6,garmin,0
2020-10-31 13:19:49,Running,2020-10-31 13:19:49,False,Fairfax County Running,2.05,160,00:14:49,169,199,3.0,172,190,0 days 00:07:14,0 days 00:06:40,57,88,1.29,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:49,0:00,0.0,0:00,No,00:22.27,3,0.0,6,garmin,0
2020-10-29 13:08:09,Running,2020-10-29 13:08:09,False,Fairfax County Running,1.68,112,00:12:36,146,187,2.1,171,182,0 days 00:07:29,0 days 00:06:55,61,63,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,12:36,0:00,0.0,0:00,No,05:13.52,2,0.0,6,garmin,0
2020-10-25 14:08:34,Running,2020-10-25 14:08:34,False,Fairfax County Running,1.66,84,00:12:24,128,194,1.6,173,185,0 days 00:07:29,0 days 00:07:02,49,56,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,12:24,0:00,0.0,0:00,No,04:51.45,2,0.0,6,garmin,0
2020-10-24 14:38:17,Running,2020-10-24 14:38:17,False,Fairfax County Running,2.05,155,00:15:11,164,196,3.0,172,197,0 days 00:07:25,0 days 00:06:46,68,92,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:11,0:00,0.0,0:00,No,00:19.69,3,0.0,6,garmin,0
2020-10-22 13:29:08,Running,2020-10-22 13:29:08,False,Fairfax County Running,2.40,197,00:17:48,174,197,3.3,173,190,0 days 00:07:25,0 days 00:06:34,54,97,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:48,0:00,0.0,0:00,No,02:51.55,3,0.0,6,garmin,0
2020-10-18 13:26:24,Running,2020-10-18 13:26:24,False,Fairfax County Running,2.09,153,00:14:49,166,196,2.9,175,189,0 days 00:07:06,0 days 00:06:07,48,43,1.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:49,0:00,0.0,0:00,No,00:33.78,3,0.0,6,garmin,0
2020-10-17 14:45:46,Running,2020-10-17 14:45:46,False,Fairfax County Running,2.04,143,00:15:13,154,191,2.5,175,187,0 days 00:07:29,0 days 00:06:59,57,88,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:13,0:00,0.0,0:00,No,00:16.10,3,0.0,6,garmin,0
2020-10-13 14:03:53,Running,2020-10-13 14:03:53,False,Fairfax County Running,2.08,147,00:15:01,161,196,2.8,174,187,0 days 00:07:13,0 days 00:06:28,39,22,1.28,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:01,0:00,0.0,0:00,No,00:33.76,3,0.0,6,garmin,0
2020-10-08 14:14:06,Running,2020-10-08 14:14:06,False,Fairfax County Running,2.03,158,00:15:33,166,195,3.0,172,179,0 days 00:07:40,0 days 00:07:08,28,51,1.22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:33,0:00,0.0,0:00,No,00:14.94,3,0.0,6,garmin,0
2020-10-04 10:40:28,Running,2020-10-04 10:40:28,False,Fairfax County Running,2.10,160,00:15:52,166,199,3.0,173,185,0 days 00:07:33,0 days 00:06:18,47,49,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:52,0:00,0.0,0:00,No,00:42.08,3,0.0,6,garmin,0
2020-10-03 13:27:34,Running,2020-10-03 13:27:34,False,Fairfax County Running,2.10,169,00:15:08,176,201,3.2,173,191,0 days 00:07:12,0 days 00:06:32,58,65,1.29,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:08,0:00,0.0,0:00,No,00:41.39,3,0.0,6,garmin,0
2020-10-01 13:28:29,Running,2020-10-01 13:28:29,False,Fairfax County Running,2.02,172,00:14:49,180,198,3.2,173,185,0 days 00:07:19,0 days 00:06:45,60,87,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:49,0:00,0.0,0:00,No,00:10.69,3,0.0,6,garmin,0
2020-09-27 14:27:33,Running,2020-09-27 14:27:33,False,Fairfax County Running,2.03,174,00:15:00,178,198,3.2,175,185,0 days 00:07:23,0 days 00:06:42,60,82,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:00,0:00,0.0,0:00,No,00:16.52,3,0.0,6,garmin,0
2020-09-22 13:52:59,Running,2020-09-22 13:52:59,False,Fairfax County Running,2.06,110,00:15:33,130,155,1.5,177,187,0 days 00:07:32,0 days 00:07:00,45,20,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:33,0:00,0.0,0:00,No,00:28.01,3,0.0,6,garmin,0
