,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
62,189,2020-07-11 06:10:05,Running,2020-07-11 6:10:05,False,Longview Running,2.0,217,0:24:56,153,169,148,174,12:26,10:14,220,256,0.88,0,0,0,0,0,0,0,0,0,0,1:0:56,0:00,0,0:00,No,00:03.39,3,0,10,garmin,0,0 days 00:12:26,0 days 00:12:26,110.0,0.7688442211055276,7.077747989276139,4.825737265415549,7.079283792264656,9.207695912814813
63,203,2020-06-30 17:01:00,Running,2020-06-30 17:01:00,False,Arvada Running,0.25,25,0:02:50,146,155,162,172,11:26,10:29,36,7,0.87,0,0,0,0,0,0,0,0,0,0,2:50.3,0:00,0,0:00,No,02:50.29,1,0,10,garmin,0,0 days 00:11:26,0 days 00:11:26,144.0,0.7336683417085427,7.6967930029154505,5.247813411078717,7.6996549145194955,10.49473512321493
64,204,2020-06-30 16:23:59,Running,2020-06-30 16:23:59,False,Arvada Running,2.76,289,0:30:59,159,169,164,175,11:13,9:39,171,190,0.87,0,0,0,0,0,0,0,0,0,0,1:6:59,0:00,0,0:00,No,08:46.91,3,0,10,garmin,0,0 days 00:11:13,0 days 00:11:13,61.95652173913044,0.7989949748743719,7.845468053491826,5.349182763744428,7.8460081608890775,9.819846691930355
65,207,2020-06-26 20:10:57,Running,2020-06-26 20:10:57,False,Longview Running,2.28,229,0:28:48,141,165,136,219,12:38,9:55,253,397,0.94,0,0,0,0,0,0,0,0,0,0,1:4:48,0:00,0,0:00,No,04:54.42,3,0,10,garmin,0,0 days 00:12:38,0 days 00:12:38,110.96491228070177,0.7085427135678392,6.965699208443271,4.74934036939314,6.96723732865171,9.833193109231846
66,209,2020-06-25 19:20:21,Running,2020-06-25 19:20:21,False,Longview Running,2.8,283,0:30:01,160,181,166,178,10:44,9:25,226,223,0.9,0,0,0,0,0,0,0,0,0,0,1:6:01:00.000,0:00,0,0:00,No,08:34.11,3,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,80.71428571428572,0.8040201005025126,8.198757763975156,5.590062111801243,8.199715676077316,10.198396372121161
67,210,2020-06-25 12:03:50,Running,2020-06-25 12:03:50,False,Longview Running,2.62,268,0:30:08,157,178,153,174,11:29,8:35,394,807,0.92,0,0,0,0,0,0,0,0,0,0,1:6:08,0:00,0,0:00,No,08:00.83,3,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29,150.38167938931298,0.7889447236180904,7.663280116110305,5.2249637155297535,7.6663876700376585,9.717268448009516
68,220,2020-06-16 18:25:58,Running,2020-06-16 18:25:58,False,Longview Running,3.01,321,0:35:57,158,177,140,174,11:57,9:35,315,335,0.96,0,0,0,0,0,0,0,0,0,0,1:11:57:00.000,0:00,0,0:00,No,00:03.31,4,0,10,garmin,0,0 days 00:11:57,0 days 00:11:57,104.65116279069768,0.7939698492462312,7.364016736401674,5.020920502092051,7.36546304975627,9.276754094313278
69,221,2020-06-14 19:14:59,Running,2020-06-14 19:14:59,False,Longview Running,3.01,334,0:37:28,158,179,139,170,12:27,9:55,308,282,0.93,0,0,0,0,0,0,0,0,0,0,1:13:28,0:00,0,0:00,No,00:07.18,4,0,10,garmin,0,0 days 00:12:27,0 days 00:12:27,102.32558139534885,0.7939698492462312,7.068273092369478,4.819277108433735,7.069600313078929,8.904116850017132
70,225,2020-06-11 07:05:46,Running,2020-06-11 7:05:46,False,Longview Running,1.0,99,0:11:26,147,161,165,173,11:24,9:57,23,36,0.85,0,0,0,0,0,0,0,0,0,0,11:26,0:00,0,0:00,No,00:02.55,2,0,10,garmin,0,0 days 00:11:24,0 days 00:11:24,23.0,0.7386934673366834,7.719298245614034,5.263157894736842,7.719371483127677,10.45003350437012
71,226,2020-06-10 12:05:27,Running,2020-06-10 12:05:27,False,Longview Running,3.15,329,0:35:17,163,184,164,174,11:12,9:20,167,85,0.88,0,0,0,0,0,0,0,0,0,0,1:11:17,0:00,0,0:00,No,01:38.54,4,0,10,garmin,0,0 days 00:11:12,0 days 00:11:12,53.01587301587302,0.8190954773869347,7.857142857142858,5.357142857142858,7.857538923266199,9.592946292821924
72,238,2020-05-31 08:37:33,Running,2020-05-31 8:37:33,False,Longview Running,2.01,197,0:22:17,151,172,163,175,11:05,10:01,56,79,0.89,0,0,0,0,0,0,0,0,0,0,22:17,0:00,0,0:00,No,00:05.70,3,0,10,garmin,0,0 days 00:11:05,0 days 00:11:05,27.86069651741294,0.7587939698492462,7.939849624060149,5.413533834586466,7.9399601579242765,10.463921002827359
73,241,2020-05-27 20:41:58,Running,2020-05-27 20:41:58,False,Longview Running,3.11,295,0:34:17,153,179,161,184,11:00,8:35,266,190,0.91,0,0,0,0,0,0,0,0,0,0,1:10:17,0:00,0,0:00,No,01:14.26,4,0,10,garmin,0,0 days 00:11:00,0 days 00:11:00,85.53054662379422,0.7688442211055276,7.999999999999999,5.454545454545454,8.00104955730051,10.40659386864576
74,242,2020-05-27 06:31:36,Running,2020-05-27 6:31:36,False,Longview Running,2.01,201,0:23:10,155,178,165,172,11:32,10:12,56,200,0.85,0,0,0,0,0,0,0,0,0,0,23:10,0:00,0,0:00,No,00:05.53,3,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,27.86069651741294,0.7788944723618091,7.630057803468208,5.202312138728324,7.630164024594862,9.796146070286307
75,244,2020-05-26 18:22:33,Running,2020-05-26 18:22:33,False,Longview - 1/1,1.02,93,0:10:46,148,170,165,172,10:34,9:31,135,95,0.92,0,0,0,0,0,0,0,0,0,0,10:46,0:00,0,0:00,No,00:12.35,2,0,10,garmin,0,0 days 00:10:34,0 days 00:10:34,132.35294117647058,0.7437185929648241,8.32807570977918,5.678233438485805,8.330691758401384,11.201403107580239
76,245,2020-05-26 12:06:32,Running,2020-05-26 12:06:32,False,Longview - 1/1,2.5,261,0:28:24,162,187,159,174,11:22,10:16,427,374,0.9,0,0,0,0,0,0,0,0,0,0,1:4:24,0:00,0,0:00,No,05:55.52,3,0,10,garmin,0,0 days 00:11:22,0 days 00:11:22,170.8,0.8140703517587939,7.741935483870967,5.278592375366569,7.745985100119038,9.515129845207953
77,247,2020-05-25 12:10:54,Running,2020-05-25 12:10:54,False,Longview Running,3.01,321,0:35:27,164,188,152,184,11:46,9:37,499,748,0.9,0,0,0,0,0,0,0,0,0,0,1:11:27,0:00,0,0:00,No,00:10.14,4,0,10,garmin,0,0 days 00:11:46,0 days 00:11:46,165.78073089701,0.8241206030150754,7.478753541076486,5.099150141643059,7.482439007727033,9.07930099108341
78,249,2020-05-20 17:54:38,Running,2020-05-20 17:54:38,False,Longview Running,1.01,92,0:09:51,146,161,169,184,9:48,7:53,36,39,0.97,0,0,0,0,0,0,0,0,0,0,9:51.9,0:00,0,0:00,No,00:04.72,2,0,10,garmin,0,0 days 00:09:48,0 days 00:09:48,35.64356435643565,0.7336683417085427,8.979591836734693,6.122448979591836,8.97979644164961,12.239585560878579
79,251,2020-05-20 06:08:43,Running,2020-05-20 6:08:43,False,Longview Running,3.0,368,0:38:34,161,182,139,240,12:51,4:11,741,"1,001",0.9,0,0,0,0,0,0,0,0,0,0,1:14:34,0:00,0,0:00,No,00:01.32,4,0,10,garmin,0,0 days 00:12:51,0 days 00:12:51,247.0,0.8090452261306532,6.848249027237354,4.669260700389105,6.855738275077856,8.473862836897474
80,253,2020-05-18 18:45:03,Running,2020-05-18 18:45:03,False,Longview Running,2.0,206,0:21:44,159,183,164,170,10:51,10:07,876,"1,470",0.91,0,0,0,0,0,0,0,0,0,0,21:44,0:00,0,0:00,No,00:03.23,3,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51,438.0,0.7989949748743719,8.110599078341012,5.529953917050691,8.138457601531162,10.18586831889749
81,255,2020-05-17 20:49:15,Running,2020-05-17 20:49:15,False,Longview Running,2.0,212,0:21:17,164,182,165,176,10:37,9:27,210,226,0.92,0,0,0,0,0,0,0,0,0,0,21:17,0:00,0,0:00,No,00:01.69,3,0,10,garmin,0,0 days 00:10:37,0 days 00:10:37,105.0,0.8241206030150754,8.288854003139717,5.65149136577708,8.290492827144327,10.059805320742202
82,257,2020-05-17 16:13:41,Running,2020-05-17 16:13:41,False,Longview Running,2.0,227,0:23:01,161,181,158,170,11:29,3:57,138,305,0.89,0,0,0,0,0,0,0,0,0,0,23:01,0:00,0,0:00,No,00:01.80,3,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29,69.0,0.8090452261306532,7.663280116110305,5.2249637155297535,7.663934445610347,9.472813383083597
83,258,2020-05-16 18:09:28,Running,2020-05-16 18:09:28,False,Longview Running,2.0,217,0:21:06,162,182,165,176,10:32,3:21,59,89,0.93,0,0,0,0,0,0,0,0,0,0,21:06,0:00,0,0:00,No,00:02.76,3,0,10,garmin,0,0 days 00:10:32,0 days 00:10:32,29.5,0.8140703517587939,8.354430379746836,5.69620253164557,8.354560774358802,10.26270119813211
84,262,2020-05-12 17:27:34,Running,2020-05-12 17:27:34,False,Longview Running,4.0,440,0:47:32,161,178,162,167,11:52,10:39,190,210,0.84,0,0,0,0,0,0,0,0,0,0,1:23:32,0:00,0,0:00,No,00:02.52,5,0,10,garmin,0,0 days 00:11:52,0 days 00:11:52,47.5,0.8090452261306532,7.41573033707865,5.056179775280898,7.416030415330165,9.16639784255095
85,265,2020-05-11 12:06:03,Running,2020-05-11 12:06:03,False,Longview Running,2.0,217,0:21:49,160,180,166,173,10:53,9:51,75,121,0.89,0,0,0,0,0,0,0,0,0,0,21:49,0:00,0,0:00,No,00:02.15,3,0,10,garmin,0,0 days 00:10:53,0 days 00:10:53,37.5,0.8040201005025126,8.085758039816232,5.51301684532925,8.085961969271608,10.056915199281562
86,266,2020-05-08 19:21:24,Running,2020-05-08 19:21:24,False,Longview Running,2.23,223,0:22:14,157,186,168,178,9:58,8:33,43,49,0.96,0,0,0,0,0,0,0,0,0,0,22:14,0:00,0,0:00,No,02:16.70,3,0,10,garmin,0,0 days 00:09:58,0 days 00:09:58,19.282511210762333,0.7889447236180904,8.82943143812709,6.020066889632107,8.829490317155491,11.191519573974158
87,268,2020-05-07 12:03:56,Running,2020-05-07 12:03:56,False,Longview Running,3.2,364,0:35:00,166,188,162,172,10:56,9:33,180,253,0.91,0,0,0,0,0,0,0,0,0,0,1:11,0:00,0,0:00,No,02:15.52,4,0,10,garmin,0,0 days 00:10:56,0 days 00:10:56,56.25,0.8341708542713567,8.048780487804876,5.48780487804878,8.049237223520745,9.649386792051978
88,270,2020-05-06 12:06:27,Running,2020-05-06 12:06:27,False,Longview - 1/1,1.48,158,0:16:44,152,170,154,176,11:20,10:01,46,43,0.93,0,0,0,0,0,0,0,0,0,0,16:44,0:00,0,0:00,No,00:42.87,6,0,10,garmin,0,0 days 00:11:20,0 days 00:11:20,31.08108108108108,0.7638190954773869,7.76470588235294,5.294117647058823,7.764840411267913,10.165810801594175
89,273,2020-05-01 12:05:03,Running,2020-05-01 12:05:03,False,Longview - 1/1,3.01,334,0:32:28,165,181,164,184,10:48,4:10,384,518,0.91,0,0,0,0,0,0,0,0,0,0,1:8:28,0:00,0,0:00,No,01:00.00,4,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48,127.5747508305648,0.8291457286432161,8.148148148148147,5.555555555555555,8.150526231992028,9.830028607069174
90,276,2020-04-29 12:06:38,Running,2020-04-29 12:06:38,False,Longview Running,2.0,211,0:20:54,159,179,166,176,10:26,9:35,66,66,0.93,0,0,0,0,0,0,0,0,0,0,20:54,0:00,0,0:00,No,00:01.77,3,0,10,garmin,0,0 days 00:10:26,0 days 00:10:26,33.0,0.7989949748743719,8.434504792332268,5.7507987220447285,8.434669527145271,10.556598967936534
91,280,2020-04-25 10:14:24,Running,2020-04-25 10:14:24,False,Longview Running,6.36,695,1:29:03,152,181,129,182,14:00,3:26,1804,"1,965",0.9,0,0,0,0,0,0,0,0,0,0,1:29:03,0:00,0,0:00,No,06:16.82,7,0,10,garmin,0,0 days 00:14:00,0 days 00:14:00,283.6477987421384,0.7638190954773869,6.285714285714285,4.285714285714286,6.2947779253471445,8.241189520684749
92,282,2020-04-23 12:07:33,Running,2020-04-23 12:07:33,False,Longview Running,3.0,331,0:32:09,164,188,166,176,10:42,9:31,108,269,0.91,0,0,0,0,0,0,0,0,0,0,1:8:09,0:00,0,0:00,No,00:01.45,4,0,10,garmin,0,0 days 00:10:42,0 days 00:10:42,36.0,0.8241206030150754,8.224299065420562,5.607476635514019,8.224490227175135,9.979716800047877
93,287,2020-04-20 17:49:21,Running,2020-04-20 17:49:21,False,Longview Running,2.0,222,0:21:28,163,181,164,172,10:43,9:51,105,289,0.91,0,0,0,0,0,0,0,0,0,0,21:28,0:00,0,0:00,No,00:02.16,3,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43,52.5,0.8190954773869347,8.211508553654742,5.598755832037325,8.211914466674607,10.025588827412557
94,288,2020-04-18 12:10:34,Running,2020-04-18 12:10:34,False,Longview Running,3.2,369,0:34:21,171,184,166,172,10:44,9:53,151,407,0.9,0,0,0,0,0,0,0,0,0,0,1:10:21:00.000,0:00,0,0:00,No,02:05.84,4,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,47.1875,0.8592964824120602,8.198757763975156,5.590062111801243,8.19908517664469,9.541625439487095
95,291,2020-04-16 12:03:42,Running,2020-04-16 12:03:42,False,Longview Running,2.0,221,0:20:05,169,190,169,176,10:01,9:01,82,69,0.95,0,0,0,0,0,0,0,0,0,0,20:05,0:00,0,0:00,No,00:01.14,3,0,10,garmin,0,0 days 00:10:01,0 days 00:10:01,41.0,0.8492462311557789,8.785357737104823,5.990016638935107,8.785622601009159,10.34520057751966
96,294,2020-04-14 12:06:10,Running,2020-04-14 12:06:10,False,Longview Running,2.0,201,0:21:24,146,179,167,178,10:41,9:13,72,52,0.9,0,0,0,0,0,0,0,0,0,0,21:24,0:00,0,0:00,No,00:01.84,3,0,10,garmin,0,0 days 00:10:41,0 days 00:10:41,36.0,0.7336683417085427,8.237129485179405,5.616224648985959,8.237320945158245,11.227581288263636
97,296,2020-04-13 12:08:17,Running,2020-04-13 12:08:17,False,Longview Running,3.0,333,0:32:16,163,180,167,176,10:45,9:35,148,397,0.9,0,0,0,0,0,0,0,0,0,0,1:8:16:00.000,0:00,0,0:00,No,00:01.88,4,0,10,garmin,0,0 days 00:10:45,0 days 00:10:45,49.333333333333336,0.8190954773869347,8.186046511627907,5.5813953488372094,8.186403823799482,9.994443932123295
98,298,2020-04-10 11:31:21,Running,2020-04-10 11:31:21,False,Longview Running,3.28,360,0:35:18,163,183,161,180,10:46,9:18,128,371,0.93,0,0,0,0,0,0,0,0,0,0,1:11:18:00.000,0:00,0,0:00,No,02:51.49,4,0,10,garmin,0,0 days 00:10:46,0 days 00:10:46,39.02439024390244,0.8190954773869347,8.173374613003094,5.572755417956656,8.173597851908701,9.97880964742228
99,303,2020-04-08 06:16:54,Running,2020-04-08 6:16:54,False,Longview Running,2.29,279,0:30:01,158,180,138,228,13:07,10:05,217,525,0.89,0,0,0,0,0,0,0,0,0,0,1:6:01:00.000,0:00,0,0:00,No,04:42.44,3,0,10,garmin,0,0 days 00:13:07,0 days 00:13:07,94.75982532751091,0.7939698492462312,6.709021601016517,4.5743329097839895,6.710101976911882,8.451330970920662
100,304,2020-04-06 18:03:49,Running,2020-04-06 18:03:49,False,Longview Running,3.0,323,0:32:13,162,183,164,178,10:43,9:06,164,394,0.91,0,0,0,0,0,0,0,0,0,0,1:8:13,0:00,0,0:00,No,00:02.99,4,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43,54.666666666666664,0.8140703517587939,8.211508553654742,5.598755832037325,8.211948661041053,10.087517182389936
101,306,2020-04-03 12:06:24,Running,2020-04-03 12:06:24,False,Longview Running,1.5,145,0:14:51,148,181,167,179,9:55,8:38,62,43,0.97,0,0,0,0,0,0,0,0,0,0,14:51,0:00,0,0:00,No,04:55.67,2,0,10,garmin,0,0 days 00:09:55,0 days 00:09:55,41.333333333333336,0.7437185929648241,8.873949579831933,6.050420168067228,8.874221482408808,11.932230236482114
102,307,2020-04-02 12:05:41,Running,2020-04-02 12:05:41,False,Longview Running,2.21,250,0:23:57,163,180,165,173,10:51,9:33,75,351,0.9,0,0,0,0,0,0,0,0,0,0,23:57,0:00,0,0:00,No,02:28.78,3,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51,33.93665158371041,0.8190954773869347,8.110599078341012,5.529953917050691,8.110766606797583,9.902101562900116
103,309,2020-03-31 17:58:44,Running,2020-03-31 17:58:44,False,Longview Running,1.5,158,0:16:13,149,180,167,172,10:48,9:41,30,23,0.89,0,0,0,0,0,0,0,0,0,0,16:13,0:00,0,0:00,No,05:12.01,2,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48,20.0,0.7487437185929648,8.148148148148147,5.555555555555555,8.148206602858037,10.882504120595634
104,311,2020-03-29 10:29:19,Running,2020-03-29 10:29:19,False,Longview Running,6.2,756,1:13:13,164,185,149,184,11:48,9:49,781,919,0.92,0,0,0,0,0,0,0,0,0,0,1:13:13,0:00,0,0:00,No,02:14.41,7,0,10,garmin,0,0 days 00:11:48,0 days 00:11:48,125.96774193548387,0.8241206030150754,7.457627118644067,5.084745762711864,7.4597491887526655,9.051768832693783
105,314,2020-03-26 17:38:43,Running,2020-03-26 17:38:43,False,Longview Running,3.0,353,0:32:34,168,188,158,248,10:50,9:16,118,276,0.94,0,0,0,0,0,0,0,0,0,0,1:8:34,0:00,0,0:00,No,00:02.03,4,0,10,garmin,0,0 days 00:10:50,0 days 00:10:50,39.333333333333336,0.8442211055276382,8.123076923076923,5.538461538461538,8.123302314925333,9.622245003988937
106,316,2020-03-24 17:30:25,Running,2020-03-24 17:30:25,False,Longview Running,1.0,102,0:10:57,138,164,165,174,10:56,9:53,43,36,0.89,0,0,0,0,0,0,0,0,0,0,10:57,0:00,0,0:00,No,00:01.83,2,0,10,garmin,0,0 days 00:10:56,0 days 00:10:56,43.0,0.6934673366834171,8.048780487804876,5.48780487804878,8.04904739602718,11.606959650792819
107,317,2020-03-23 18:02:11,Running,2020-03-23 18:02:11,False,Longview Running,3.0,335,0:32:42,157,183,166,176,10:53,9:22,112,108,0.89,0,0,0,0,0,0,0,0,0,0,1:8:42,0:00,0,0:00,No,00:02.12,4,0,10,garmin,0,0 days 00:10:53,0 days 00:10:53,37.333333333333336,0.7889447236180904,8.085758039816232,5.51301684532925,8.085960160616178,10.249083260908405
108,320,2020-03-20 18:17:45,Running,2020-03-20 18:17:45,False,Longview Running,3.0,340,0:32:21,161,177,166,177,10:47,9:33,148,148,0.9,0,0,0,0,0,0,0,0,0,0,1:8:21,0:00,0,0:00,No,00:01.25,4,0,10,garmin,0,0 days 00:10:47,0 days 00:10:47,49.333333333333336,0.8090452261306532,8.160741885625965,5.564142194744977,8.16109809327769,10.087320003492302
109,321,2020-03-18 17:55:11,Running,2020-03-18 17:55:11,False,Longview Running,1.5,162,0:15:54,155,181,166,173,10:35,9:41,56,59,0.92,0,0,0,0,0,0,0,0,0,0,15:54,0:00,0,0:00,No,05:08.44,2,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35,37.333333333333336,0.7788944723618091,8.31496062992126,5.669291338582677,8.315168480129708,10.675603403521366
110,323,2020-03-17 18:46:04,Running,2020-03-17 18:46:04,False,Longview Running,1.0,85,0:09:40,136,152,170,186,9:38,8:30,30,23,0.98,0,0,0,0,0,0,0,0,0,0,9:40.1,0:00,0,0:00,No,00:02.00,2,0,10,garmin,0,0 days 00:09:38,0 days 00:09:38,30.0,0.6834170854271356,9.134948096885813,6.228373702422146,9.135095547724722,13.366794220567792
111,324,2020-03-16 17:21:55,Running,2020-03-16 17:21:55,False,Longview Running,2.0,206,0:20:49,149,181,167,178,10:23,9:16,75,269,0.93,0,0,0,0,0,0,0,0,0,0,20:49,0:00,0,0:00,No,00:02.33,3,0,10,garmin,0,0 days 00:10:23,0 days 00:10:23,37.5,0.7487437185929648,8.475120385232746,5.778491171749599,8.4753341347261,11.319405992016739
112,326,2020-03-12 17:30:28,Running,2020-03-12 17:30:28,False,Longview Running,4.71,505,0:59:12,143,179,131,248,12:34,9:09,226,266,0.98,0,0,0,0,0,0,0,0,0,0,2:11:12,0:00,0,0:00,No,08:46.02,5,0,10,garmin,0,0 days 00:12:34,0 days 00:12:34,47.983014861995755,0.7185929648241206,7.002652519893899,4.774535809018568,7.002941674978554,9.745352400844281
113,327,2020-03-11 17:51:44,Running,2020-03-11 17:51:44,False,Longview Running,1.02,110,0:10:41,160,180,166,177,10:28,9:04,46,43,0.93,0,0,0,0,0,0,0,0,0,0,10:41,0:00,0,0:00,No,00:12.61,2,0,10,garmin,0,0 days 00:10:28,0 days 00:10:28,45.09803921568627,0.8040201005025126,8.407643312101909,5.732484076433121,8.407949990959835,10.457387801256294
114,329,2020-03-09 17:40:35,Running,2020-03-09 17:40:35,False,Longview Running,2.28,259,0:25:01,159,178,164,172,10:58,9:57,98,354,0.89,0,0,0,0,0,0,0,0,0,0,1:1:01,0:00,0,0:00,No,03:03.90,3,0,10,garmin,0,0 days 00:10:58,0 days 00:10:58,42.982456140350884,0.7989949748743719,8.024316109422491,5.47112462006079,8.02458198928812,10.043344753888904
115,331,2020-03-07 17:36:05,Running,2020-03-07 17:36:05,False,Longview Running,2.0,197,0:19:50,148,183,166,176,9:54,9:01,7,23,0.98,0,0,0,0,0,0,0,0,0,0,19:50,0:00,0,0:00,No,00:01.35,3,0,10,garmin,0,0 days 00:09:54,0 days 00:09:54,3.5,0.7437185929648241,8.888888888888888,6.0606060606060606,8.888890841814394,11.95195457784503
116,332,2020-03-06 17:38:54,Running,2020-03-06 17:38:54,False,Longview Running,3.0,327,0:31:52,158,184,166,174,10:37,9:43,112,499,0.91,0,0,0,0,0,0,0,0,0,0,1:7:52,0:00,0,0:00,No,00:01.38,4,0,10,garmin,0,0 days 00:10:37,0 days 00:10:37,37.333333333333336,0.7939698492462312,8.288854003139717,5.65149136577708,8.289061200757244,10.440020119941085
117,333,2020-03-04 17:32:29,Running,2020-03-04 17:32:29,False,Longview Running,3.01,349,0:32:44,165,183,165,176,10:52,9:49,95,367,0.9,0,0,0,0,0,0,0,0,0,0,1:8:44,0:00,0,0:00,No,00:05.22,4,0,10,garmin,0,0 days 00:10:52,0 days 00:10:52,31.561461794019937,0.8291457286432161,8.098159509202453,5.521472392638037,8.098304185979702,9.767045654605822
118,334,2020-03-03 06:07:51,Running,2020-03-03 6:07:51,False,Longview Running,1.0,112,0:11:41,149,177,154,178,11:40,9:39,295,253,0.9,0,0,0,0,0,0,0,0,0,0,11:41,0:00,0,0:00,No,00:01.69,2,0,10,garmin,0,0 days 00:11:40,0 days 00:11:40,295.0,0.7487437185929648,7.542857142857143,5.142857142857143,7.55462083220378,10.089728494017129
119,336,2020-03-02 18:12:14,Running,2020-03-02 18:12:14,False,Longview Running,2.02,215,0:21:19,151,184,165,181,10:34,9:09,66,52,0.92,0,0,0,0,0,0,0,0,0,0,21:19,0:00,0,0:00,No,00:09.11,3,0,10,garmin,0,0 days 00:10:34,0 days 00:10:34,32.67326732673267,0.7587939698492462,8.32807570977918,5.678233438485805,8.328235160981592,10.97562117241945
120,338,2020-02-24 19:31:29,Running,2020-02-24 19:31:29,False,Longview Running,1.25,133,0:12:46,155,180,166,179,10:11,8:49,26,72,0.95,0,0,0,0,0,0,0,0,0,0,12:46,0:00,0,0:00,No,02:31.04,2,0,10,garmin,0,0 days 00:10:11,0 days 00:10:11,20.8,0.7788944723618091,8.641571194762683,5.8919803600654665,8.6416382480164,11.09474846035654
121,339,2020-02-24 19:04:59,Running,2020-02-24 19:04:59,False,Longview Running,1.77,202,0:19:21,160,174,163,172,10:56,9:41,36,52,0.9,0,0,0,0,0,0,0,0,0,0,19:21,0:00,0,0:00,No,08:23.20,2,0,10,garmin,0,0 days 00:10:56,0 days 00:10:56,20.338983050847457,0.8040201005025126,8.048780487804876,5.48780487804878,8.048840203583612,10.010745003207118
122,340,2020-02-22 13:13:23,Running,2020-02-22 13:13:23,False,Longview Running,2.01,220,0:20:17,165,179,168,176,10:07,8:49,108,285,0.95,0,0,0,0,0,0,0,0,0,0,20:17,0:00,0,0:00,No,00:02.54,3,0,10,garmin,0,0 days 00:10:07,0 days 00:10:07,53.73134328358209,0.8291457286432161,8.698517298187808,5.930807248764415,8.698967691095953,10.491482245624816
123,341,2020-02-20 17:51:25,Running,2020-02-20 17:51:25,False,Longview - 8 repeats,2.95,304,0:34:41,148,182,137,190,11:45,7:54,105,102,1.01,0,0,0,0,0,0,0,0,0,0,1:10:41,0:00,0,0:00,No,00:09.76,18,0,10,garmin,0,0 days 00:11:45,0 days 00:11:45,35.59322033898305,0.7437185929648241,7.48936170212766,5.1063829787234045,7.489531869619298,10.070384067934055
124,343,2020-02-17 18:06:46,Running,2020-02-17 18:06:46,False,Longview Running,1.93,212,0:22:58,151,184,145,239,11:54,8:38,203,240,0.94,0,0,0,0,0,0,0,0,0,0,22:58,0:00,0,0:00,No,00:06.02,13,0,10,garmin,0,0 days 00:11:54,0 days 00:11:54,105.18134715025907,0.7587939698492462,7.394957983193277,5.042016806722689,7.396425125526414,9.747606622382493
125,344,2020-02-17 17:33:33,Running,2020-02-17 17:33:33,False,Longview Running,1.5,163,0:15:07,163,181,166,182,10:04,9:04,62,62,0.96,0,0,0,0,0,0,0,0,0,0,15:07,0:00,0,0:00,No,05:09.44,2,0,10,garmin,0,0 days 00:10:04,0 days 00:10:04,41.333333333333336,0.8190954773869347,8.741721854304636,5.960264900662252,8.741989705353047,10.672735897946358
126,345,2020-02-16 15:33:56,Running,2020-02-16 15:33:56,False,Longview Running,1.5,166,0:16:24,155,176,162,172,10:56,9:43,43,49,0.91,0,0,0,0,0,0,0,0,0,0,16:24,0:00,0,0:00,No,05:46.94,2,0,10,garmin,0,0 days 00:10:56,0 days 00:10:56,28.666666666666668,0.7788944723618091,8.048780487804876,5.48780487804878,8.048899114774159,10.333747895742306
127,346,2020-02-13 18:04:47,Running,2020-02-13 18:04:47,False,Longview Running,3.0,337,0:32:31,160,177,166,176,10:49,9:49,302,630,0.9,0,0,0,0,0,0,0,0,0,0,1:8:31,0:00,0,0:00,No,00:02.42,4,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49,100.66666666666667,0.8040201005025126,8.135593220338983,5.546995377503852,8.13707172705093,10.120482960519594
128,347,2020-02-09 08:10:13,Running,2020-02-09 8:10:13,False,New Orleans Running,13.21,"1,595",2:41:45,165,192,146,248,12:15,8:11,1631,"2,326",0.9,0,0,0,0,0,0,0,0,0,0,2:41:45,0:00,0,0:00,No,02:11.46,14,0,10,garmin,0,0 days 00:12:15,0 days 00:12:15,123.4670704012112,0.8291457286432161,7.183673469387755,4.8979591836734695,7.185637244143434,8.666314009603292
129,348,2020-02-06 17:18:15,Running,2020-02-06 17:18:15,False,Longview Running,2.0,222,0:21:13,157,175,168,176,10:35,9:39,66,79,0.9,0,0,0,0,0,0,0,0,0,0,21:13,0:00,0,0:00,No,00:02.72,3,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35,33.0,0.7889447236180904,8.31496062992126,5.669291338582677,8.315123029910142,10.539550846828778
