,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
14,64,2020-11-30 20:26:33,Running,2020-11-30 20:26:33,False,Longview Running,2.0,202,0:21:33,158,177,167,175,10:45,9:33,62,85,0.9,0,0,0,0,0,0,0,0,0,0,21:33,0:00,0,0:00,No,00:02.89,3,0,10,garmin,0,0 days 00:10:45,0 days 00:10:45,31.0,0.7939698492462312,8.186046511627907,5.5813953488372094,8.186187601556032,10.31045147284589
15,65,2020-11-28 20:13:44,Running,2020-11-28 20:13:44,False,Longview Running,3.51,358,0:37:35,165,179,166,182,10:43,9:24,102,292,0.9,0,0,0,0,0,0,0,0,0,0,1:13:35,0:00,0,0:00,No,05:24.27,4,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43,29.059829059829063,0.8291457286432161,8.211508553654742,5.598755832037325,8.211632921448645,9.903726977989578
16,66,2020-11-26 07:21:09,Running,2020-11-26 7:21:09,False,Longview Running,3.1,321,0:33:50,165,184,166,172,10:55,9:57,105,210,0.89,0,0,0,0,0,0,0,0,0,0,1:9:50:00.000,0:00,0,0:00,No,01:10.31,4,0,10,garmin,0,0 days 00:10:55,0 days 00:10:55,33.87096774193548,0.8291457286432161,8.061068702290076,5.4961832061068705,8.06123456376551,9.722337443571735
17,75,2020-11-14 19:28:15,Running,2020-11-14 19:28:15,False,Longview Running,1.17,117,0:12:35,156,178,165,176,10:43,9:31,43,36,0.91,0,0,0,0,0,0,0,0,0,0,12:35,0:00,0,0:00,No,01:50.96,2,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43,36.75213675213676,0.7839195979899497,8.211508553654742,5.598755832037325,8.21170747667119,10.475190947804917
18,82,2020-11-08 19:37:55,Running,2020-11-08 19:37:55,False,Longview Running,2.01,207,0:22:23,163,179,164,176,11:08,9:37,66,82,0.88,0,0,0,0,0,0,0,0,0,0,22:23,0:00,0,0:00,No,00:07.34,3,0,10,garmin,0,0 days 00:11:08,0 days 00:11:08,32.83582089552239,0.8190954773869347,7.904191616766467,5.389221556886228,7.904344461745456,9.650089250842612
19,84,2020-11-05 18:18:02,Running,2020-11-05 18:18:02,False,Longview Running,3.01,310,0:34:02,162,186,165,179,11:18,10:03,82,194,0.86,0,0,0,0,0,0,0,0,0,0,1:10:02,0:00,0,0:00,No,00:06.68,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18,27.242524916943523,0.8140703517587939,7.787610619469025,5.309734513274336,7.78771427636775,9.566389759241867
20,85,2020-11-03 18:06:46,Running,2020-11-03 18:06:46,False,Longview Running,4.01,413,0:43:17,166,186,164,182,10:47,1:34,144,148,0.91,0,0,0,0,0,0,0,0,0,0,1:19:17,0:00,0,0:00,No,00:08.33,5,0,10,garmin,0,0 days 00:10:47,0 days 00:10:47,35.910224438902745,0.8341708542713567,8.160741885625965,5.564142194744977,8.160930625220612,9.783284303728324
21,86,2020-11-02 18:21:16,Running,2020-11-02 18:21:16,False,Longview Running,3.0,318,0:34:31,164,177,163,172,11:30,10:18,207,230,0.86,0,0,0,0,0,0,0,0,0,0,1:10:31:00.000,0:00,0,0:00,No,00:04.11,4,0,10,garmin,0,0 days 00:11:30,0 days 00:11:30,69.0,0.8241206030150754,7.652173913043478,5.217391304347826,7.652827294239897,9.28605263142524
22,89,2020-10-30 17:36:20,Running,2020-10-30 17:36:20,False,Longview Running,2.03,206,0:21:46,160,182,162,174,10:44,8:17,52,52,0.93,0,0,0,0,0,0,0,0,0,0,21:46,0:00,0,0:00,No,00:17.39,3,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,25.615763546798032,0.8040201005025126,8.198757763975156,5.590062111801243,8.19885424952374,10.19732497284515
23,90,2020-10-27 17:52:34,Running,2020-10-27 17:52:34,False,Longview - Goal Pace Repeats,3.16,309,0:35:01,155,183,163,178,11:05,10:01,108,177,0.89,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,03:00.00,7,0,10,garmin,0,0 days 00:11:05,0 days 00:11:05,34.177215189873415,0.7788944723618091,7.939849624060149,5.413533834586466,7.94001595890336,10.193955973043668
