date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-12-12 07:28:23,Running,2020-12-12 07:28:23,False,Houston Running,10.01,937,01:22:15,151,168,3.8,173,198,0 days 00:08:13,0 days 00:07:04,98,151,1.14,0.0,0.0,0.0,0.0,0.0,1:22:15,0:00,66.2,0:00,No,00:02.67,11,0.0,11,garmin,0
2020-12-10 10:48:26,Running,2020-12-10 10:48:26,False,Montgomery County - 2 mile tempo,5.01,484,00:39:46,155,170,4.1,172,190,0 days 00:07:56,0 days 00:06:44,49,33,1.18,0.0,0.0,0.0,0.0,0.0,39:46,0:00,73.4,0:00,No,00:04.36,6,0.0,11,garmin,0
2020-12-06 07:14:43,Running,2020-12-06 07:14:43,False,Harris County Running,13.1,"1,405",01:51:02,161,183,4.9,174,198,0 days 00:08:28,0 days 00:06:47,217,240,1.09,0.0,0.0,0.0,0.0,0.0,1:51:02,0:00,51.8,0:00,No,00:45.49,14,0.0,11,garmin,0
2020-11-29 07:32:10,Running,2020-11-29 07:32:10,False,Harris County Running,12.01,"1,193",01:40:59,155,179,3.8,173,189,0 days 00:08:24,0 days 00:05:48,180,243,1.11,0.0,0.0,0.0,0.0,0.0,1:40:59,0:00,62.6,0:00,No,00:03.10,13,0.0,11,garmin,0
2020-11-24 06:14:26,Running,2020-11-24 06:14:26,False,Montgomery County Running,5.04,527,00:41:39,156,166,4.0,171,185,0 days 00:08:15,0 days 00:07:25,23,36,1.14,0.0,0.0,0.0,0.0,0.0,41:39,0:00,62.6,0:00,No,00:20.51,6,0.0,11,garmin,0
2020-11-21 07:33:52,Running,2020-11-21 07:33:52,False,Harris County Running,10.01,897,01:22:24,150,171,3.7,172,190,0 days 00:08:14,0 days 00:07:02,148,167,1.13,0.0,0.0,0.0,0.0,0.0,1:22:24,0:00,69.8,0:00,No,00:03.15,11,0.0,11,garmin,0
2020-11-18 16:10:49,Treadmill Running,2020-11-18 16:10:49,False,Hill Repeats,4.06,423,00:35:06,152,169,3.7,167,182,0 days 00:08:39,0 days 00:06:33,0,0,1.11,0.0,0.0,0.0,0.0,0.0,35:06,0:00,75.2,0:00,No,01:00.00,15,0.0,11,garmin,0
2020-11-15 08:07:13,Running,2020-11-15 08:07:13,False,Harris County - Tempo Variation,9.64,956,01:23:04,150,178,3.7,173,187,0 days 00:08:37,0 days 00:06:23,151,200,1.08,0.0,0.0,0.0,0.0,0.0,1:23:04,0:00,64.4,0:00,No,00:03.99,17,0.0,11,garmin,0
2020-11-14 10:44:09,Running,2020-11-14 10:44:09,False,Montgomery County Running,2.0,201,00:16:41,148,164,3.0,169,177,0 days 00:08:20,0 days 00:07:11,13,10,1.14,0.0,0.0,0.0,0.0,0.0,16:41,0:00,78.8,0:00,No,00:02.76,3,0.0,11,garmin,0
2020-11-10 17:18:14,Running,2020-11-10 17:18:14,False,Montgomery County Running,3.0,301,00:26:37,141,160,3.1,169,181,0 days 00:08:51,0 days 00:07:40,3,16,1.07,0.0,0.0,0.0,0.0,0.0,26:37,0:00,77.0,0:00,No,00:01.97,4,0.0,11,garmin,0
2020-11-10 06:03:22,Running,2020-11-10 06:03:22,False,Montgomery County - Run #1 - enduran,5.24,475,00:47:07,140,161,3.1,163,205,0 days 00:09:00,0 days 00:06:55,33,46,1.1,0.0,0.0,0.0,0.0,0.0,47:07,0:00,73.4,0:00,No,00:06.91,12,0.0,11,garmin,0
2020-11-07 07:46:46,Running,2020-11-07 07:46:46,False,Montgomery County Running,7.04,669,01:00:22,144,163,3.8,168,188,0 days 00:08:35,0 days 00:07:25,43,59,1.11,0.0,0.0,0.0,0.0,0.0,1:00:22,0:00,64.4,0:00,No,00:18.57,8,0.0,11,garmin,0
2020-11-05 06:01:05,Running,2020-11-05 06:01:05,False,Harris County - endurance run wi,5.35,558,00:48:25,151,175,3.8,161,244,0 days 00:09:03,0 days 00:06:35,30,46,1.1,0.0,0.0,0.0,0.0,0.0,48:25,0:00,64.4,0:00,No,00:03.30,13,0.0,11,garmin,0
2020-11-03 05:35:48,Running,2020-11-03 05:35:48,False,Montgomery County Running,6.01,650,00:53:58,155,170,4.6,169,190,0 days 00:08:59,0 days 00:05:43,30,49,1.06,0.0,0.0,0.0,0.0,0.0,53:58,0:00,51.8,0:00,No,00:18.78,26,0.0,11,garmin,0
2020-10-29 16:15:09,Running,2020-10-29 16:15:09,False,Montgomery County Running,4.62,455,00:37:35,152,170,4.0,171,187,0 days 00:08:08,0 days 00:06:55,56,69,1.16,0.0,0.0,0.0,0.0,0.0,37:35,0:00,64.4,0:00,No,01:12.29,6,0.0,11,garmin,0
2020-10-24 08:59:57,Running,2020-10-24 08:59:57,False,St Johns County Running,3.48,380,00:30:04,157,178,3.9,169,187,0 days 00:08:39,0 days 00:07:26,46,56,1.1,0.0,0.0,0.0,0.0,0.0,30:04,0:00,80.6,0:00,No,04:11.66,4,0.0,11,garmin,0
2020-10-18 07:07:52,Running,2020-10-18 07:07:52,False,Montgomery County Running,5.77,580,01:17:34,118,156,2.9,126,236,0 days 00:13:27,0 days 00:08:16,30,33,0.93,0.0,0.0,0.0,0.0,0.0,1:17:34,0:00,71.6,0:00,No,00:00.36,18,0.0,11,garmin,0
2020-10-17 08:01:06,Running,2020-10-17 08:01:06,False,Harris County Running,5.19,517,01:10:01,115,176,3.1,128,185,0 days 00:13:30,0 days 00:07:45,95,115,0.91,0.0,0.0,0.0,0.0,0.0,1:10:01,0:00,64.4,0:00,No,01:43.00,9,0.0,11,garmin,0
2020-10-15 07:26:15,Running,2020-10-15 07:26:15,False,Montgomery County Running,3.55,363,00:30:01,153,171,3.6,170,182,0 days 00:08:27,0 days 00:07:12,10,30,1.12,0.0,0.0,0.0,0.0,0.0,30:01,0:00,71.6,0:00,No,04:41.09,4,0.0,11,garmin,0
2020-10-11 07:08:19,Running,2020-10-11 07:08:19,False,Montgomery County Running,8.02,844,01:20:29,143,166,3.6,155,180,0 days 00:10:02,0 days 00:07:50,46,75,1.02,0.0,0.0,0.0,0.0,0.0,1:20:29,0:00,75.2,0:00,No,01:59.02,20,0.0,11,garmin,0
2020-10-10 08:04:44,Running,2020-10-10 08:04:44,False,Harris County Running,5.68,584,01:00:02,135,162,3.1,150,180,0 days 00:10:34,0 days 00:07:40,102,125,1.0,0.0,0.0,0.0,0.0,0.0,1:00:02,0:00,71.6,0:00,No,00:58.83,23,0.0,11,garmin,0
