date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2021-01-07 07:12:52,Running,2021-01-07 07:12:52,False,Morton Running,4.61,539,00:40:16,145,160,3.1,169,177,0 days 00:08:44,0 days 00:08:04,49,38,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:16,0:00,0.0,0:00,No,05:02.63,5,0.0,4,garmin,0
2021-01-05 13:18:14,Running,2021-01-05 13:18:14,False,Morton Running,4.01,459,00:29:21,164,183,3.7,170,182,0 days 00:07:19,0 days 00:05:53,38,43,1.29,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:21,0:00,0.0,0:00,No,00:03.70,5,0.0,4,garmin,0
2021-01-04 12:36:45,Running,2021-01-04 12:36:45,False,Morton Running,2.64,305,00:21:02,152,164,3.0,170,179,0 days 00:07:57,0 days 00:07:27,38,36,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:02,0:00,0.0,0:00,No,04:55.96,3,0.0,4,garmin,0
2021-01-02 09:54:05,Running,2021-01-02 09:54:05,False,Rock Island County Running,3.66,329,02:10:23,0,0,0.0,117,228,0 days 00:35:37,0 days 00:04:09,206,205,0.39,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:10:23,0:00,0.0,0:00,No,11:31.74,4,0.0,4,garmin,0
2020-12-30 15:13:40,Running,2020-12-30 15:13:40,False,Morton Running,2.03,230,00:19:11,137,154,2.1,167,185,0 days 00:09:26,0 days 00:08:33,16,16,1.02,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,19:11,0:00,0.0,0:00,No,00:19.67,3,0.0,4,garmin,0
2020-12-29 10:08:07,Running,2020-12-29 10:08:07,False,Tremont Running,5.04,559,00:40:03,152,168,3.3,169,181,0 days 00:07:56,0 days 00:07:18,44,44,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:03,0:00,0.0,0:00,No,00:21.46,6,0.0,4,garmin,0
2020-12-28 10:36:01,Running,2020-12-28 10:36:01,False,Morton Running,2.24,246,00:21:00,135,152,2.1,167,177,0 days 00:09:22,0 days 00:07:40,19,22,1.03,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:00,0:00,0.0,0:00,No,02:01.85,3,0.0,4,garmin,0
2020-12-27 13:15:03,Cycling,2020-12-27 13:15:03,False,Morton Cycling,29.34,"1,270",01:56:05,147,178,4.0,0,0,15.2,38.0,946,945,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:56:05,0:00,0.0,0:00,No,16:53.90,6,0.0,4,garmin,0
2020-12-26 12:05:37,Running,2020-12-26 12:05:37,False,Morton Running,5.07,542,00:42:11,144,162,3.1,167,177,0 days 00:08:19,0 days 00:07:34,43,33,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,42:11,0:00,0.0,0:00,No,00:32.98,6,0.0,4,garmin,0
2020-12-24 13:59:23,Running,2020-12-24 13:59:23,False,Morton Running,3.03,337,00:24:20,150,176,3.0,168,197,0 days 00:08:02,0 days 00:04:36,29,30,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:20,0:00,0.0,0:00,No,00:16.86,4,0.0,4,garmin,0
2020-12-24 13:37:17,Running,2020-12-24 13:37:17,False,Morton Running,2.01,208,00:19:08,133,155,2.0,168,183,0 days 00:09:32,0 days 00:08:14,19,16,1.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,19:08,0:00,0.0,0:00,No,00:03.43,3,0.0,4,garmin,0
2020-12-21 09:12:53,Running,2020-12-21 09:12:53,False,Jo Daviess County Running,12.52,"1,059",02:34:14,0,0,0.0,119,212,0 days 00:12:19,0 days 00:01:42,"6,217","6,260",1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:34:14,0:00,0.0,0:00,No,08:05.22,13,0.0,4,garmin,0
2020-12-20 08:57:57,Running,2020-12-20 08:57:57,False,East Moline Running,6.56,749,00:52:42,154,178,3.8,169,182,0 days 00:08:02,0 days 00:06:48,336,327,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,52:42,0:00,0.0,0:00,No,04:20.55,7,0.0,4,garmin,0
2020-12-18 09:27:52,Running,2020-12-18 09:27:52,False,Morton Running,2.54,285,00:23:52,136,150,2.2,169,180,0 days 00:09:24,0 days 00:07:34,7,13,1.01,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,23:52,0:00,0.0,0:00,No,05:10.89,3,0.0,4,garmin,0
2020-12-17 16:38:56,Running,2020-12-17 16:38:56,False,Morton Running,3.25,365,00:24:19,158,175,3.2,170,184,0 days 00:07:29,0 days 00:06:52,54,45,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:19,0:00,0.0,0:00,No,01:48.50,4,0.0,4,garmin,0
2020-12-15 13:13:08,Running,2020-12-15 13:13:08,False,Morton Running,2.25,297,00:21:20,0,0,0.0,167,180,0 days 00:09:28,0 days 00:07:17,19,26,1.02,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:20,0:00,0.0,0:00,No,02:27.85,3,0.0,4,garmin,0
2020-12-13 14:27:30,Running,2020-12-13 14:27:30,False,Morton Running,11.16,"1,174",01:39:05,145,174,2.8,167,176,0 days 00:08:53,0 days 00:08:14,176,174,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:39:05,0:00,0.0,0:00,No,01:23.51,12,0.0,4,garmin,0
2020-12-10 16:15:32,Cycling,2020-12-10 16:15:32,False,Morton Cycling,8.75,511,00:31:18,0,0,0.0,0,0,16.8,26.5,92,94,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31:18,0:00,0.0,0:00,No,13:09.21,2,0.0,4,garmin,0
2020-12-09 15:36:28,Running,2020-12-09 15:36:28,False,Morton Running,6.14,739,00:46:42,162,176,4.0,170,209,0 days 00:07:36,0 days 00:04:39,53,52,1.25,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:42,0:00,0.0,0:00,No,01:08.81,7,0.0,4,garmin,0
2020-12-07 16:38:42,Running,2020-12-07 16:38:42,False,Morton Running,3.02,345,00:23:11,154,177,3.0,170,181,0 days 00:07:40,0 days 00:07:18,4,0,1.24,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,23:11,0:00,0.0,0:00,No,00:10.48,4,0.0,4,garmin,0
2020-12-04 15:20:06,Running,2020-12-04 15:20:06,False,Morton Running,4.06,507,00:32:05,148,162,3.5,168,177,0 days 00:07:54,0 days 00:07:11,45,38,1.21,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,32:05,0:00,0.0,0:00,No,00:26.74,5,0.0,4,garmin,0
2020-12-03 08:08:36,Running,2020-12-03 08:08:36,False,Morton Running,2.00,269,00:20:02,0,0,0.0,168,176,0 days 00:10:01,0 days 00:07:46,10,17,0.95,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,20:02,0:00,0.0,0:00,No,09:46.28,2,0.0,4,garmin,0
2020-12-02 14:51:18,Running,2020-12-02 14:51:18,False,Morton Running,2.93,321,00:21:57,154,166,3.0,171,178,0 days 00:07:30,0 days 00:07:08,25,14,1.26,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:57,0:00,0.0,0:00,No,06:47.78,3,0.0,4,garmin,0
2020-12-01 16:17:19,Running,2020-12-01 16:17:19,False,Morton Running,3.51,468,00:31:51,0,0,0.0,169,186,0 days 00:09:04,0 days 00:07:01,63,70,1.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31:51,0:00,0.0,0:00,No,04:13.90,4,0.0,4,garmin,0
2020-11-29 11:09:36,Running,2020-11-29 11:09:36,False,East Moline Running,6.30,733,00:52:42,154,177,3.3,168,178,0 days 00:08:22,0 days 00:07:10,361,354,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,52:42,0:00,0.0,0:00,No,02:18.80,7,0.0,4,garmin,0
2020-11-27 15:21:37,Running,2020-11-27 15:21:37,False,East Moline Running,2.86,315,00:27:03,138,171,2.1,170,178,0 days 00:09:27,0 days 00:07:23,54,47,1.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:03,0:00,0.0,0:00,No,08:33.27,3,0.0,4,garmin,0
2020-11-26 11:17:25,Running,2020-11-26 11:17:25,False,Morton Running,1.30,158,00:10:51,153,164,2.2,170,177,0 days 00:08:20,0 days 00:07:50,5,30,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:51,0:00,0.0,0:00,No,02:26.46,2,0.0,4,garmin,0
2020-11-26 10:51:55,Running,2020-11-26 10:51:55,False,Morton Running,3.15,323,00:19:34,175,185,3.4,172,187,0 days 00:06:13,0 days 00:05:32,3,3,1.5,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,19:34,0:00,0.0,0:00,No,00:49.76,4,0.0,4,garmin,0
2020-11-26 10:35:33,Running,2020-11-26 10:35:33,False,Morton Running,1.31,152,00:11:18,146,165,2.1,170,175,0 days 00:08:36,0 days 00:08:10,34,11,1.1,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,11:18,0:00,0.0,0:00,No,02:41.77,2,0.0,4,garmin,0
2020-11-23 15:44:36,Running,2020-11-23 15:44:36,False,Morton Running,2.24,249,00:21:03,138,163,2.1,167,181,0 days 00:09:23,0 days 00:05:05,27,17,1.03,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21:03,0:00,0.0,0:00,No,01:59.12,3,0.0,4,garmin,0
2020-11-22 13:14:53,Cycling,2020-11-22 13:14:53,False,Morton Cycling,28.63,"1,265",01:53:55,143,171,2.7,0,0,15.1,32.8,943,940,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:53:55,0:00,0.0,0:00,No,14:39.01,6,0.0,4,garmin,0
2020-11-21 09:28:09,Running,2020-11-21 09:28:09,False,Morton Running,2.60,269,00:24:24,134,152,2.0,167,178,0 days 00:09:24,0 days 00:08:06,35,28,1.03,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:24,0:00,0.0,0:00,No,05:22.32,3,0.0,4,garmin,0
2020-11-20 08:24:47,Running,2020-11-20 08:24:47,False,Morton Running,2.55,293,00:23:19,143,170,2.5,167,179,0 days 00:09:08,0 days 00:07:45,34,17,1.06,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,23:19,0:00,0.0,0:00,No,04:35.15,3,0.0,4,garmin,0
2020-11-19 08:39:15,Running,2020-11-19 08:39:15,False,Morton Running,5.42,651,00:43:21,163,177,4.0,171,179,0 days 00:08:00,0 days 00:07:32,39,36,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,43:21,0:00,0.0,0:00,No,03:24.25,6,0.0,4,garmin,0
2020-11-17 16:20:01,Running,2020-11-17 16:20:01,False,Morton Running,3.03,296,00:20:25,166,182,3.3,169,177,0 days 00:06:45,0 days 00:06:02,24,21,1.41,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,20:25,0:00,0.0,0:00,No,00:09.92,4,0.0,4,garmin,0
2020-11-15 15:05:22,Running,2020-11-15 15:05:22,False,Morton Running,4.01,440,00:33:39,152,166,3.2,168,177,0 days 00:08:23,0 days 00:07:55,47,40,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,33:39,0:00,0.0,0:00,No,00:06.49,5,0.0,4,garmin,0
2020-11-13 12:11:24,Running,2020-11-13 12:11:24,False,Morton Running,8.03,877,01:03:03,163,175,5.0,168,175,0 days 00:07:51,0 days 00:07:30,58,53,1.22,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:03:03,0:00,0.0,0:00,No,00:10.91,9,0.0,4,garmin,0
2020-11-11 13:35:32,Running,2020-11-11 13:35:32,False,La Salle County Running,1.87,188,01:44:16,0,0,0.0,114,236,0 days 00:55:46,0 days 00:08:14,147,148,0.25,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:44:16,0:00,0.0,0:00,No,34:15.41,2,0.0,4,garmin,0
2020-11-09 15:41:59,Running,2020-11-09 15:41:59,False,Morton Running,4.04,554,00:39:23,158,174,4.0,166,183,0 days 00:09:45,0 days 00:06:34,135,150,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,39:23,0:00,0.0,0:00,No,00:18.69,5,0.0,4,garmin,0
2020-11-08 11:48:27,Running,2020-11-08 11:48:27,False,Morton Running,4.14,432,00:38:32,139,157,2.8,167,197,0 days 00:09:18,0 days 00:05:40,119,116,1.04,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,38:32,0:00,0.0,0:00,No,01:21.43,5,0.0,4,garmin,0
2020-11-07 10:28:07,Running,2020-11-07 10:28:07,False,Morton Running,1.66,167,01:23:10,0,0,0.0,119,228,0 days 00:50:03,0 days 00:07:20,18,38,0.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:23:10,0:00,0.0,0:00,No,31:47.42,2,0.0,4,garmin,0
2020-11-06 06:25:23,Running,2020-11-06 06:25:23,False,Morton Running,7.16,810,00:58:03,161,180,4.7,168,177,0 days 00:08:06,0 days 00:07:35,52,49,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,58:03,0:00,0.0,0:00,No,01:17.43,8,0.0,4,garmin,0
2020-11-03 15:09:49,Running,2020-11-03 15:09:49,False,Morton Running,4.01,587,00:41:25,156,174,3.8,168,201,0 days 00:10:20,0 days 00:07:50,103,128,0.93,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,41:25,0:00,0.0,0:00,No,00:03.99,5,0.0,4,garmin,0
2020-11-02 06:35:05,Running,2020-11-02 06:35:05,False,Morton Running,3.05,356,00:25:23,151,169,3.2,171,177,0 days 00:08:19,0 days 00:07:46,43,34,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,25:23,0:00,0.0,0:00,No,00:28.92,4,0.0,4,garmin,0
2020-11-01 07:26:02,Running,2020-11-01 07:26:02,False,Morton Running,1.36,171,00:12:40,149,167,2.5,170,189,0 days 00:09:20,0 days 00:07:46,16,7,1.01,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,12:40,0:00,0.0,0:00,No,02:58.09,2,0.0,4,garmin,0
2020-10-31 15:05:27,Running,2020-10-31 15:05:27,False,Morton Running,3.36,420,00:27:15,162,176,3.7,169,182,0 days 00:08:06,0 days 00:07:33,26,12,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:15,0:00,0.0,0:00,No,02:53.58,4,0.0,4,garmin,0
2020-10-30 06:36:09,Running,2020-10-30 06:36:09,False,Morton Running,2.82,362,00:22:22,165,181,3.5,173,187,0 days 00:07:56,0 days 00:07:12,23,13,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,22:22,0:00,0.0,0:00,No,06:28.06,3,0.0,4,garmin,0
