date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2020-12-31 15:01:49,Treadmill Running,2020-12-31 15:01:49,False,Treadmill Running,1.3,130,0:14:35,146,164,150,171,11:12,9:01,0,0,0.96,0,0,0,0,0,0,0,0,0,0,14:35,0:00,0,0:00,No,03:17.99,2,0,10,garmin,0,0 days 00:11:12,0 days 00:11:12
2020-12-30 16:12:33,Strength Training,2020-12-30 16:12:33,False,Strength,0,56,0:10:03,113,132,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18,1,10:03,0:00,0,0:00,No,10:03.24,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-30 15:49:25,Treadmill Running,2020-12-30 15:49:25,False,Treadmill Running,1.74,182,0:18:59,157,175,155,173,10:53,8:00,0,0,0.95,0,0,0,0,0,0,0,0,0,0,18:59,0:00,0,0:00,No,07:55.41,2,0,10,garmin,0,0 days 00:10:53,0 days 00:10:53
2020-12-29 17:58:26,Running,2020-12-29 17:58:26,False,Longview Running,3.12,321,0:35:01,153,171,166,172,11:13,2:27,125,95,0.87,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,01:22.17,4,0,10,garmin,0,0 days 00:11:13,0 days 00:11:13
2020-12-28 18:56:21,Treadmill Running,2020-12-28 18:56:21,False,Treadmill Running,2,206,0:22:06,154,178,154,184,11:01,7:45,0,0,0.95,0,0,0,0,0,0,0,0,0,0,22:06,0:00,0,0:00,No,00:02.42,3,0,10,garmin,0,0 days 00:11:01,0 days 00:11:01
2020-12-27 17:03:24,Indoor Cycling,2020-12-27 17:03:24,False,Indoor Cycling,0,125,0:20:00,121,157,0,0,0,0,0,0,0.0,0,0,70,119,0,0,0,1405,0,0,20:00,0:00,0,0:00,No,20:00.40,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-27 16:31:28,Running,2020-12-27 16:31:28,False,Longview Running,1.5,153,0:16:15,156,172,165,178,10:49,9:06,56,59,0.9,0,0,0,0,0,0,0,0,0,0,16:15,0:00,0,0:00,No,05:35.16,2,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49
2020-12-26 15:46:21,Running,2020-12-26 15:46:21,False,Longview Running,1,98,0:10:39,150,168,166,173,10:36,9:27,36,30,0.91,0,0,0,0,0,0,0,0,0,0,10:39,0:00,0,0:00,No,00:02.44,2,0,10,garmin,0,0 days 00:10:36,0 days 00:10:36
2020-12-25 07:14:03,Yoga,2020-12-25 7:14:03,False,Yoga,0,50,0:15:11,92,120,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,15:11,0:00,0,0:00,No,15:11.22,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-25 06:50:03,Treadmill Running,2020-12-25 6:50:03,False,Treadmill Running,2,209,0:21:57,158,179,155,175,10:57,6:57,0,0,0.95,0,0,0,0,0,0,0,0,0,0,21:57,0:00,0,0:00,No,00:01.45,3,0,10,garmin,0,0 days 00:10:57,0 days 00:10:57
2020-12-24 11:45:31,Strength Training,2020-12-24 11:45:31,False,Strength,0,67,0:20:01,94,109,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,32,2,20:01,0:00,0,0:00,No,20:01.47,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-24 11:16:13,Indoor Running,2020-12-24 11:16:13,False,Indoor Running,2,197,0:21:07,154,183,166,174,10:32,9:55,0,0,0.92,0,0,0,0,0,0,0,0,0,0,21:07,0:00,0,0:00,No,00:02.63,3,0,10,garmin,0,0 days 00:10:32,0 days 00:10:32
2020-12-23 18:35:02,Treadmill Running,2020-12-23 18:35:02,False,Treadmill Running,1.01,101,0:11:10,149,161,148,173,11:05,7:04,0,0,0.98,0,0,0,0,0,0,0,0,0,0,11:10,0:00,0,0:00,No,00:02.93,2,0,10,garmin,0,0 days 00:11:05,0 days 00:11:05
2020-12-22 19:24:25,Running,2020-12-22 19:24:25,False,Longview Running,1.03,95,0:10:26,151,165,168,185,10:09,1:25,36,36,0.94,0,0,0,0,0,0,0,0,0,0,10:26,0:00,0,0:00,No,00:16.82,2,0,10,garmin,0,0 days 00:10:09,0 days 00:10:09
2020-12-21 20:03:58,Treadmill Running,2020-12-21 20:03:58,False,Treadmill Running,1.5,141,0:16:31,144,158,158,173,11:00,9:02,0,0,0.93,0,0,0,0,0,0,0,0,0,0,16:31,0:00,0,0:00,No,05:13.59,2,0,10,garmin,0,0 days 00:11:00,0 days 00:11:00
2020-12-20 18:31:16,Indoor Cycling,2020-12-20 18:31:16,False,Indoor Cycling,0,129,0:20:01,123,169,0,0,0,0,0,0,0.0,0,0,65,103,0,0,0,1195,0,0,20:01,0:00,0,0:00,No,20:00.93,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-20 18:08:53,Treadmill Running,2020-12-20 18:08:53,False,Treadmill Running,1.26,139,0:15:01,153,168,146,172,11:53,8:57,0,0,0.93,0,0,0,0,0,0,0,0,0,0,15:01,0:00,0,0:00,No,03:11.95,2,0,10,garmin,0,0 days 00:11:53,0 days 00:11:53
2020-12-19 16:52:05,Strength Training,2020-12-19 16:52:05,False,Strength,0,75,0:20:01,98,129,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,1,20:01,0:00,0,0:00,No,20:01.01,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-19 16:26:29,Treadmill Running,2020-12-19 16:26:29,False,Treadmill Running,2,200,0:20:49,160,182,163,173,10:23,7:49,0,0,0.95,0,0,0,0,0,0,0,0,0,0,20:49,0:00,0,0:00,No,00:01.58,3,0,10,garmin,0,0 days 00:10:23,0 days 00:10:23
