date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2021-01-07 12:44:33,Cardio,2021-01-07 12:44:33,False,Cardio,0.00,735,01:01:01,142,167,3.2,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:01:01,0,0:00,84.2,0,0:00,No,0,0,0,0,01:01:01.05,1,0.0,34,15,41,0,0,0,8,garmin,0
2021-01-06 11:52:47,Running,2021-01-06 11:52:47,False,Denver Running,3.38,501,00:34:07,165,177,3.5,148,156,0 days 00:10:06,0 days 00:08:20,72,59,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:07,0,0:00,60.8,0,0:00,No,0,0,0,0,04:04.48,4,0.0,16,16,16,0,0,0,8,garmin,0
2021-01-05 16:47:58,Walking,2021-01-05 16:47:58,False,Denver Walking,1.63,198,00:38:16,85,107,0.4,73,159,0 days 00:23:27,0 days 00:01:50,98,92,0.95,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,38:16,0,0:00,57.2,0,0:00,No,0,0,0,0,12:48.66,2,0.0,17,17,17,0,0,0,8,garmin,0
2021-01-05 06:53:30,Cardio,2021-01-05 06:53:30,False,Cardio,0.00,410,00:30:09,149,192,3.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:09,0,0:00,86.0,0,0:00,No,0,0,0,0,30:09.34,1,0.0,16,16,16,0,0,0,8,garmin,0
2021-01-04 16:54:11,Walking,2021-01-04 16:54:11,False,Denver Walking,1.81,222,00:45:39,87,102,0.3,67,159,0 days 00:25:15,0 days 00:10:56,75,43,0.95,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:39,0,0:00,66.2,0,0:00,No,0,0,0,0,18:48.89,2,0.0,20,20,20,0,0,0,8,garmin,0
2021-01-03 11:16:26,Cycling,2021-01-03 11:16:26,False,Denver Cycling,35.68,"1,678",02:44:08,149,184,5.0,0,0,13.0,33.9,"2,890","2,825",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:44:08,0,0:00,57.2,0,0:00,No,0,0,0,0,02:34.98,8,0.0,20,20,20,0,0,0,8,garmin,0
2021-01-01 13:28:33,Cardio,2021-01-01 13:28:33,False,Cardio,0.00,494,00:34:06,155,188,3.7,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:06,0,0:00,82.4,0,0:00,No,0,0,0,0,34:05.52,1,0.0,19,19,19,0,0,0,8,garmin,0
2020-12-31 10:48:33,Running,2020-12-31 10:48:33,False,Denver Running,2.69,364,00:23:34,167,187,3.8,150,167,0 days 00:08:45,0 days 00:07:46,49,13,1.22,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:34,0,0:00,62.6,0,0:00,No,0,0,0,0,05:53.76,3,0.0,21,21,21,0,0,0,8,garmin,0
2020-12-29 15:23:38,Running,2020-12-29 15:23:38,False,Denver Running,2.08,309,00:20:04,168,179,3.2,151,185,0 days 00:09:39,0 days 00:08:14,75,43,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:04,0,0:00,51.8,0,0:00,No,0,0,0,0,00:51.46,3,0.0,24,24,24,0,0,0,8,garmin,0
2020-12-29 14:52:41,Cardio,2020-12-29 14:52:41,False,Cardio,0.00,327,00:23:53,147,183,3.1,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:53,0,0:00,82.4,0,0:00,No,0,0,0,0,23:53.24,1,0.0,17,17,17,0,0,0,8,garmin,0
