,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,4,2016-10-18,Running,False,Katy Running,6.01,528,0:58:36,115,126,2.1,157,206,0 days 00:09:45,0 days 00:07:10,23,30,1.06,8.2,8.7,295,49.8% L / 50.2% R,0,0,0,0,0,0,0,0,0,0,0,0,58:36:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,3.826955074875208,0.6571428571428571,9.025641025641026,6.153846153846154,9.025643396397179,13.73467473364788
1,7,2016-10-20,Running,False,Katy Running,6.05,583,0:52:56,127,136,2.3,164,182,0 days 00:08:45,0 days 00:06:44,16,30,1.13,7.6,8.6,280,49.2% L / 50.8% R,0,0,0,0,0,0,0,0,0,0,0,0,52:56:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,2.644628099173554,0.7257142857142858,10.057142857142855,6.857142857142857,10.05714411869721,13.858269454897728
2,9,2016-10-22,Running,False,Katy Running,15.02,"1,213",2:14:18,123,138,2.6,165,248,0 days 00:08:56,0 days 00:06:48,20,30,1.1,7.0,7.7,256,49.9% L / 50.1% R,0,0,0,0,0,0,0,0,0,0,0,0,2:14:18,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,1.3315579227696406,0.7028571428571428,9.850746268656716,6.716417910447761,9.850746581906956,14.015289852306644
3,10,2016-10-23,Running,False,Houston Running,6.01,556,0:55:23,118,131,2.2,163,183,0 days 00:09:13,0 days 00:08:02,26,20,1.08,7.3,7.9,249,50.1% L / 49.9% R,0,0,0,0,0,0,0,0,0,0,0,0,55:23:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.3261231281198,0.6742857142857143,9.547920433996381,6.509945750452079,9.547923638853186,14.160056244061929
4,12,2016-10-25,Running,False,Katy Running,7.5,725,1:08:23,120,151,2.8,163,256,0 days 00:09:07,0 days 00:07:22,13,23,1.1,7.4,8.2,267,50.0% L / 50.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:08:23,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,1.7333333333333334,0.6857142857142857,9.652650822669102,6.581352833638025,9.65265134280032,14.076783208250466
5,13,2016-10-26,Running,False,Katy Running,6.14,545,0:57:14,116,126,2.2,164,177,0 days 00:09:20,0 days 00:07:01,30,30,1.06,7.9,8.4,248,52.3% L / 47.7% R,0,0,0,0,0,0,0,0,0,0,0,0,57:14:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.88599348534202,0.6628571428571428,9.428571428571427,6.428571428571428,9.42857546552476,14.224144021265804
6,16,2016-10-27,Running,False,Houston Running,7.01,840,0:57:37,133,149,3.5,171,180,0 days 00:08:14,0 days 00:06:50,82,89,1.15,7.0,8.1,280,49.7% L / 50.3% R,0,0,0,0,0,0,0,0,0,0,0,0,57:37:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,11.697574893009985,0.76,10.68825910931174,7.287449392712551,10.688285339431218,14.063533341356866
7,17,2016-10-29,Running,False,Houston Running,18.11,"1,392",2:44:13,123,142,2.9,166,256,0 days 00:09:04,0 days 00:06:24,154,190,1.07,7.3,7.9,248,52.3% L / 47.8% R,0,0,0,0,0,0,0,0,0,0,0,0,2:44:13,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,8.503589177250138,0.7028571428571428,9.705882352941176,6.61764705882353,9.705894940497924,13.809200118594607
8,18,2016-10-31,Running,False,Katy Running,7.52,691,1:03:28,129,147,2.4,173,187,0 days 00:08:26,0 days 00:06:33,23,20,1.11,6.7,7.5,246,50.3% L / 49.8% R,0,0,0,0,0,0,0,0,0,0,0,0,1:03:28,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,3.0585106382978724,0.7371428571428571,10.43478260869565,7.1146245059288535,10.434784359370608,14.155715216200438
9,19,2016-11-01,Running,False,Houston Running,7.32,661,1:00:42,136,157,2.8,172,181,0 days 00:08:18,0 days 00:03:20,128,144,1.13,7.1,8.1,277,50.3% L / 49.8% R,0,0,0,0,0,0,0,0,0,0,0,0,1:00:42,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,17.486338797814206,0.7771428571428571,10.602409638554215,7.228915662650602,10.60246778234265,13.642881337573263
10,21,2016-11-03,Running,False,Katy Running,6.14,606,0:57:00,123,139,2.3,164,226,0 days 00:09:17,0 days 00:06:55,23,30,1.07,7.6,8.1,265,50.0% L / 50.0% R,0,0,0,0,0,0,0,0,0,0,0,0,57:00:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,3.7459283387622153,0.7028571428571428,9.47935368043088,6.4631956912028725,9.47935606604261,13.486888711849243
11,22,2016-11-03,Running,False,Houston Running,6.35,699,1:15:27,120,153,2.6,135,219,0 days 00:11:53,0 days 00:06:29,299,276,1.02,7.5,7.5,295,50.0% L / 50.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:15:27,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,47.08661417322835,0.6857142857142857,7.405329593267882,5.049088359046284,7.4056240576992725,10.799868417478105
12,23,2016-11-05,Running,False,Houston Running,15.55,"1,331",2:11:42,130,149,3.1,169,181,0 days 00:08:28,0 days 00:06:03,118,144,1.13,7.1,8.0,247,51.0% L / 49.0% R,0,0,0,0,0,0,0,0,0,0,0,0,2:11:42,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,7.588424437299035,0.7428571428571429,10.393700787401574,7.086614173228346,10.393711521742219,13.991534740806832
13,24,2016-11-08,Running,False,Katy Running,6.26,550,1:02:04,108,122,2.1,156,180,0 days 00:09:55,0 days 00:07:00,26,33,1.05,7.7,8.0,281,48.9% L / 51.1% R,0,0,0,0,0,0,0,0,0,0,0,0,1:02:04,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.15335463258786,0.6171428571428571,8.873949579831933,6.050420168067228,8.873952325304309,14.379089416002353
14,28,2016-11-10,Running,False,Houston Running,8.28,868,1:09:33,136,169,3.0,163,194,0 days 00:08:24,0 days 00:05:58,190,233,1.18,6.5,7.7,251,49.4% L / 50.6% R,0,0,0,0,0,0,0,0,0,0,0,0,1:09:33,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,22.946859903381643,0.7771428571428571,10.476190476190474,7.142857142857142,10.476289411205258,13.480519462947942
15,29,2016-11-12,Running,False,Houston Running,20.31,"1,779",2:59:49,128,146,3.4,165,176,0 days 00:08:51,0 days 00:04:47,381,423,1.1,7.0,7.8,256,51.3% L / 48.7% R,0,0,0,0,0,0,0,0,0,0,0,0,2:59:49,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,18.75923190546529,0.7314285714285714,9.943502824858758,6.779661016949153,9.94356558303215,13.594718570551768
16,31,2016-11-17,Running,False,Katy Running,6.01,641,0:54:15,126,142,2.5,161,176,0 days 00:09:02,0 days 00:06:46,26,33,1.12,7.5,8.4,268,48.6% L / 51.4% R,0,0,0,0,0,0,0,0,0,0,0,0,54:15:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.3261231281198,0.72,9.74169741697417,6.642066420664206,9.741700686874193,13.530139842880825
17,32,2016-11-19,Running,False,Houston Running,18.52,"1,603",2:36:33,129,145,3.3,168,179,0 days 00:08:27,0 days 00:06:55,190,259,1.13,6.8,7.8,243,51.4% L / 48.6% R,0,0,0,0,0,0,0,0,0,0,0,0,2:36:33,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,10.259179265658748,0.7371428571428571,10.414201183431953,7.100591715976332,10.414220842048417,14.12781897177111
18,33,2016-11-20,Running,False,Katy Running,6.01,647,0:53:54,130,152,2.4,165,183,0 days 00:08:58,0 days 00:07:25,20,10,1.1,6.7,7.5,262,48.7% L / 51.3% R,0,0,0,0,0,0,0,0,0,0,0,0,53:54:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,3.327787021630616,0.7428571428571429,9.814126394052044,6.691449814126394,9.814128343289779,13.21132661596701
19,35,2016-11-22,Running,False,Katy Running,6.01,609,0:52:21,129,147,2.3,164,181,0 days 00:08:42,0 days 00:05:00,30,26,1.14,7.1,8.1,266,49.0% L / 51.0% R,0,0,0,0,0,0,0,0,0,0,0,0,52:21:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.9916805324459235,0.7371428571428571,10.114942528735632,6.8965517241379315,10.114947048950164,13.721827391986658
20,36,2016-11-25,Running,False,Katy Running,6.01,597,0:50:31,131,170,2.4,167,178,0 days 00:08:24,0 days 00:06:51,30,26,1.16,7.3,8.5,249,50.1% L / 49.9% R,0,0,0,0,0,0,0,0,0,0,0,0,50:31:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,4.9916805324459235,0.7485714285714286,10.476190476190474,7.142857142857142,10.47619515784124,13.994917195589442
21,37,2016-11-26,Running,False,Houston Running,20.22,"1,878",2:43:28,140,153,3.5,175,190,0 days 00:08:05,0 days 00:06:20,148,141,1.14,6.5,7.5,237,51.6% L / 48.4% R,0,0,0,0,0,0,0,0,0,0,0,0,2:43:28,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,7.31948565776459,0.8,10.886597938144329,7.422680412371133,10.886608398712228,13.608260498390285
22,38,2016-12-01,Running,False,Steamboat Springs Running,6.23,780,0:55:23,143,157,3.2,164,175,0 days 00:08:54,0 days 00:07:35,125,118,1.11,7.5,8.3,253,50.0% L / 50.0% R,0,0,0,0,0,0,0,0,0,0,0,0,55:23:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,20.06420545746388,0.8171428571428572,9.887640449438202,6.741573033707865,9.88771183940659,12.100346656616455
23,39,2016-12-02,Running,False,Steamboat Springs Running,7.09,794,1:02:26,143,174,2.7,167,179,0 days 00:08:49,0 days 00:08:03,203,135,1.1,7.2,8.0,264,49.7% L / 50.3% R,0,0,0,0,0,0,0,0,0,0,0,0,1:02:26,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,28.63187588152327,0.8171428571428572,9.98109640831758,6.805293005671078,9.98124315788258,12.214808060345815
24,40,2016-12-04,Running,False,Steamboat Springs Running,20.17,"2,008",3:20:43,135,156,3.6,157,185,0 days 00:09:57,0 days 00:07:59,456,433,1.03,7.5,7.7,274,50.6% L / 49.4% R,0,0,0,0,0,0,0,0,0,0,0,0,3:20:43,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,22.6078334159643,0.7714285714285715,8.844221105527637,6.030150753768845,8.844302178789961,11.46483615769069
25,41,2016-12-06,Running,False,Steamboat Springs Running,7.04,731,1:05:50,124,149,2.6,163,201,0 days 00:09:21,0 days 00:06:43,210,187,1.06,7.4,7.9,269,49.7% L / 50.3% R,0,0,0,0,0,0,0,0,0,0,0,0,1:05:50,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,29.829545454545453,0.7085714285714285,9.411764705882351,6.4171122994652405,9.411914903493848,13.282944420253415
26,42,2016-12-07,Running,False,Steamboat Springs Running,6.17,638,0:56:01,131,143,2.5,164,170,0 days 00:09:05,0 days 00:07:41,105,131,1.08,7.3,8.0,262,49.8% L / 50.2% R,0,0,0,0,0,0,0,0,0,0,0,0,56:01:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,17.01782820097245,0.7485714285714286,9.688073394495412,6.605504587155963,9.688123715200957,12.942150001222654
27,43,2016-12-08,Running,False,Steamboat Springs Running,6.16,582,0:56:03,128,141,2.3,164,173,0 days 00:09:06,0 days 00:08:11,125,125,1.08,7.3,7.9,252,51.3% L / 48.7% R,0,0,0,0,0,0,0,0,0,0,0,0,56:03:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,20.29220779220779,0.7314285714285714,9.67032967032967,6.593406593406594,9.67040108713796,13.221251486321432
28,44,2016-12-11,Running,False,Steamboat Springs Running,9.81,997,2:16:34,113,142,2.1,128,256,0 days 00:13:55,0 days 00:08:21,269,282,0.92,7.9,7.0,324,52.0% L / 48.0% R,0,0,0,0,0,0,0,0,0,0,0,0,2:16:34,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,27.420998980632007,0.6457142857142857,6.323353293413174,4.311377245508982,6.32343856674324,9.79293583345192
29,46,2016-12-13,Running,False,Steamboat Springs Running,10.15,900,1:40:45,124,141,2.6,157,219,0 days 00:09:56,0 days 00:07:16,295,285,1.04,7.5,7.7,268,51.4% L / 48.6% R,0,0,0,0,0,0,0,0,0,0,0,0,1:40:45,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,29.064039408866993,0.7085714285714285,8.859060402684563,6.040268456375839,8.859194616888487,12.502895628673269
30,48,2016-12-16,Running,False,Steamboat Springs Running,6.17,652,1:01:48,135,146,2.4,155,170,0 days 00:10:01,0 days 00:07:50,144,108,1.05,8.1,8.5,273,50.6% L / 49.4% R,0,0,0,0,0,0,0,0,0,0,0,0,1:01:48,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,23.3387358184765,0.7714285714285715,8.785357737104823,5.990016638935107,8.78544356217053,11.388537950961798
31,49,2016-12-19,Running,False,Steamboat Springs Running,21.03,"1,881",3:18:56,135,148,3.6,161,178,0 days 00:09:27,0 days 00:06:28,492,499,1.07,7.5,8.0,265,51.9% L / 48.1% R,0,0,0,0,0,0,0,0,0,0,0,0,3:18:56,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,23.39514978601997,0.7714285714285715,9.312169312169312,6.34920634920635,9.3122607240305,12.071449086706203
32,50,2016-12-21,Running,False,Steamboat Springs Running,7.23,724,1:10:03,129,144,2.5,158,171,0 days 00:09:41,0 days 00:07:25,207,121,1.06,7.8,8.3,260,51.2% L / 48.8% R,0,0,0,0,0,0,0,0,0,0,0,0,1:10:03,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,28.63070539419087,0.7371428571428571,9.087779690189327,6.196213425129088,9.087913294617733,12.328564546962042
33,51,2016-12-23,Running,False,Steamboat Springs Running,7.06,668,1:08:30,125,139,2.4,158,173,0 days 00:09:42,0 days 00:07:46,187,177,1.06,7.9,8.4,268,50.9% L / 49.1% R,0,0,0,0,0,0,0,0,0,0,0,0,1:08:30,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,26.487252124645895,0.7142857142857143,9.072164948453608,6.185567010309279,9.07227910062469,12.701190740874567
34,52,2016-12-24,Running,False,Steamboat Springs Running,7.44,650,1:12:08,124,171,2.3,159,175,0 days 00:09:42,0 days 00:07:39,217,197,1.05,8.3,8.6,269,50.8% L / 49.2% R,0,0,0,0,0,0,0,0,0,0,0,0,1:12:08,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,29.166666666666664,0.7085714285714285,9.072164948453608,6.185567010309279,9.072303363524895,12.803653940458522
35,53,2016-12-26,Running,False,Steamboat Springs Running,7.13,716,1:05:13,135,152,2.5,165,256,0 days 00:09:09,0 days 00:07:41,187,128,1.08,7.4,8.0,265,50.3% L / 49.7% R,0,0,0,0,0,0,0,0,0,0,0,0,1:05:13,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,26.227208976157083,0.7714285714285715,9.617486338797814,6.557377049180328,9.617604988106416,12.467265725323132
36,54,2016-12-27,Running,False,Steamboat Springs Running,21.01,"1,828",3:22:53,129,145,3.5,161,226,0 days 00:09:39,0 days 00:07:16,463,449,1.05,7.7,8.0,264,52.6% L / 47.4% R,0,0,0,0,0,0,0,0,0,0,0,0,3:22:53,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,22.037125178486434,0.7371428571428571,9.119170984455957,6.217616580310881,9.11925041097033,12.37107613891324
37,55,2016-12-30,Running,False,Steamboat Springs Running,7.26,718,1:07:22,133,144,2.6,164,208,0 days 00:09:17,0 days 00:08:16,187,131,1.07,7.6,8.2,272,51.0% L / 49.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:07:22,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,25.757575757575758,0.76,9.47935368043088,6.4631956912028725,9.479466475022054,12.472982203976386
38,57,2016-12-31,Running,False,Steamboat Springs Running,7.19,663,1:05:58,130,140,2.4,165,256,0 days 00:09:10,0 days 00:07:32,200,128,1.07,7.6,8.1,264,51.0% L / 49.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:05:58,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0,27.816411682892905,0.7428571428571429,9.6,6.545454545454546,9.600133220969385,12.923256258997249
