date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2016-08-28,Running,False,Steamboat Springs Running,7.64,783,1:07:05,133,158,2.6,168,174,0 days 00:08:47,0 days 00:07:20,230,243,1.09,7.4,8.2,275,50.0% L / 50.0% R,84,0,0,0,0,0,0,0,0,0,0,0,1:07:05,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-29,Pool Swimming,False,Lap Swimming,"1,000",212,0:21:42,0,0,0.0,0,0,0 days 00:02:07,0 days 00:01:45,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,429,42,20,21:42,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-29,Running,False,Steamboat Springs Running,7.63,696,1:07:11,128,151,2.5,167,176,0 days 00:08:48,0 days 00:07:18,207,226,1.1,7.4,8.2,265,49.7% L / 50.3% R,83,0,0,0,0,0,0,0,0,0,0,0,1:07:11,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-30,Running,False,Steamboat Springs Running,7.7,552,1:09:42,62,138,2.1,167,174,0 days 00:09:03,0 days 00:08:11,236,243,1.07,7.6,8.2,279,49.9% L / 50.1% R,83,0,0,0,0,0,0,0,0,0,0,0,1:09:42,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-30,Cycling,False,Steamboat Springs Cycling,20.78,"1,377",1:19:11,0,0,0.0,0,0,15.7,32.1,978,958,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:19:11,0:00,64.4,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-31,Running,False,Steamboat Springs Running,7.57,671,1:09:13,121,139,2.4,166,182,0 days 00:09:09,0 days 00:05:25,207,223,1.07,7.5,8.1,262,50.2% L / 49.8% R,82,0,0,0,0,0,0,0,0,0,0,0,1:09:13,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-31,Cycling,False,Steamboat Springs Cycling,25.62,"1,649",1:33:44,0,0,0.0,0,0,16.4,32,"1,073","1,047",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:33:44,0:00,68.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-08-31,Pool Swimming,False,Lap Swimming,"1,125",237,0:22:28,0,0,0.0,0,0,0 days 00:02:00,0 days 00:00:44,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,433,40,19,22:28,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-01,Running,False,Steamboat Springs Running,7.01,608,1:07:06,121,175,2.2,162,186,0 days 00:09:34,0 days 00:06:37,217,236,1.05,7.8,8.2,274,49.7% L / 50.3% R,80,0,0,0,0,0,0,0,0,0,0,0,1:07:06,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-02,Cycling,False,Frisco Cycling,23.31,"1,416",2:26:53,0,0,0.0,0,0,9.5,28.1,"1,476","1,444",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:26:53,0:00,51.8,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-03,Running,False,Steamboat Springs Running,20.26,"1,584",3:05:38,122,148,3.3,164,248,0 days 00:09:10,0 days 00:06:21,413,394,1.08,7.5,8.1,263,50.2% L / 49.8% R,81,0,0,0,0,0,0,0,0,0,0,0,3:05:38,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-03,Pool Swimming,False,Lap Swimming,"1,225",260,0:28:02,0,0,0.0,0,0,0 days 00:02:17,0 days 00:01:27,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,589,46,21,28:02:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-04,Cycling,False,Steamboat Springs Cycling,11.33,717,0:56:57,0,0,0.0,0,0,11.9,30.4,587,577,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56:57:00,0:00,55.4,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-05,Cycling,False,Steamboat Springs Cycling,31.13,"1,769",2:31:45,0,0,0.0,0,0,12.3,31.8,"1,375","1,355",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:31:45,0:00,57.2,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-07,Running,False,Steamboat Springs Running,8.05,808,1:10:56,134,156,2.7,169,179,0 days 00:08:49,0 days 00:06:27,220,233,1.08,7.3,8.0,256,51.2% L / 48.8% R,84,0,0,0,0,0,0,0,0,0,0,0,1:10:56,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-09-08,Running,False,Steamboat Springs Running,7.14,609,1:04:33,119,144,2.3,167,175,0 days 00:09:03,0 days 00:07:51,213,230,1.07,7.5,8.1,268,49.2% L / 50.8% R,83,0,0,0,0,0,0,0,0,0,0,0,1:04:33,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
