date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2016-12-16,Running,False,Steamboat Springs Running,6.17,652,1:01:48,135,146,2.4,155,170,0 days 00:10:01,0 days 00:07:50,144,108,1.05,8.1,8.5,273,50.6% L / 49.4% R,0,0,0,0,0,0,0,0,0,0,0,0,1:01:48,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-19,Running,False,Steamboat Springs Running,21.03,"1,881",3:18:56,135,148,3.6,161,178,0 days 00:09:27,0 days 00:06:28,492,499,1.07,7.5,8.0,265,51.9% L / 48.1% R,0,0,0,0,0,0,0,0,0,0,0,0,3:18:56,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-21,Running,False,Steamboat Springs Running,7.23,724,1:10:03,129,144,2.5,158,171,0 days 00:09:41,0 days 00:07:25,207,121,1.06,7.8,8.3,260,51.2% L / 48.8% R,0,0,0,0,0,0,0,0,0,0,0,0,1:10:03,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-23,Running,False,Steamboat Springs Running,7.06,668,1:08:30,125,139,2.4,158,173,0 days 00:09:42,0 days 00:07:46,187,177,1.06,7.9,8.4,268,50.9% L / 49.1% R,0,0,0,0,0,0,0,0,0,0,0,0,1:08:30,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-24,Running,False,Steamboat Springs Running,7.44,650,1:12:08,124,171,2.3,159,175,0 days 00:09:42,0 days 00:07:39,217,197,1.05,8.3,8.6,269,50.8% L / 49.2% R,0,0,0,0,0,0,0,0,0,0,0,0,1:12:08,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-26,Running,False,Steamboat Springs Running,7.13,716,1:05:13,135,152,2.5,165,256,0 days 00:09:09,0 days 00:07:41,187,128,1.08,7.4,8.0,265,50.3% L / 49.7% R,0,0,0,0,0,0,0,0,0,0,0,0,1:05:13,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-27,Running,False,Steamboat Springs Running,21.01,"1,828",3:22:53,129,145,3.5,161,226,0 days 00:09:39,0 days 00:07:16,463,449,1.05,7.7,8.0,264,52.6% L / 47.4% R,0,0,0,0,0,0,0,0,0,0,0,0,3:22:53,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-30,Running,False,Steamboat Springs Running,7.26,718,1:07:22,133,144,2.6,164,208,0 days 00:09:17,0 days 00:08:16,187,131,1.07,7.6,8.2,272,51.0% L / 49.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:07:22,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-31,Resort Skiing/Snowboarding,False,Steamboat Springs Resort Skiing/Snowboarding,25.26,"1,207",2:27:37,0,0,0.0,0,0,10.3,33.1,0,"3,543",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:27:37,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2016-12-31,Running,False,Steamboat Springs Running,7.19,663,1:05:58,130,140,2.4,165,256,0 days 00:09:10,0 days 00:07:32,200,128,1.07,7.6,8.1,264,51.0% L / 49.0% R,0,0,0,0,0,0,0,0,0,0,0,0,1:05:58,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-01,Running,False,Steamboat Springs Running,13.36,"1,274",2:12:38,130,146,3.1,160,173,0 days 00:09:56,0 days 00:07:45,335,233,1.02,7.6,7.7,279,52.0% L / 48.0% R,0,0,0,0,0,0,0,0,0,0,0,0,2:12:38,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-01,Resort Skiing/Snowboarding,False,Steamboat Springs Resort Skiing/Snowboarding,21.6,"1,042",2:07:37,0,0,0.0,0,0,10.2,30.3,0,"3,550",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:07:37,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-03,Treadmill Running,False,Treadmill Running,6.03,588,0:56:46,132,151,3.0,169,183,0 days 00:09:24,0 days 00:08:13,0,0,1.02,7.5,7.9,245,49.0% L / 51.0% R,0,0,0,0,0,0,0,0,0,0,0,0,56:46:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-06,Resort Skiing/Snowboarding,False,Steamboat Springs Resort Skiing/Snowboarding,26.64,"1,418",2:52:17,0,0,0.0,0,0,9.3,28.3,0,"3,921",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:52:17,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-06,Treadmill Running,False,Treadmill Running,6.05,591,1:02:07,138,156,3.0,154,181,0 days 00:10:17,0 days 00:08:10,0,0,1.03,7.3,7.9,249,48.6% L / 51.4% R,0,0,0,0,0,0,0,0,0,0,0,0,1:02:07,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-08,Treadmill Running,False,Treadmill Running,8.88,871,1:23:35,139,162,2.8,171,178,0 days 00:09:25,0 days 00:08:10,0,0,1.0,8.0,8.2,261,48.6% L / 51.4% R,0,0,0,0,0,0,0,0,0,0,0,0,1:23:35,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-09,Running,False,Steamboat Springs Running,7.35,806,1:22:12,129,146,2.5,148,256,0 days 00:11:11,0 days 00:07:59,210,135,1.0,8.2,8.1,310,50.9% L / 49.1% R,0,0,0,0,0,0,0,0,0,0,0,0,1:22:12,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-12,Running,False,Steamboat Springs Running,3,288,0:41:45,107,133,1.7,126,212,0 days 00:13:55,0 days 00:08:35,112,52,0.94,8.3,7.5,297,51.8% L / 48.2% R,0,0,0,0,0,0,0,0,0,0,0,0,41:45:00,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,0
2017-01-15,Running,False,Houston Running,26.48,"2,722",3:40:52,147,179,4.4,168,186,0 days 00:08:20,0 days 00:03:30,210,226,1.16,6.9,8.0,253,49.4% L / 50.6% R,0,0,0,0,0,0,0,0,0,0,0,0,3:40:52,0:00,0.0,0:00,No,00:00.0,0,0,0,0,0,1,garmin,1
