date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-07-05,Running,False,Fairfax County Running,1.29,93,00:09:30.1,162,198,2.5,178,189,0 days 00:07:21,0 days 00:06:22,42,36,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:30.1,0:00,0.0,0:00,No,02:06.32,2,0.0,6,garmin,0
2020-07-07,Running,False,Fairfax County Running,1.81,147,00:13:07,178,198,3.0,178,193,0 days 00:07:15,0 days 00:06:25,58,90,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:43.85,2,0.0,6,garmin,0
2020-07-08,Running,False,Fairfax County Running,1.00,106,00:10:17,167,191,2.4,172,228,0 days 00:10:17,0 days 00:04:26,0,0,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,10:17,0:00,0.0,0:00,No,10:16.72,1,0.0,6,garmin,0
2020-07-10,Running,False,Fairfax County Running,1.79,121,00:13:11,154,195,2.5,179,193,0 days 00:07:21,0 days 00:06:39,63,88,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:11,0:00,0.0,0:00,No,05:38.95,2,0.0,6,garmin,0
2020-07-13,Running,False,Fairfax County Running,0.97,117,00:11:20,170,186,2.7,158,239,0 days 00:11:42,0 days 00:04:16,7,12,0.87,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,11:20,0:00,0.0,0:00,No,11:20.19,1,0.0,6,garmin,0
2020-07-14,Running,False,Fairfax County Running,1.81,105,00:13:33,143,186,2.2,178,187,0 days 00:07:30,0 days 00:06:34,66,88,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:33,0:00,0.0,0:00,No,05:50.00,2,0.0,6,garmin,0
2020-07-16,Running,False,Fairfax County Running,1.81,119,00:13:23,153,197,2.5,178,189,0 days 00:07:23,0 days 00:06:47,74,98,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:23,0:00,0.0,0:00,No,05:53.43,2,0.0,6,garmin,0
2020-07-24,Running,False,Fairfax County Running,1.84,136,00:13:41,165,197,2.9,181,193,0 days 00:07:27,0 days 00:06:35,31,54,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:41,0:00,0.0,0:00,No,06:02.59,2,0.0,6,garmin,0
2020-07-28,Running,False,Fairfax County Running,2.52,203,00:20:01,171,200,3.5,177,187,0 days 00:07:57,0 days 00:06:59,102,116,1.14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:01,0:00,0.0,0:00,No,04:21.12,3,0.0,6,garmin,0
2020-07-30,Running,False,Fairfax County Running,1.83,143,00:13:37,177,201,3.2,177,187,0 days 00:07:26,0 days 00:06:41,57,86,1.22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:37,0:00,0.0,0:00,No,06:00.87,2,0.0,6,garmin,0
2020-08-04,Running,False,Fairfax County Running,2.20,177,00:17:16,174,201,3.4,177,187,0 days 00:07:51,0 days 00:07:05,79,93,1.16,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:16,0:00,0.0,0:00,No,01:38.56,3,0.0,6,garmin,0
2020-08-08,Running,False,Fairfax County Running,2.00,151,00:15:27,168,200,3.1,175,183,0 days 00:07:44,0 days 00:06:59,87,93,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:27,0:00,0.0,0:00,No,07:41.83,2,0.0,6,garmin,0
2020-08-11,Running,False,Fairfax County Running,2.52,207,00:19:38,179,199,3.6,172,189,0 days 00:07:48,0 days 00:07:10,66,78,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:38,0:00,0.0,0:00,No,04:10.18,3,0.0,6,garmin,0
2020-08-13,Running,False,Fairfax County Running,1.83,136,00:13:38,173,199,3.1,174,187,0 days 00:07:27,0 days 00:06:53,70,90,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:38,0:00,0.0,0:00,No,05:57.43,2,0.0,6,garmin,0
2020-08-15,Running,False,Fairfax County Running,2.50,179,00:18:44,166,197,3.2,172,185,0 days 00:07:30,0 days 00:06:53,104,100,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,18:44,0:00,0.0,0:00,No,03:52.93,3,0.0,6,garmin,0
