Kudos Date,Kudos Type,Parent ID
"May 9, 2017, 7:30:23 AM",Activity,976808551
"May 15, 2017, 5:55:39 PM",Activity,987526055
"May 18, 2017, 6:09:55 AM",Activity,991686131
"May 18, 2017, 1:28:41 PM",Activity,991493263
"May 20, 2017, 10:00:57 AM",Activity,995429142
"May 20, 2017, 12:52:32 PM",Activity,996781612
"May 21, 2017, 6:07:55 AM",Activity,996833585
"May 21, 2017, 2:04:13 PM",Activity,998120532
"May 29, 2017, 12:05:01 PM",Activity,1004800479
"Jun 6, 2017, 6:09:40 PM",Activity,1023994640
"Jun 8, 2017, 6:19:00 PM",Activity,1027016158
"Jun 8, 2017, 6:26:04 PM",Activity,1027034734
"Jun 11, 2017, 1:36:08 PM",Activity,1029524843
"Jun 17, 2017, 4:48:01 PM",Activity,1040968412
"Jun 18, 2017, 7:17:10 PM",Activity,1042856843
"Jun 21, 2017, 12:05:22 PM",Activity,1040926808
"Jun 24, 2017, 10:32:36 AM",Activity,1050160765
"Jun 24, 2017, 1:51:44 PM",Activity,1051605710
"Jun 24, 2017, 1:52:14 PM",Activity,1051372176
"Jun 27, 2017, 7:38:26 PM",Activity,1057080680
"Jul 1, 2017, 2:42:13 PM",Activity,1062070265
"Jul 5, 2017, 8:13:22 PM",Activity,1069123257
"Jul 6, 2017, 3:24:42 PM",Activity,1070257390
"Jul 6, 2017, 3:24:44 PM",Activity,1070274774
"Jul 6, 2017, 6:57:13 PM",Activity,1070584390
"Jul 7, 2017, 1:59:16 PM",Activity,1071721267
"Jul 7, 2017, 1:59:31 PM",Activity,1071474106
"Jul 7, 2017, 1:59:42 PM",Activity,1071722021
"Jul 7, 2017, 1:59:50 PM",Activity,1071754622
"Jul 10, 2017, 4:24:39 PM",Activity,1076536432
"Jul 10, 2017, 4:24:43 PM",Activity,1076337495
"Jul 11, 2017, 1:53:40 PM",Activity,1078166076
"Jul 16, 2017, 1:48:08 PM",Activity,1085812827
"Jul 16, 2017, 6:57:06 PM",Activity,1085825254
"Jul 17, 2017, 9:23:59 PM",Activity,1087858270
"Jul 20, 2017, 3:23:50 PM",Activity,1092942410
"Jul 22, 2017, 9:50:55 PM",Activity,1096088962
"Jul 22, 2017, 9:50:56 PM",Activity,1096032539
"Jul 23, 2017, 10:06:42 PM",Activity,1097534722
"Jul 25, 2017, 3:55:14 PM",Activity,1100854439
"Jul 25, 2017, 8:31:05 PM",Activity,1101271242
"Jul 25, 2017, 8:31:05 PM",Activity,1101190199
"Jul 27, 2017, 5:19:20 PM",Activity,1104158731
"Jul 29, 2017, 11:52:29 AM",Activity,1106835862
"Aug 1, 2017, 7:00:09 PM",Activity,1112528418
"Aug 1, 2017, 7:07:09 PM",Activity,1112368997
"Aug 3, 2017, 7:36:11 PM",Activity,1115557038
"Aug 7, 2017, 9:45:50 AM",Activity,1121331034
"Aug 8, 2017, 4:26:36 PM",Activity,1123535665
"Aug 11, 2017, 6:50:04 AM",Activity,1127090738
"Aug 13, 2017, 1:15:30 PM",Activity,1131249363
"Aug 14, 2017, 4:39:04 PM",Activity,1133223004
"Aug 14, 2017, 7:50:00 PM",Activity,1133615246
"Aug 18, 2017, 7:42:34 AM",Activity,1139313218
"Aug 19, 2017, 11:10:20 AM",Activity,1139980259
"Aug 20, 2017, 2:22:41 PM",Activity,1142852305
"Aug 22, 2017, 5:16:18 PM",Activity,1146541955
"Aug 23, 2017, 8:48:29 AM",Activity,1147488414
"Aug 23, 2017, 10:00:47 AM",Activity,1144671606
"Aug 27, 2017, 1:27:13 PM",Activity,1154669301
"Aug 30, 2017, 5:12:03 PM",Activity,1159908197
"Aug 31, 2017, 8:59:19 AM",Activity,1160999427
"Aug 31, 2017, 7:10:06 PM",Activity,1161873811
"Aug 31, 2017, 7:10:37 PM",Activity,1159895226
"Sep 2, 2017, 3:25:56 PM",Activity,1164352031
"Sep 13, 2017, 10:20:34 AM",Activity,1180723896
"Sep 13, 2017, 10:21:14 AM",Activity,1175133267
"Sep 28, 2017, 5:16:36 PM",Activity,1205954897
"Oct 4, 2017, 7:10:41 AM",Activity,1213751184
