date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_power_np,lr_balance,training_stress_score,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2019-06-26,Cycling,False,Broomfield Cycling,16.22,720,00:55:52,129,154,2.5,0,0,17.4,48.8,"1,129","1,132",0.0,0.0,0.0,0,0,86,129,238,0,45.6,235,216,526,0.0,0.0,4609,0,0,0,0,55:52,0:00,62.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-06-26,Hiking,False,Denver Hiking,1.34,180,00:24:30,104,132,0.3,92,201,0 days 00:18:18,0 days 00:04:16,7,46,0.96,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,24:30,0:00,84.2,0:00,No,06:38.45,2,0.0,0,0,0,3,garmin,0
2019-06-26,Hiking,False,Denver Hiking,1.32,187,00:25:39,104,128,0.2,95,171,0 days 00:19:24,0 days 00:07:34,23,30,0.87,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:39,0:00,84.2,0:00,No,06:40.25,2,0.0,0,0,0,3,garmin,0
2019-06-26,Cycling,False,Broomfield Cycling,5.59,177,00:19:19,119,142,1.4,0,0,17.4,31.1,141,299,0.0,0.0,0.0,0,0,82,100,181,0,8.8,0,152,394,0.0,0.0,1401,0,0,0,0,19:19,0:00,66.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-06-26,Cycling,False,Louisville Cycling,5.26,190,00:18:32,118,131,1.3,0,0,17.0,30.3,279,135,0.0,0.0,0.0,0,0,87,102,185,0,9.1,0,171,560,0.0,0.0,1543,0,0,0,0,18:32,0:00,84.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-06-26,Cycling,False,Louisville Cycling,8.10,286,00:38:11,108,150,1.4,0,0,12.7,25.3,335,322,0.0,0.0,0.0,0,0,77,139,202,0,22.7,105,125,788,0.0,0.0,2548,0,0,0,0,38:11,0:00,82.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-06-26,Pool Swimming,False,Lap Swimming,"2,700",648,00:56:29,0,0,0.0,0,0,0 days 00:01:32,0 days 00:01:20,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1117,33,27,0,0,56:29,0:00,82.4,0:00,No,00:09.97,58,0.0,0,0,0,3,garmin,0
2019-06-27,Open Water Swimming,False,Boulder Open Water Swimming,"2,363",521,00:33:50,133,145,2.6,0,0,0 days 00:01:26,0 days 00:00:34,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1054,36,31,0,0,33:50,0:00,66.2,0:00,No,00:02.29,4,0.0,0,0,0,3,garmin,0
2019-06-27,Running,False,Lafayette Running,6.71,775,00:50:32,148,169,3.1,181,202,0 days 00:07:32,0 days 00:05:20,253,220,1.17,7.6,9.0,250,48.2% L / 51.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:32,0:00,87.8,0:00,No,00:15.43,29,0.0,0,0,0,3,garmin,0
2019-06-27,Indoor Cycling,False,Indoor Cycling,0.00,744,01:00:04,122,139,2.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,86,98,222,48% L / 52% R,43.6,244,208,309,0.0,0.0,5174,0,0,0,0,1:00:04,0:00,73.4,0:00,No,00:59.70,15,0.0,0,0,0,3,garmin,0
