date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_power_np,lr_balance,training_stress_score,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2019-05-09,Treadmill Running,False,Treadmill Running,6.92,864,01:00:02,143,168,3.2,182,191,0 days 00:08:41,0 days 00:06:43,0,0,1.02,8.6,9.0,245,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:02,0:00,69.8,0:00,No,05:01.30,3,0.0,0,0,0,3,garmin,0
2019-05-09,Indoor Cycling,False,Indoor Cycling,0.00,"1,211",01:30:11,124,143,2.5,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,85,97,237,49% L / 51% R,75.0,263,225,351,0.0,0.0,7734,0,0,0,0,1:30:11,0:00,69.8,0:00,No,00:59.98,15,0.0,0,0,0,3,garmin,0
2019-05-10,Running,False,Denver Running,3.29,358,00:25:30,134,148,2.2,182,202,0 days 00:07:44,0 days 00:07:03,75,59,1.13,7.6,8.8,250,47.8% L / 52.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:30,0:00,57.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-10,Pool Swimming,False,Lap Swimming,"3,500",462,01:05:04,129,154,2.0,0,0,0 days 00:01:25,0 days 00:01:09,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1248,31,27,0,0,1:05:04,0:00,82.4,0:00,No,00:00.34,96,0.0,0,0,0,3,garmin,0
2019-05-11,Cycling,False,Boulder Cycling,100.07,"3,791",04:28:53,140,159,3.9,0,0,22.3,43.6,"3,353","3,274",0.0,0.0,0.0,0,0,92,112,240,46% L / 54% R,230.3,272,235,448,0.0,0.0,24528,0,0,0,0,4:28:53,0:00,62.6,0:00,No,11:30.53,6,0.0,0,0,0,3,garmin,0
2019-05-11,Cycling,False,Boulder County Cycling,2.78,89,00:09:31.2,124,133,1.1,0,0,17.5,25.8,85,180,0.0,0.0,0.0,0,0,85,107,170,46% L / 54% R,3.9,0,157,338,0.0,0.0,753,0,0,0,0,9:31.2,0:00,66.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-11,Running,False,Boulder Running,6.12,777,00:50:03,148,160,3.0,179,195,0 days 00:08:10,0 days 00:07:18,157,148,1.09,7.5,8.3,257,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:03,0:00,59.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-12,Running,False,Boulder Running,14.06,"1,504",01:50:04,145,167,2.9,180,190,0 days 00:07:50,0 days 00:06:08,620,528,1.13,7.6,8.8,255,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:50:04,0:00,71.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-12,Indoor Cycling,False,Indoor Cycling,0.00,663,01:30:02,103,152,1.9,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,88,111,156,49% L / 51% R,32.4,140,123,643,0.0,0.0,7928,0,0,0,0,1:30:02,0:00,77.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-12,Running,False,Denver Running,6.24,711,00:50:35,139,158,2.4,178,200,0 days 00:08:07,0 days 00:07:07,285,223,1.1,8.3,9.4,258,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:35,0:00,71.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-13,Pool Swimming,False,Lap Swimming,"3,100",386,00:55:19,122,146,1.4,0,0,0 days 00:01:28,0 days 00:01:15,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1229,32,27,0,0,55:19,0:00,82.4,0:00,No,00:04.78,56,0.0,0,0,0,3,garmin,0
2019-05-13,Indoor Cycling,False,Indoor Cycling,0.00,537,01:00:02,103,118,1.9,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,87,97,152,47% L / 53% R,20.4,160,149,228,0.0,0.0,5235,0,0,0,0,1:00:02,0:00,73.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-14,Pool Swimming,False,Lap Swimming,"1,600",210,00:36:45,117,147,0.8,0,0,0 days 00:01:34,0 days 00:01:18,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,545,34,27,0,0,36:45,0:00,78.8,0:00,No,00:09.16,49,0.0,0,0,0,3,garmin,0
2019-05-14,Running,False,Louisville Running,4.57,535,00:35:02,142,168,2.7,183,190,0 days 00:07:40,0 days 00:06:49,210,194,1.14,7.6,8.9,248,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0:00,80.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-14,Indoor Cycling,False,Indoor Cycling,0.00,"1,354",01:40:02,135,167,3.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,88,99,261,49% L / 51% R,100.9,287,228,383,0.0,0.0,8854,0,0,0,0,1:40:02,0:00,69.8,0:00,No,00:29.95,25,0.0,0,0,0,3,garmin,0
2019-05-15,Indoor Cycling,False,Indoor Cycling,0.00,558,01:01:15,106,138,1.9,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,89,107,168,47% L / 53% R,25.4,167,152,662,0.0,0.0,5497,0,0,0,0,1:01:15,0:00,75.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-05-15,Pool Swimming,False,Lap Swimming,"3,800",460,01:02:40,121,137,1.4,0,0,0 days 00:01:29,0 days 00:01:16,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1457,32,26,0,0,1:02:40,0:00,80.6,0:00,No,00:01.40,47,0.0,0,0,0,3,garmin,0
