Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-25 14:08:34,false,"Fairfax County Running","1.66","84","00:12:24","128","194","1.6","173","185","7:29","7:02","49","56","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:24","0:00","0.0","0:00","No","04:51.45","2","0.0"
Running,2020-10-24 14:38:17,false,"Fairfax County Running","2.05","155","00:15:11","164","196","3.0","172","197","7:25","6:46","68","92","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:11","0:00","0.0","0:00","No","00:19.69","3","0.0"
Running,2020-10-22 13:29:08,false,"Fairfax County Running","2.40","197","00:17:48","174","197","3.3","173","190","7:25","6:34","54","97","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","17:48","0:00","0.0","0:00","No","02:51.55","3","0.0"
Running,2020-10-18 13:26:24,false,"Fairfax County Running","2.09","153","00:14:49","166","196","2.9","175","189","7:06","6:07","48","43","1.30","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:49","0:00","0.0","0:00","No","00:33.78","3","0.0"
Running,2020-10-17 14:45:46,false,"Fairfax County Running","2.04","143","00:15:13","154","191","2.5","175","187","7:29","6:59","57","88","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:13","0:00","0.0","0:00","No","00:16.10","3","0.0"
Running,2020-10-13 14:03:53,false,"Fairfax County Running","2.08","147","00:15:01","161","196","2.8","174","187","7:13","6:28","39","22","1.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:01","0:00","0.0","0:00","No","00:33.76","3","0.0"
Running,2020-10-08 14:14:06,false,"Fairfax County Running","2.03","158","00:15:33","166","195","3.0","172","179","7:40","7:08","28","51","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:33","0:00","0.0","0:00","No","00:14.94","3","0.0"
Running,2020-10-04 10:40:28,false,"Fairfax County Running","2.10","160","00:15:52","166","199","3.0","173","185","7:33","6:18","47","49","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:52","0:00","0.0","0:00","No","00:42.08","3","0.0"
Running,2020-10-03 13:27:34,false,"Fairfax County Running","2.10","169","00:15:08","176","201","3.2","173","191","7:12","6:32","58","65","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:08","0:00","0.0","0:00","No","00:41.39","3","0.0"
Running,2020-10-01 13:28:29,false,"Fairfax County Running","2.02","172","00:14:49","180","198","3.2","173","185","7:19","6:45","60","87","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:49","0:00","0.0","0:00","No","00:10.69","3","0.0"
Running,2020-09-27 14:27:33,false,"Fairfax County Running","2.03","174","00:15:00","178","198","3.2","175","185","7:23","6:42","60","82","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:00","0:00","0.0","0:00","No","00:16.52","3","0.0"
Running,2020-09-22 13:52:59,false,"Fairfax County Running","2.06","110","00:15:33","130","155","1.5","177","187","7:32","7:00","45","20","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:33","0:00","0.0","0:00","No","00:28.01","3","0.0"
Running,2020-09-20 13:28:48,false,"Fairfax County Running","2.02","139","00:15:09","148","174","2.4","174","185","7:31","6:40","31","72","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:09","0:00","0.0","0:00","No","00:07.21","3","0.0"
Running,2020-09-16 10:54:40,false,"Fairfax County Running","1.83","131","00:13:56","151","174","2.3","172","179","7:37","6:56","72","86","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:56","0:00","0.0","0:00","No","06:08.50","2","0.0"
Running,2020-09-15 14:01:29,false,"Fairfax County Running","2.07","147","00:15:19","156","189","2.6","173","185","7:24","6:52","67","90","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:19","0:00","0.0","0:00","No","00:31.41","3","0.0"
Running,2020-09-12 12:56:16,false,"Fairfax County Running","1.82","136","00:13:16","165","193","2.7","174","187","7:16","6:30","40","59","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:16","0:00","0.0","0:00","No","05:50.96","2","0.0"
Running,2020-09-08 13:46:28,false,"Fairfax County Running","2.03","150","00:14:33","171","197","3.1","175","191","7:11","6:26","45","65","1.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:33","0:00","0.0","0:00","No","00:11.63","3","0.0"
Running,2020-09-05 12:21:15,false,"Fairfax County Running","2.05","152","00:15:02","170","190","3.0","174","190","7:21","6:51","42","64","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:02","0:00","0.0","0:00","No","00:18.82","3","0.0"
Running,2020-09-01 13:18:36,false,"Fairfax County Running","2.01","158","00:15:07","177","202","3.1","173","183","7:32","6:31","40","110","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","15:07","0:00","0.0","0:00","No","00:02.95","3","0.0"
Running,2020-08-29 12:13:41,false,"Fairfax County Running","2.01","154","00:14:40","176","202","3.2","178","191","7:18","6:42","70","107","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:40","0:00","0.0","0:00","No","00:03.71","3","0.0"
Running,2020-08-25 14:46:15,false,"Fairfax County Running","2.32","156","00:17:09","159","196","2.9","175","190","7:23","6:44","86","96","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","17:09","0:00","0.0","0:00","No","02:24.51","3","0.0"
Running,2020-08-22 13:59:04,false,"Fairfax County Running","2.46","179","00:18:30","167","196","3.2","175","187","7:30","6:36","51","85","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","18:30","0:00","0.0","0:00","No","03:36.47","3","0.0"
Running,2020-08-18 14:44:41,false,"Fairfax County Running","2.50","203","00:19:13","179","199","3.6","174","185","7:41","6:54","109","124","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","19:13","0:00","0.0","0:00","No","03:59.57","3","0.0"
Running,2020-08-15 14:40:30,false,"Fairfax County Running","2.50","179","00:18:44","166","197","3.2","172","185","7:30","6:53","104","100","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","18:44","0:00","0.0","0:00","No","03:52.93","3","0.0"
Running,2020-08-13 14:05:43,false,"Fairfax County Running","1.83","136","00:13:38","173","199","3.1","174","187","7:27","6:53","70","90","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:38","0:00","0.0","0:00","No","05:57.43","2","0.0"
Running,2020-08-11 14:55:57,false,"Fairfax County Running","2.52","207","00:19:38","179","199","3.6","172","189","7:48","7:10","66","78","1.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","19:38","0:00","0.0","0:00","No","04:10.18","3","0.0"
