Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-12-30 15:13:40,false,"Morton Running","2.03","230","00:19:11","137","154","2.1","167","185","9:26","8:33","16","16","1.02","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","19:11","0:00","0.0","0:00","No","00:19.67","3","0.0"
Running,2020-12-29 10:08:07,false,"Tremont Running","5.04","559","00:40:03","152","168","3.3","169","181","7:56","7:18","44","44","1.20","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","40:03","0:00","0.0","0:00","No","00:21.46","6","0.0"
Running,2020-12-28 10:36:01,false,"Morton Running","2.24","246","00:21:00","135","152","2.1","167","177","9:22","7:40","19","22","1.03","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:00","0:00","0.0","0:00","No","02:01.85","3","0.0"
Cycling,2020-12-27 13:15:03,false,"Morton Cycling","29.34","1,270","01:56:05","147","178","4.0","--","--","15.2","38.0","946","945","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:56:05","0:00","0.0","0:00","No","16:53.90","6","0.0"
Running,2020-12-26 12:05:37,false,"Morton Running","5.07","542","00:42:11","144","162","3.1","167","177","8:19","7:34","43","33","1.16","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","42:11","0:00","0.0","0:00","No","00:32.98","6","0.0"
Running,2020-12-24 13:59:23,false,"Morton Running","3.03","337","00:24:20","150","176","3.0","168","197","8:02","4:36","29","30","1.19","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:20","0:00","0.0","0:00","No","00:16.86","4","0.0"
Running,2020-12-24 13:37:17,false,"Morton Running","2.01","208","00:19:08","133","155","2.0","168","183","9:32","8:14","19","16","1.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","19:08","0:00","0.0","0:00","No","00:03.43","3","0.0"
Running,2020-12-21 09:12:53,false,"Jo Daviess County Running","12.52","1,059","02:34:14","--","--","--","119","212","12:19","1:42","6,217","6,260","1.09","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","2:34:14","0:00","0.0","0:00","No","08:05.22","13","0.0"
Running,2020-12-20 08:57:57,false,"East Moline Running","6.56","749","00:52:42","154","178","3.8","169","182","8:02","6:48","336","327","1.19","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","52:42","0:00","0.0","0:00","No","04:20.55","7","0.0"
Running,2020-12-18 09:27:52,false,"Morton Running","2.54","285","00:23:52","136","150","2.2","169","180","9:24","7:34","7","13","1.01","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","23:52","0:00","0.0","0:00","No","05:10.89","3","0.0"
Running,2020-12-17 16:38:56,false,"Morton Running","3.25","365","00:24:19","158","175","3.2","170","184","7:29","6:52","54","45","1.27","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:19","0:00","0.0","0:00","No","01:48.50","4","0.0"
Running,2020-12-15 13:13:08,false,"Morton Running","2.25","297","00:21:20","--","--","--","167","180","9:28","7:17","19","26","1.02","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:20","0:00","0.0","0:00","No","02:27.85","3","0.0"
Running,2020-12-13 14:27:30,false,"Morton Running","11.16","1,174","01:39:05","145","174","2.8","167","176","8:53","8:14","176","174","1.09","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:39:05","0:00","0.0","0:00","No","01:23.51","12","0.0"
Cycling,2020-12-10 16:15:32,false,"Morton Cycling","8.75","511","00:31:18","--","--","--","--","--","16.8","26.5","92","94","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","31:18","0:00","0.0","0:00","No","13:09.21","2","0.0"
Running,2020-12-09 15:36:28,false,"Morton Running","6.14","739","00:46:42","162","176","4.0","170","209","7:36","4:39","53","52","1.25","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","46:42","0:00","0.0","0:00","No","01:08.81","7","0.0"
Running,2020-12-07 16:38:42,false,"Morton Running","3.02","345","00:23:11","154","177","3.0","170","181","7:40","7:18","4","--","1.24","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","23:11","0:00","0.0","0:00","No","00:10.48","4","0.0"
Running,2020-12-04 15:20:06,false,"Morton Running","4.06","507","00:32:05","148","162","3.5","168","177","7:54","7:11","45","38","1.21","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","32:05","0:00","0.0","0:00","No","00:26.74","5","0.0"
Running,2020-12-03 08:08:36,false,"Morton Running","2.00","269","00:20:02","--","--","--","168","176","10:01","7:46","10","17","0.95","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","20:02","0:00","0.0","0:00","No","09:46.28","2","0.0"
Running,2020-12-02 14:51:18,false,"Morton Running","2.93","321","00:21:57","154","166","3.0","171","178","7:30","7:08","25","14","1.26","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:57","0:00","0.0","0:00","No","06:47.78","3","0.0"
Running,2020-12-01 16:17:19,false,"Morton Running","3.51","468","00:31:51","--","--","--","169","186","9:04","7:01","63","70","1.05","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","31:51","0:00","0.0","0:00","No","04:13.90","4","0.0"
Running,2020-11-29 11:09:36,false,"East Moline Running","6.30","733","00:52:42","154","177","3.3","168","178","8:22","7:10","361","354","1.14","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","52:42","0:00","0.0","0:00","No","02:18.80","7","0.0"
Running,2020-11-27 15:21:37,false,"East Moline Running","2.86","315","00:27:03","138","171","2.1","170","178","9:27","7:23","54","47","1.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","27:03","0:00","0.0","0:00","No","08:33.27","3","0.0"
Running,2020-11-26 11:17:25,false,"Morton Running","1.30","158","00:10:51","153","164","2.2","170","177","8:20","7:50","5","30","1.13","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","10:51","0:00","0.0","0:00","No","02:26.46","2","0.0"
Running,2020-11-26 10:51:55,false,"Morton Running","3.15","323","00:19:34","175","185","3.4","172","187","6:13","5:32","3","3","1.50","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","19:34","0:00","0.0","0:00","No","00:49.76","4","0.0"
Running,2020-11-26 10:35:33,false,"Morton Running","1.31","152","00:11:18","146","165","2.1","170","175","8:36","8:10","34","11","1.10","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","11:18","0:00","0.0","0:00","No","02:41.77","2","0.0"
Running,2020-11-23 15:44:36,false,"Morton Running","2.24","249","00:21:03","138","163","2.1","167","181","9:23","5:05","27","17","1.03","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:03","0:00","0.0","0:00","No","01:59.12","3","0.0"
Cycling,2020-11-22 13:14:53,false,"Morton Cycling","28.63","1,265","01:53:55","143","171","2.7","--","--","15.1","32.8","943","940","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:53:55","0:00","0.0","0:00","No","14:39.01","6","0.0"
