date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2020-10-16,Running,False,Oslo Running,10.11,808,00:49:16,159,175,3.7,173,195,0 days 00:04:52,0 days 00:03:36,131,138,1.18,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,49:16,0:00,13.0,0:00,No,02:00.10,11,0.0,17,17,17,11,garmin,0
2020-10-17,Running,False,Oslo Running,9.96,681,00:37:18,174,191,4.3,179,207,0 days 00:03:45,0 days 00:03:22,29,31,1.5,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,37:18,0:00,7.0,0:00,No,37:17.57,1,0.0,15,15,15,11,garmin,0
2020-10-19,Running,False,Oslo Running,7.95,745,00:59:35,140,163,2.6,153,243,0 days 00:07:30,0 days 00:01:47,215,205,0.87,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,59:35,0:00,11.0,0:00,No,59:35.07,1,0.0,16,16,16,11,garmin,0
2020-10-21,Running,False,Oslo Running,18.5,"1,435",01:34:39,158,176,4.2,167,238,0 days 00:05:07,0 days 00:02:09,232,233,1.17,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:34:39,0:00,9.0,0:00,No,01:34:38.65,1,0.0,20,20,20,11,garmin,0
2020-10-22,Running,False,Oslo Running,9.69,764,00:47:30,158,185,3.6,169,224,0 days 00:04:54,0 days 00:03:33,174,183,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:30,0:00,11.0,0:00,No,03:37.57,9,0.0,19,19,19,11,garmin,0
2020-10-26,Running,False,Oslo Running,15.4,"1,274",01:14:37,170,210,5.0,169,232,0 days 00:04:51,0 days 00:03:18,237,239,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:14:37,0:00,9.0,0:00,No,01:42.15,13,0.0,15,15,15,11,garmin,0
2020-10-29,Running,False,Oslo Running,18.08,"1,455",01:25:45,169,195,5.0,173,210,0 days 00:04:45,0 days 00:03:12,116,132,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:25:45,0:00,12.0,0:00,No,03:56.56,13,0.0,14,14,14,11,garmin,0
2020-10-30,Running,False,Oslo Running,6.03,474,00:45:05,130,167,2.2,152,232,0 days 00:07:29,0 days 00:03:08,129,117,0.88,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,45:05,0:00,12.0,0:00,No,45:05.21,1,0.0,19,19,19,11,garmin,0
2020-10-31,Running,False,Oslo Running,9.42,831,00:49:10,164,191,4.0,167,193,0 days 00:05:13,0 days 00:03:43,153,151,1.15,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,49:10,0:00,10.0,0:00,No,00:10.31,2,0.0,13,13,13,11,garmin,0
2020-11-03,Running,False,Sunndal Running,10.2,772,00:47:41,159,191,3.7,171,207,0 days 00:04:41,0 days 00:04:02,80,78,1.25,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:41,0:00,13.0,0:00,No,47:40.100,1,0.0,13,13,13,11,garmin,0
