,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-02-06,Running,False,Denver - Run Workout,2.9,346,00:26:58,150,164,3.0,148,191,0 days 00:09:18,0 days 00:08:26,43,59,1.17,10.8,12.9,303,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:58,0,0:00,64.4,0,0:00,No,0.0,0,0,0,01:58.01,5,0.0,32,21,37,0,0,0,8,garmin,0,14.827586206896552,0.8571428571428571,9.462365591397848,6.451612903225806,9.462402902831958,11.039470053303951
1,2,2020-02-07,Running,False,Lakewood Running,1.05,154,00:11:30,145,154,2.2,142,160,0 days 00:10:57,0 days 00:11:53,3,3,0.25,58.4,12.7,319,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11:30,0,0:00,77.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,35,26,40,0,0,0,8,garmin,0,2.857142857142857,0.8285714285714286,8.036529680365296,5.479452054794521,8.036530856980868,9.699261379114839
2,3,2020-02-08,Running,False,Denver - Run Workout,3.1,398,00:29:40,153,177,3.1,147,196,0 days 00:09:34,0 days 00:08:02,20,23,1.15,11.5,13.4,303,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:40,0,0:00,69.8,0,0:00,No,0.0,0,0,0,01:05.60,4,0.0,33,19,40,0,0,0,8,garmin,0,6.451612903225806,0.8742857142857143,9.198606271777003,6.2717770034843205,9.19861313867555,10.521289537700792
3,6,2020-02-12,Running,False,Denver Running,4.0,471,00:39:24,145,172,3.1,146,161,0 days 00:09:51,0 days 00:08:33,82,82,1.12,11.6,13.2,312,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,39:24,0,0:00,57.2,0,0:00,No,0.0,0,0,0,09:19.51,4,0.0,31,17,42,0,0,0,8,garmin,0,20.5,0.8285714285714286,8.934010152284264,6.091370558375635,8.93407748942731,10.782507314826063
4,7,2020-02-14,Running,False,Denver Running,3.01,383,00:27:18,158,177,3.4,147,181,0 days 00:09:04,0 days 00:06:53,3,39,1.23,10.5,12.9,298,50.3% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:18,0,0:00,68.0,0,0:00,No,0.0,0,0,0,00:10.15,4,0.0,35,18,46,0,0,0,8,garmin,0,0.9966777408637875,0.9028571428571428,9.705882352941176,6.61764705882353,9.70588252586176,10.750186341935494
5,8,2020-02-15,Running,False,Denver - Run Workout,3.05,392,00:31:08,144,161,2.9,146,202,0 days 00:10:13,0 days 00:08:35,23,33,1.1,10.9,12.0,309,51.0% L / 49.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:08,0,0:00,59.0,0,0:00,No,0.0,0,0,0,00:39.97,4,0.0,31,21,39,0,0,0,8,garmin,0,7.540983606557377,0.8228571428571428,8.61337683523654,5.872756933115824,8.613385620026438,10.467656135448797
6,9,2020-02-16,Running,False,Denver - Run Workout,9.14,"1,174",01:40:07,144,168,3.6,142,256,0 days 00:10:57,0 days 00:05:29,249,272,1.04,11.9,12.5,324,49.7% L / 50.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:40:07,0,0:00,60.8,0,0:00,No,0.0,0,0,0,01:31.13,11,0.0,31,17,40,0,0,0,8,garmin,0,27.24288840262582,0.8228571428571428,8.036529680365296,5.479452054794521,8.036636653352742,9.766745932893958
7,10,2020-02-20,Running,False,Denver - Run Workout,1.11,124,00:10:00,139,159,2.0,147,162,0 days 00:08:59,0 days 00:07:51,43,26,1.17,11.8,13.7,305,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10:00,0,0:00,60.8,0,0:00,No,0.0,0,0,0,05:00.00,2,0.0,31,18,35,0,0,0,8,garmin,0,38.73873873873873,0.7942857142857143,9.795918367346939,6.679035250463823,9.796182020169953,12.33332268726433
8,12,2020-02-21,Running,False,Denver - Run Workout,4.01,566,00:43:48,152,182,3.4,137,196,0 days 00:10:56,0 days 00:04:59,194,177,1.07,10.7,11.4,321,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,43:48,0,0:00,73.4,0,0:00,No,0.0,0,0,0,00:30.00,17,0.0,33,19,45,0,0,0,8,garmin,0,48.37905236907731,0.8685714285714285,8.048780487804876,5.48780487804878,8.049118348632854,9.267077046123353
9,13,2020-02-23,Running,False,Denver - Run Workout,6.51,875,01:10:02,148,171,3.6,141,219,0 days 00:10:46,0 days 00:07:40,164,154,1.07,11.2,12.2,320,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:10:02,0,0:00,66.2,0,0:00,No,0.0,0,0,0,00:07.83,8,0.0,32,19,42,0,0,0,8,garmin,0,25.192012288786483,0.8457142857142858,8.173374613003094,5.572755417956656,8.173467643814995,9.664573227483945
