date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-05-01,Running,False,Denver Running,5.11,783,00:57:45,171,187,4.7,141,240,0 days 00:11:18,0 days 00:03:09,194,207,1.02,12.1,12.4,322,50.1% L / 49.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,57:45,0,0:00,84.2,0,0:00,No,0.0,0,0,0,01:19.40,6,0.0,36,13,45,0,0,0,8,garmin,0
2020-05-03,Virtual Cycling,False,Zwift - Watopia,20.05,747,01:34:40,133,168,0.0,0,0,12.7,46.7,"2,156",0,0.0,0.0,0.0,0,0,76,107,158,0.0,168,137,547,0.0,0.0,0,0,0,0,0,1:34:40,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-03,Running,False,Denver Running,3.10,434,00:34:30,153,169,3.4,138,213,0 days 00:11:07,0 days 00:08:52,36,36,1.07,11.9,13.0,316,50.8% L / 49.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:30,0,0:00,84.2,0,0:00,No,0.0,0,0,0,01:20.95,4,0.0,33,18,43,0,0,0,8,garmin,0
2020-05-04,Yoga,False,Yoga,0.00,46,00:24:14,71,91,0.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,24:14,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,18,10,24,25,8,33,8,garmin,0
2020-05-05,Virtual Cycling,False,Zwift - NYC,14.31,480,00:53:08,135,162,0.0,0,0,16.2,42.3,"1,247",0,0.0,0.0,0.0,0,0,80,110,179,0.0,180,156,590,0.0,0.0,0,0,0,0,0,53:08,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-06,Running,False,Denver Running,3.10,382,00:29:40,158,176,3.4,146,254,0 days 00:09:33,0 days 00:07:34,20,43,1.16,11.8,13.3,308,50.4% L / 49.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:40,0,0:00,75.2,0,0:00,No,0.0,0,0,0,01:42.60,4,0.0,33,14,40,0,0,0,8,garmin,0
2020-05-07,Virtual Cycling,False,Zwift - Watopia,11.53,343,00:35:36,147,184,0.0,0,0,19.4,29.1,292,0,0.0,0.0,0.0,0,0,85,103,200,0.0,170,168,689,0.0,0.0,0,0,0,0,0,35:36,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-07,Running,False,Denver Running,3.05,409,00:30:18,165,177,3.6,146,153,0 days 00:09:56,0 days 00:08:27,112,115,1.1,11.9,13.2,305,49.6% L / 50.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:18,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:27.72,4,0.0,36,27,43,0,0,0,8,garmin,0
2020-05-09,Running,False,Denver Running,2.04,242,00:18:22,157,167,3.1,148,159,0 days 00:09:00,0 days 00:08:20,43,36,1.21,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,18:22,0,0:00,66.2,0,0:00,No,0.0,0,0,0,00:23.97,3,0.0,37,14,44,0,0,0,8,garmin,1
2020-05-09,Virtual Cycling,False,Zwift - 90min Riders Choice,25.11,633,01:20:20,136,151,0.0,0,0,18.7,31.0,335,0,0.0,0.0,0.0,0,0,82,95,141,0.0,151,138,304,0.0,0.0,0,0,0,0,0,1:20:20,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,1
2020-05-09,Running,False,Denver Running,8.10,"1,101",01:24:04,164,182,4.8,145,170,0 days 00:10:23,0 days 00:09:15,253,259,1.07,11.6,12.6,297,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:24:04,0,0:00,69.8,0,0:00,No,0.0,0,0,0,01:16.40,9,0.0,33,19,45,0,0,0,8,garmin,1
2020-05-10,Cycling,False,Denver Cycling,5.03,290,00:53:44,103,132,0.6,0,0,5.6,17.0,200,118,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,53:44,0,0:00,73.4,0,0:00,No,0.0,0,0,0,00:18.58,2,0.0,15,15,15,0,0,0,8,garmin,0
2020-05-13,Running,False,Denver Running,4.08,540,00:40:52,160,178,3.9,143,158,0 days 00:10:01,0 days 00:08:41,23,46,1.13,11.9,13.7,312,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:52,0,0:00,82.4,0,0:00,No,0.0,0,0,0,00:46.40,5,0.0,36,15,43,0,0,0,8,garmin,0
2020-05-15,Running,False,Denver Running,2.08,251,00:20:55,146,164,2.8,143,176,0 days 00:10:03,0 days 00:09:06,39,59,1.11,12.1,13.4,307,50.5% L / 49.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:55,0,0:00,73.4,0,0:00,No,0.0,0,0,0,00:47.21,3,0.0,30,17,40,0,0,0,8,garmin,0
2020-05-15,Virtual Cycling,False,Zwift - Innsbruck,10.80,484,01:00:40,134,171,0.0,0,0,10.7,52.1,"1,414",0,0.0,0.0,0.0,0,0,72,118,168,0.0,168,142,495,0.0,0.0,0,0,0,0,0,1:00:40,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-16,Running,False,Denver Running,5.37,659,01:01:34,138,165,3.1,139,256,0 days 00:11:28,0 days 00:08:21,167,167,1.01,11.9,12.2,319,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:01:34,0,0:00,80.6,0,0:00,No,0.0,0,0,0,03:55.20,6,0.0,29,12,39,0,0,0,8,garmin,0
2020-05-17,Running,False,Denver Running,1.04,127,00:10:10,143,160,2.3,146,156,0 days 00:09:48,0 days 00:09:18,33,16,1.13,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10:10,0,0:00,68.0,0,0:00,No,0.0,0,0,0,00:24.28,2,0.0,36,21,42,0,0,0,8,garmin,1
2020-05-17,Virtual Cycling,False,Zwift - 90min Riders Choice,25.25,561,01:24:31,123,137,0.0,0,0,17.9,25.8,203,0,0.0,0.0,0.0,0,0,81,95,120,0.0,125,117,244,0.0,0.0,0,0,0,0,0,1:24:31,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,1
2020-05-17,Running,False,Denver Running,8.05,"1,088",01:19:06,164,185,5.0,149,208,0 days 00:09:49,0 days 00:08:33,318,299,1.1,11.6,13.0,305,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:19:06,0,0:00,71.6,0,0:00,No,0.0,0,0,0,00:28.25,9,0.0,35,19,42,0,0,0,8,garmin,1
