,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-03-14,Running,False,Denver Running,3.15,325,00:27:14,151,175,3.1,147,165,0 days 00:08:39,0 days 00:07:39,46,43,1.26,10.7,13.7,297,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:14,0,0:00,53.6,0,0:00,No,0.0,0,0,0,01:21.25,4,0.0,31,16,41,0,0,0,8,garmin,0,14.603174603174603,0.8628571428571429,10.173410404624278,6.936416184971098,10.17344931473344,11.790421391247365
1,1,2020-03-15,Running,False,Denver - Run Workout,9.01,"1,244",01:41:02,154,168,3.9,142,256,0 days 00:11:13,0 days 00:07:21,279,243,1.02,12.2,12.6,319,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:41:02,0,0:00,71.6,0,0:00,No,0.0,0,0,0,00:12.50,11,0.0,34,17,43,0,0,0,8,garmin,0,30.965593784683687,0.88,7.845468053491826,5.349182763744428,7.845602973422034,8.91545792434322
2,2,2020-03-17,Running,False,Denver - Run Workout,3.77,483,00:38:27,147,164,3.2,142,187,0 days 00:10:11,0 days 00:08:39,36,33,1.11,11.6,13.1,317,50.7% L / 49.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,38:27,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:26.66,7,0.0,32,17,38,0,0,0,8,garmin,0,9.549071618037136,0.84,8.641571194762683,5.8919803600654665,8.641585327191855,10.287601579990303
3,3,2020-03-18,Running,False,Denver - Run Workout,3.88,525,00:40:23,151,168,3.3,142,157,0 days 00:10:24,0 days 00:02:01,59,75,1.08,11.8,13.0,317,50.4% L / 49.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:23,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:22.56,5,0.0,33,22,41,0,0,0,8,garmin,0,15.20618556701031,0.8628571428571429,8.461538461538462,5.769230769230769,8.461573552168325,9.806459414764614
4,4,2020-03-20,Running,False,Denver Running,3.05,332,00:25:59,160,178,3.4,148,173,0 days 00:08:31,0 days 00:07:20,46,26,1.27,10.1,13.2,298,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:59,0,0:00,57.2,0,0:00,No,0.0,0,0,0,00:27.88,4,0.0,34,18,41,0,0,0,8,garmin,0,15.081967213114755,0.9142857142857143,10.332681017612524,7.045009784735812,10.332723170786455,11.301415968047685
5,5,2020-03-21,Running,False,Denver Running,3.2,417,00:35:02,144,159,2.9,143,164,0 days 00:10:56,0 days 00:09:25,72,49,1.03,12.7,13.3,318,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0,0:00,68.0,0,0:00,No,0.0,0,0,0,02:04.92,4,0.0,34,23,45,0,0,0,8,garmin,0,22.5,0.8228571428571428,8.048780487804876,5.48780487804878,8.048853567261084,9.78159287687979
6,6,2020-03-22,Running,False,Denver - Run Workout,5.83,723,01:05:51,145,166,3.4,140,202,0 days 00:11:18,0 days 00:09:06,164,269,1.01,11.9,12.0,324,50.1% L / 49.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:05:51,0,0:00,62.6,0,0:00,No,0.0,0,0,0,10:14.76,6,0.0,31,17,39,0,0,0,8,garmin,0,28.130360205831902,0.8285714285714286,7.787610619469025,5.309734513274336,7.787721142781532,9.398973793012193
7,7,2020-03-24,Running,False,Denver - Run Workout,1.79,201,00:20:04,124,139,2.1,141,150,0 days 00:11:11,0 days 00:10:18,13,3,1.02,12.6,13.0,324,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:04,0,0:00,75.2,0,0:00,No,0.0,0,0,0,02:03.63,5,0.0,27,16,36,0,0,0,8,garmin,0,7.262569832402234,0.7085714285714285,7.868852459016393,5.365126676602086,7.868859902804444,11.105245830570789
8,8,2020-03-25,Running,False,Denver - Run Workout,3.56,453,00:40:43,140,157,2.9,139,248,0 days 00:11:27,0 days 00:09:29,20,33,1.02,11.9,12.3,326,50.9% L / 49.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:43,0,0:00,78.8,0,0:00,No,0.0,0,0,0,00:43.31,5,0.0,31,19,38,0,0,0,8,garmin,0,5.617977528089887,0.8,7.685589519650655,5.240174672489084,7.685593870151099,9.606992337688872
9,9,2020-03-31,Running,False,Denver Running,2.68,351,00:30:28,143,158,2.9,141,249,0 days 00:11:21,0 days 00:09:02,16,10,0.97,12.6,12.1,324,50.8% L / 49.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:28,0,0:00,80.6,0,0:00,No,0.0,0,0,0,08:36.97,3,0.0,31,22,40,0,0,0,8,garmin,0,5.970149253731343,0.8171428571428572,7.753303964757709,5.286343612334802,7.753308921076226,9.488315113205172
10,10,2020-04-03,Running,False,Denver Running,3.08,380,00:30:28,151,167,3.4,146,159,0 days 00:09:54,0 days 00:08:44,46,23,1.11,11.4,13.0,313,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:28,0,0:00,51.8,0,0:00,No,0.0,0,0,0,00:49.50,4,0.0,34,14,43,0,0,0,8,garmin,0,14.935064935064934,0.8628571428571429,8.888888888888888,6.0606060606060606,8.888924448990926,10.301733632936504
11,12,2020-04-05,Running,False,Denver Running,3.15,416,00:30:24,162,178,3.7,144,181,0 days 00:09:39,0 days 00:08:39,33,30,1.16,11.6,13.7,307,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:24,0,0:00,80.6,0,0:00,No,0.0,0,0,0,01:26.55,4,0.0,36,18,44,0,0,0,8,garmin,0,10.476190476190476,0.9257142857142857,9.119170984455957,6.217616580310881,9.11918893443157,9.850975700774844
12,13,2020-04-07,Running,False,Denver - Run Workout,4.18,542,00:40:18,160,180,4.0,145,158,0 days 00:09:38,0 days 00:04:50,36,43,1.16,11.5,13.5,308,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:18,0,0:00,82.4,0,0:00,No,0.0,0,0,0,00:18.31,8,0.0,35,17,44,0,0,0,8,garmin,0,8.612440191387561,0.9142857142857143,9.134948096885813,6.228373702422146,9.134960249239263,9.991362772605445
13,14,2020-04-09,Running,False,Denver - Run Workout,3.11,378,00:33:24,143,157,2.9,139,256,0 days 00:10:43,0 days 00:09:20,10,16,1.06,12.2,13.1,322,49.8% L / 50.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:24,0,0:00,68.0,0,0:00,No,0.0,0,0,0,05:00.00,4,0.0,30,16,36,0,0,0,8,garmin,0,3.2154340836012865,0.8171428571428572,8.211508553654742,5.598755832037325,8.211510076319481,10.049050792698665
