date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-03-14,Running,False,Denver Running,3.15,325,00:27:14,151,175,3.1,147,165,0 days 00:08:39,0 days 00:07:39,46,43,1.26,10.7,13.7,297,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:14,0,0:00,53.6,0,0:00,No,0.0,0,0,0,01:21.25,4,0.0,31,16,41,0,0,0,8,garmin,0
2020-03-15,Running,False,Denver - Run Workout,9.01,"1,244",01:41:02,154,168,3.9,142,256,0 days 00:11:13,0 days 00:07:21,279,243,1.02,12.2,12.6,319,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:41:02,0,0:00,71.6,0,0:00,No,0.0,0,0,0,00:12.50,11,0.0,34,17,43,0,0,0,8,garmin,0
2020-03-17,Running,False,Denver - Run Workout,3.77,483,00:38:27,147,164,3.2,142,187,0 days 00:10:11,0 days 00:08:39,36,33,1.11,11.6,13.1,317,50.7% L / 49.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,38:27,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:26.66,7,0.0,32,17,38,0,0,0,8,garmin,0
2020-03-18,Running,False,Denver - Run Workout,3.88,525,00:40:23,151,168,3.3,142,157,0 days 00:10:24,0 days 00:02:01,59,75,1.08,11.8,13.0,317,50.4% L / 49.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:23,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:22.56,5,0.0,33,22,41,0,0,0,8,garmin,0
2020-03-20,Running,False,Denver Running,3.05,332,00:25:59,160,178,3.4,148,173,0 days 00:08:31,0 days 00:07:20,46,26,1.27,10.1,13.2,298,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:59,0,0:00,57.2,0,0:00,No,0.0,0,0,0,00:27.88,4,0.0,34,18,41,0,0,0,8,garmin,0
2020-03-21,Running,False,Denver Running,3.20,417,00:35:02,144,159,2.9,143,164,0 days 00:10:56,0 days 00:09:25,72,49,1.03,12.7,13.3,318,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0,0:00,68.0,0,0:00,No,0.0,0,0,0,02:04.92,4,0.0,34,23,45,0,0,0,8,garmin,0
2020-03-22,Running,False,Denver - Run Workout,5.83,723,01:05:51,145,166,3.4,140,202,0 days 00:11:18,0 days 00:09:06,164,269,1.01,11.9,12.0,324,50.1% L / 49.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:05:51,0,0:00,62.6,0,0:00,No,0.0,0,0,0,10:14.76,6,0.0,31,17,39,0,0,0,8,garmin,0
2020-03-24,Running,False,Denver - Run Workout,1.79,201,00:20:04,124,139,2.1,141,150,0 days 00:11:11,0 days 00:10:18,13,3,1.02,12.6,13.0,324,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:04,0,0:00,75.2,0,0:00,No,0.0,0,0,0,02:03.63,5,0.0,27,16,36,0,0,0,8,garmin,0
2020-03-25,Running,False,Denver - Run Workout,3.56,453,00:40:43,140,157,2.9,139,248,0 days 00:11:27,0 days 00:09:29,20,33,1.02,11.9,12.3,326,50.9% L / 49.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:43,0,0:00,78.8,0,0:00,No,0.0,0,0,0,00:43.31,5,0.0,31,19,38,0,0,0,8,garmin,0
2020-03-31,Running,False,Denver Running,2.68,351,00:30:28,143,158,2.9,141,249,0 days 00:11:21,0 days 00:09:02,16,10,0.97,12.6,12.1,324,50.8% L / 49.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:28,0,0:00,80.6,0,0:00,No,0.0,0,0,0,08:36.97,3,0.0,31,22,40,0,0,0,8,garmin,0
