,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
11,17,2020-05-31,Running,False,New Braunfels Running,6.62,856,01:05:08,157,184,3.8,143,256,0 days 00:09:50,0 days 00:07:18,272,341,1.15,11.1,12.9,269,49.7% L / 50.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:05:08,0,0:00,87.8,0,0:00,No,0.0,0,0,0,05:12.45,7,0.0,32,16,45,0,0,0,8,garmin,0,41.08761329305136,0.8971428571428571,8.94915254237288,6.101694915254237,8.949423498717504,9.975472052710593
12,19,2020-06-01,Running,False,Laredo Running,2.78,337,00:30:57,136,153,2.2,143,175,0 days 00:11:08,0 days 00:08:35,89,95,1.01,13.0,13.2,320,50.5% L / 49.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:57,0,0:00,87.8,0,0:00,No,0.0,0,0,0,08:55.23,3,0.0,27,17,36,0,0,0,8,garmin,0,32.014388489208635,0.7771428571428571,7.904191616766467,5.389221556886228,7.9043369102208185,10.171021759475318
13,20,2020-06-03,Running,False,Laredo Running,4.22,572,00:39:14,166,179,3.8,145,172,0 days 00:09:18,0 days 00:07:30,154,148,1.2,11.7,14.2,298,50.8% L / 49.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,39:14,0,0:00,93.2,0,0:00,No,0.0,0,0,0,02:19.30,5,0.0,34,17,42,0,0,0,8,garmin,0,36.492890995260666,0.9485714285714286,9.462365591397848,6.451612903225806,9.462591593894185,9.975623668261942
14,21,2020-06-05,Running,False,Laredo Running,3.26,439,00:33:58,149,179,3.0,144,170,0 days 00:10:26,0 days 00:07:51,112,105,1.07,12.6,13.3,308,51.0% L / 49.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:58,0,0:00,91.4,0,0:00,No,0.0,0,0,0,02:20.50,4,0.0,31,13,39,0,0,0,8,garmin,0,34.355828220858896,0.8514285714285714,8.434504792332268,5.7507987220447285,8.434683341568611,9.906507280365819
15,22,2020-06-07,Running,False,Laredo Running,8.51,"1,180",01:32:01,156,179,4.0,142,192,0 days 00:10:48,0 days 00:08:35,223,220,1.05,12.9,13.7,310,50.5% L / 49.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:32:01,0,0:00,98.6,0,0:00,No,0.0,0,0,0,05:27.59,9,0.0,34,17,42,0,0,0,8,garmin,0,26.204465334900117,0.8914285714285715,8.148148148148147,5.555555555555555,8.148248496214336,9.140663377163518
16,23,2020-06-09,Running,False,New Braunfels Running,3.11,387,00:25:08,171,190,3.7,149,162,0 days 00:08:04,0 days 00:06:39,128,135,1.34,10.3,14.2,278,51.2% L / 48.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:08,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:54.99,4,0.0,36,13,43,0,0,0,8,garmin,0,41.157556270096464,0.9771428571428571,10.909090909090908,7.43801652892562,10.90942233257949,11.164613498253866
17,24,2020-06-11,Running,False,New Braunfels Running,1.44,168,00:14:55,131,149,1.9,144,240,0 days 00:10:22,0 days 00:09:09,30,26,1.09,12.6,13.9,301,50.6% L / 49.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:55,0,0:00,78.8,0,0:00,No,0.0,0,0,0,04:19.10,2,0.0,28,15,37,0,0,0,8,garmin,0,20.833333333333336,0.7485714285714286,8.488745980707394,5.787781350482315,8.488812059413743,11.340016109903855
18,26,2020-06-11,Running,False,New Braunfels Running,2.28,323,00:22:13,160,179,3.1,144,222,0 days 00:09:45,0 days 00:08:00,98,75,1.15,11.5,13.4,292,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,22:13,0,0:00,84.2,0,0:00,No,0.0,0,0,0,02:35.61,3,0.0,34,23,40,0,0,0,8,garmin,0,42.982456140350884,0.9142857142857143,9.025641025641026,6.153846153846154,9.02594008367792,9.872121966522725
19,27,2020-06-12,Running,False,New Braunfels Running,5.64,826,00:57:29,166,182,3.9,145,256,0 days 00:10:11,0 days 00:08:11,92,92,1.1,12.0,13.2,305,51.3% L / 48.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,57:29,0,0:00,89.6,0,0:00,No,0.0,0,0,0,06:29.39,6,0.0,35,18,45,0,0,0,8,garmin,0,16.312056737588655,0.9485714285714286,8.641571194762683,5.8919803600654665,8.641612434062408,9.110133590126031
20,31,2020-06-14,Running,False,New Braunfels Running,8.7,"1,205",01:30:17,163,189,4.5,144,220,0 days 00:10:23,0 days 00:08:27,387,374,1.08,12.8,14.1,304,50.7% L / 49.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:30:17,0,0:00,86.0,0,0:00,No,0.0,0,0,0,07:40.31,9,0.0,35,15,43,0,0,0,8,garmin,1,44.48275862068966,0.9314285714285714,8.475120385232746,5.778491171749599,8.475421147779727,9.099378532892345
