date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-02-06,Running,False,Denver - Run Workout,2.90,346,00:26:58,150,164,3.0,148,191,0 days 00:09:18,0 days 00:08:26,43,59,1.17,10.8,12.9,303,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:58,0,0:00,64.4,0,0:00,No,0.0,0,0,0,01:58.01,5,0.0,32,21,37,0,0,0,8,garmin,0
2020-02-07,Indoor Cycling,False,Indoor Cycling,5.00,245,00:20:26,139,174,2.6,0,0,14.7,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:26,0,0:00,80.6,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,31,15,40,0,0,0,8,garmin,0
2020-02-07,Running,False,Lakewood Running,1.05,154,00:11:30,145,154,2.2,142,160,0 days 00:10:57,0 days 00:11:53,3,3,0.25,58.4,12.7,319,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11:30,0,0:00,77.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,35,26,40,0,0,0,8,garmin,0
2020-02-08,Running,False,Denver - Run Workout,3.10,398,00:29:40,153,177,3.1,147,196,0 days 00:09:34,0 days 00:08:02,20,23,1.15,11.5,13.4,303,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:40,0,0:00,69.8,0,0:00,No,0.0,0,0,0,01:05.60,4,0.0,33,19,40,0,0,0,8,garmin,0
2020-02-09,Treadmill Running,False,Run Workout,8.02,942,01:17:36,143,157,3.4,145,256,0 days 00:09:41,0 days 00:09:35,0,0,1.05,12.9,13.8,309,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:17:36,0,0:00,75.2,0,0:00,No,0.0,0,0,0,02:42.20,8,0.0,32,19,42,0,0,0,8,garmin,0
2020-02-11,Treadmill Running,False,Treadmill Running,2.61,345,00:25:20,150,168,3.1,142,146,0 days 00:09:42,0 days 00:08:39,0,0,1.18,12.0,14.3,312,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:20,0,0:00,80.6,0,0:00,No,0.0,0,0,0,05:43.02,3,0.0,35,18,41,0,0,0,8,garmin,0
2020-02-12,Running,False,Denver Running,4.00,471,00:39:24,145,172,3.1,146,161,0 days 00:09:51,0 days 00:08:33,82,82,1.12,11.6,13.2,312,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,39:24,0,0:00,57.2,0,0:00,No,0.0,0,0,0,09:19.51,4,0.0,31,17,42,0,0,0,8,garmin,0
2020-02-14,Running,False,Denver Running,3.01,383,00:27:18,158,177,3.4,147,181,0 days 00:09:04,0 days 00:06:53,3,39,1.23,10.5,12.9,298,50.3% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:18,0,0:00,68.0,0,0:00,No,0.0,0,0,0,00:10.15,4,0.0,35,18,46,0,0,0,8,garmin,0
2020-02-15,Running,False,Denver - Run Workout,3.05,392,00:31:08,144,161,2.9,146,202,0 days 00:10:13,0 days 00:08:35,23,33,1.1,10.9,12.0,309,51.0% L / 49.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:08,0,0:00,59.0,0,0:00,No,0.0,0,0,0,00:39.97,4,0.0,31,21,39,0,0,0,8,garmin,0
2020-02-16,Running,False,Denver - Run Workout,9.14,"1,174",01:40:07,144,168,3.6,142,256,0 days 00:10:57,0 days 00:05:29,249,272,1.04,11.9,12.5,324,49.7% L / 50.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:40:07,0,0:00,60.8,0,0:00,No,0.0,0,0,0,01:31.13,11,0.0,31,17,40,0,0,0,8,garmin,0
