,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-04-08,Running,False,Philadelphia Running,10.1,938,01:28:06,182,211,196,204,0 days 00:08:44,0 days 00:00:50,237,241,0.94,0.0,0.0,0.0,0.0,0.0,1:28:06,0:00,0.0,0:00,No,00:51.82,11,0.0,0,garmin,0,23.465346534653467,1.04,10.076335877862595,6.870229007633588,10.076435385541219,9.688880178405018
1,1,2020-04-10,Running,False,Philadelphia Running,21.61,"1,457",03:35:07,165,206,188,198,0 days 00:09:57,0 days 00:06:42,1247,"1,327",0.86,0.0,0.0,0.0,0.0,0.0,3:35:07,0:00,0.0,0:00,No,05:50.45,22,0.0,0,garmin,0,57.70476631189264,0.9428571428571428,8.844221105527637,6.030150753768845,8.84474927361408,9.380794684136145
2,2,2020-04-10,Running,False,Philadelphia Running,9.19,926,01:25:47,185,204,192,200,0 days 00:09:20,0 days 00:00:26,547,457,0.89,0.0,0.0,0.0,0.0,0.0,1:25:47,0:00,0.0,0:00,No,02:49.48,10,0.0,0,garmin,0,59.52121871599565,1.0571428571428572,9.428571428571427,6.428571428571428,9.429170499007538,8.919485607169293
3,3,2020-04-11,Running,False,Philadelphia Running,2.5,397,01:05:55,140,177,120,204,0 days 00:26:19,0 days 00:01:18,83,80,0.51,0.0,0.0,0.0,0.0,0.0,1:05:55,0:00,0.0,0:00,No,10:43.96,3,0.0,0,garmin,0,33.2,0.8,3.3438885370487648,2.279924002533249,3.343954640757556,4.179943300946944
4,4,2020-04-12,Running,False,Philadelphia Running,8.56,828,01:24:08,185,202,188,206,0 days 00:09:50,0 days 00:02:57,78,82,0.87,0.0,0.0,0.0,0.0,0.0,1:24:08,0:00,0.0,0:00,No,08:40.38,9,0.0,0,garmin,0,9.11214953271028,1.0571428571428572,8.94915254237288,6.101694915254237,8.949165869158847,8.465427173528639
5,5,2020-04-13,Running,False,Philadelphia Running,6.51,398,01:00:08,140,168,192,202,0 days 00:09:14,0 days 00:04:57,116,117,0.9,0.0,0.0,0.0,0.0,0.0,1:00:08,0:00,0.0,0:00,No,05:09.82,7,0.0,0,garmin,0,17.81874039938556,0.8,9.530685920577618,6.498194945848376,9.530740192984458,11.913425241230572
6,6,2020-04-14,Running,False,Philadelphia Running,8.1,480,01:09:55,142,163,196,206,0 days 00:08:38,0 days 00:02:31,178,171,0.95,0.0,0.0,0.0,0.0,0.0,1:09:55,0:00,0.0,0:00,No,00:53.91,9,0.0,0,garmin,0,21.97530864197531,0.8114285714285714,10.193050193050192,6.94980694980695,10.193138475506508,12.561966431081965
7,7,2020-04-15,Running,False,Philadelphia Running,7.71,475,01:05:40,137,143,196,204,0 days 00:08:31,0 days 00:05:34,136,142,0.96,0.0,0.0,0.0,0.0,0.0,1:05:40,0:00,0.0,0:00,No,05:50.33,8,0.0,0,garmin,0,17.639429312581065,0.7828571428571428,10.332681017612524,7.045009784735812,10.332738678726779,13.198753786694791
8,8,2020-04-16,Running,False,Philadelphia Running,7.94,678,01:11:34,158,183,196,204,0 days 00:09:01,0 days 00:00:31,170,166,0.91,0.0,0.0,0.0,0.0,0.0,1:11:34,0:00,0.0,0:00,No,08:15.13,8,0.0,0,garmin,0,21.41057934508816,0.9028571428571428,9.759704251386319,6.6543438077634,9.75978449193123,10.809887886632692
9,9,2020-04-17,Running,False,Philadelphia Running,16.01,"1,173",02:20:15,155,197,196,236,0 days 00:08:46,0 days 00:00:38,1096,"1,083",0.94,0.0,0.0,0.0,0.0,0.0,2:20:15,0:00,0.0,0:00,No,00:02.50,17,0.0,0,garmin,0,68.45721424109931,0.8857142857142857,10.03802281368821,6.844106463878326,10.038866479658395,11.334204089936899
