date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2019-09-12,Indoor Cycling,False,Indoor Cycling,0.00,"1,175",01:30:09,129,144,2.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,82,99,234,47% L / 53% R,72.7,245,219,475,0.0,0.0,7370,0,0,0,0,1:30:09,0:00,69.8,0:00,No,00:14.31,18,0.0,0,0,0,3,garmin,0
2019-09-12,Running,False,Denver Running,6.23,730,00:45:14,147,159,3.3,178,199,0 days 00:07:16,0 days 00:06:42,144,125,1.24,7.6,9.6,255,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:14,0:00,73.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-13,Pool Swimming,False,Lap Swimming,"4,200",670,01:10:52,124,136,2.2,0,0,0 days 00:01:31,0 days 00:01:15,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1620,32,25,0,0,1:10:52,0:00,78.8,0:00,No,00:03.40,52,0.0,0,0,0,3,garmin,0
2019-09-14,Cycling,False,Steamboat Springs Cycling,100.08,"4,259",05:39:20,142,170,4.5,0,0,17.7,51.4,"7,969","7,963",0.0,0.0,0.0,0,0,85,150,236,47% L / 53% R,281.0,296,209,542,0.0,0.0,26300,0,0,0,0,5:39:20,0:00,60.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-15,Running,False,Steamboat Springs Running,23.21,"2,604",03:00:10,145,168,3.5,173,256,0 days 00:07:46,0 days 00:06:20,725,663,1.19,8.1,9.8,264,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3:00:10,0:00,44.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-15,Hiking,False,Routt County Hiking,1.51,178,00:54:27,86,115,0.1,49,160,0 days 00:36:09,0 days 00:16:48,171,194,0.91,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,54:27,0:00,78.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-16,Pool Swimming,False,Lap Swimming,"3,850",640,01:17:26,121,135,2.2,0,0,0 days 00:01:40,0 days 00:01:24,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1605,36,26,0,0,1:17:26,0:00,75.2,0:00,No,00:02.38,70,0.0,0,0,0,3,garmin,0
2019-09-16,Running,False,Louisville Running,6.21,736,00:45:15,146,170,3.3,178,192,0 days 00:07:17,0 days 00:06:38,249,253,1.24,7.6,9.7,254,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:15,0:00,80.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-17,Indoor Cycling,False,Indoor Cycling,0.00,"1,233",01:30:03,125,145,2.6,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,81,98,246,47% L / 53% R,80.4,267,230,448,0.0,0.0,7378,0,0,0,0,1:30:03,0:00,66.2,0:00,No,00:14.85,18,0.0,0,0,0,3,garmin,0
2019-09-17,Pool Swimming,False,Lap Swimming,"2,000",324,00:44:14,119,149,2.0,0,0,0 days 00:01:31,0 days 00:01:15,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,638,33,26,0,0,44:14,0:00,78.8,0:00,No,00:08.16,66,0.0,0,0,0,3,garmin,0
2019-09-17,Running,False,Denver Running,6.76,782,00:50:05,144,161,3.2,177,198,0 days 00:07:25,0 days 00:05:48,148,118,1.21,7.8,9.5,256,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:05,0:00,82.4,0:00,No,00:30.39,13,0.0,0,0,0,3,garmin,0
2019-09-18,Pool Swimming,False,Lap Swimming,"3,300",563,01:09:01,132,157,2.7,0,0,0 days 00:01:32,0 days 00:01:14,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1185,33,27,0,0,1:09:01,0:00,77.0,0:00,No,00:02.03,103,0.0,0,0,0,3,garmin,0
2019-09-18,Cycling,False,Louisville Cycling,13.92,543,00:49:40,117,151,1.7,0,0,16.8,41.5,679,656,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,49:40,0:00,75.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-09-18,Running,False,Denver Running,3.25,386,00:25:46,133,151,2.5,173,199,0 days 00:07:56,0 days 00:07:03,125,118,1.17,8.2,9.8,260,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:46,0:00,78.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
