date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2018-02-01,Indoor Cycling,False,Indoor Cycling,0.00,"1,127",01:30:03,137,156,3.2,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,90,96,218,47% L / 53% R,66.6,240,209,295,0.0,0.0,8133,0,0,0,0,1:30:03,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-02-01,Running,False,Lafayette Running,6.84,789,00:55:04,145,161,2.6,182,191,0 days 00:08:03,0 days 00:07:21,197,171,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:04,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-02-02,Pool Swimming,False,Lap Swimming,"2,600",492,00:48:25,0,0,0.0,0,0,0 days 00:01:23,0 days 00:01:08,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,713,28,22,0,0,48:25,0:00,0.0,0:00,No,00:00.00,58,0.0,0,0,0,3,garmin,0
2018-02-03,Running,False,Lafayette Running,2.85,332,00:26:01,136,151,2.0,170,178,0 days 00:09:07,0 days 00:08:10,62,69,1.03,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:01,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-02-03,Hiking,False,Allenspark Hiking,11.07,"1,811",05:10:17,107,151,1.3,81,240,0 days 00:28:02,0 days 00:09:31,"2,185","2,165",0.75,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5:10:17,0:00,0.0,0:00,No,00:00.00,12,0.0,0,0,0,3,garmin,0
2018-02-03,Indoor Cycling,False,Indoor Cycling,0.00,"2,008",02:45:02,134,150,3.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,91,99,211,48% L / 52% R,115.0,225,203,370,0.0,0.0,15131,0,0,0,0,2:45:02,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-02-04,Running,False,Lafayette Running,9.18,887,01:15:19,141,156,2.3,178,186,0 days 00:08:12,0 days 00:07:17,384,358,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:15:19,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-02-04,Hiking,False,Dillon Hiking,1.48,143,00:56:56,0,0,0.0,69,178,0 days 00:38:29,0 days 00:15:08,"1,578",0,0.73,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:56,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-02-04,Other,False,Dillon Alpine Skiing,5.17,664,01:02:29,0,0,0.0,0,0,5.0,21.9,"1,965","3,566",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:02:29,0:00,0.0,0:00,No,00:00.00,6,0.0,0,0,0,3,garmin,0
2018-02-05,Pool Swimming,False,Lap Swimming,"3,000",589,01:05:59,0,0,0.0,0,0,0 days 00:01:24,0 days 00:01:03,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,793,29,22,0,0,1:05:59,0:00,0.0,0:00,No,00:00.00,94,0.0,0,0,0,3,garmin,0
