,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2019-05-10,Running,False,Denver Running,3.29,358,00:25:30,134,148,2.2,182,202,0 days 00:07:44,0 days 00:07:03,75,59,1.13,7.6,8.8,250,47.8% L / 52.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:30,0:00,57.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,22.796352583586625,0.7243243243243244,11.379310344827585,7.758620689655173,11.379416403651824,15.710388318474532
1,6,2019-05-11,Running,False,Boulder Running,6.12,777,00:50:03,148,160,3.0,179,195,0 days 00:08:10,0 days 00:07:18,157,148,1.09,7.5,8.3,257,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:03,0:00,59.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,25.65359477124183,0.8,10.775510204081632,7.346938775510204,10.775637388497382,13.469546735621726
2,7,2019-05-12,Running,False,Boulder Running,14.06,"1,504",01:50:04,145,167,2.9,180,190,0 days 00:07:50,0 days 00:06:08,620,528,1.13,7.6,8.8,255,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:50:04,0:00,71.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,44.09672830725462,0.7837837837837838,11.23404255319149,7.659574468085107,11.234434334207958,14.333588633299808
3,9,2019-05-12,Running,False,Denver Running,6.24,711,00:50:35,139,158,2.4,178,200,0 days 00:08:07,0 days 00:07:07,285,223,1.1,8.3,9.4,258,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:35,0:00,71.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,45.67307692307692,0.7513513513513513,10.84188911704312,7.392197125256673,10.84229473720808,14.430392276140251
4,13,2019-05-14,Running,False,Louisville Running,4.57,535,00:35:02,142,168,2.7,183,190,0 days 00:07:40,0 days 00:06:49,210,194,1.14,7.6,8.9,248,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0:00,80.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,45.95185995623632,0.7675675675675676,11.478260869565217,7.826086956521739,11.478695556128768,14.954638576646634
5,17,2019-05-15,Running,False,Louisville Running,7.25,827,00:55:41,141,166,2.8,182,192,0 days 00:07:41,0 days 00:06:00,400,371,1.15,7.7,9.0,246,49.2% L / 50.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:41,0:00,82.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,55.172413793103445,0.7621621621621621,11.453362255965292,7.809110629067245,11.453987525503704,15.028281505093513
6,18,2019-05-16,Running,False,Louisville Running,9.33,975,01:10:35,136,167,2.7,180,192,0 days 00:07:34,0 days 00:05:43,367,361,1.17,7.5,9.0,253,48.5% L / 51.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:10:35,0:00,59.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,39.335476956055736,0.7351351351351352,11.629955947136564,7.929515418502203,11.63027867989067,15.820599674851278
7,22,2019-05-17,Running,False,Louisville Running,3.43,361,00:28:18,126,143,2.0,179,187,0 days 00:08:15,0 days 00:07:45,112,105,1.08,8.1,8.9,254,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:18,0:00,75.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,32.6530612244898,0.6810810810810811,10.666666666666666,7.2727272727272725,10.666870640536612,15.661675146819627
8,23,2019-05-18,Running,False,Denver Running,6.8,766,00:51:15,141,162,2.6,181,206,0 days 00:07:32,0 days 00:06:13,269,217,1.16,7.7,9.1,253,47.9% L / 52.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,51:15,0:00,62.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,39.55882352941177,0.7621621621621621,11.681415929203538,7.964601769911504,11.681743781543094,15.327110635357961
9,28,2019-05-19,Running,False,Broomfield Running,20.62,"2,065",02:35:29,140,161,3.2,182,197,0 days 00:07:32,0 days 00:05:52,1070,"1,007",1.16,7.3,8.7,254,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:35:29,0:00,55.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,51.8913676042677,0.7567567567567568,11.681415929203538,7.964601769911504,11.681980056863042,15.43690221799759
