date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2019-04-25,Running,False,Fresno Running,4.40,496,00:35:02,138,155,2.4,177,187,0 days 00:07:57,0 days 00:07:02,36,30,1.13,8.2,9.4,252,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0:00,80.6,0:00,No,17:06.21,2,0.0,0,0,0,3,garmin,0
2019-04-26,Pool Swimming,False,Lap Swimming,"3,500",709,00:59:23,145,161,2.8,0,0,0 days 00:01:30,0 days 00:01:08,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1366,33,27,0,0,59:23,0:00,78.8,0:00,No,00:03.48,27,0.0,0,0,0,3,garmin,0
2019-04-26,Cycling,False,Denver Cycling,11.64,264,01:05:10,83,129,0.5,0,0,10.7,19.7,338,282,0.0,0.0,0.0,0,0,69,137,110,0,11.3,59,68,415,0.0,0.0,3602,0,0,0,0,1:05:10,0:00,80.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-04-27,Cycling,False,Boulder Cycling,58.60,"2,217",03:02:10,131,173,4.0,0,0,19.3,45.2,"3,317","3,232",0.0,0.0,0.0,0,0,88,118,236,46% L / 54% R,150.7,336,203,476,0.0,0.0,15407,0,0,0,0,3:02:10,0:00,57.2,0:00,No,01:00.26,14,0.0,0,0,0,3,garmin,0
2019-04-27,Running,False,Boulder Running,2.59,320,00:20:02,147,165,2.5,182,201,0 days 00:07:44,0 days 00:06:45,108,92,1.14,7.0,8.2,255,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:02,0:00,73.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-04-28,Running,False,Denver Running,12.64,"1,453",01:38:16,149,171,3.1,179,200,0 days 00:07:47,0 days 00:05:21,581,220,1.16,7.5,8.9,250,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:38:16,0:00,66.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-04-28,Cycling,False,Golden Cycling,11.52,283,01:00:06,98,130,0.8,0,0,11.5,34.1,417,387,0.0,0.0,0.0,0,0,75,104,115,0,10.8,107,77,345,0.0,0.0,2810,0,0,0,0,1:00:06,0:00,78.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-04-29,Pool Swimming,False,Lap Swimming,"3,000",525,00:54:48,138,163,2.2,0,0,0 days 00:01:30,0 days 00:01:09,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1176,33,27,0,0,54:48,0:00,82.4,0:00,No,00:06.47,32,0.0,0,0,0,3,garmin,0
2019-04-29,Indoor Cycling,False,Indoor Cycling,0.00,582,01:00:27,105,120,1.8,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,85,93,166,45% L / 55% R,24.6,178,161,221,0.0,0.0,5169,0,0,0,0,1:00:27,0:00,71.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2019-04-30,Indoor Cycling,False,Indoor Cycling,0.00,963,01:15:28,129,150,3.3,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,86,94,231,48% L / 52% R,59.7,255,214,417,0.0,0.0,6547,0,0,0,0,1:15:28,0:00,73.4,0:00,No,00:16.74,15,0.0,0,0,0,3,garmin,0
