,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-04-25,Running,False,Fresno Running,4.4,496,00:35:02,138,155,2.4,177,187,0 days 00:07:57,0 days 00:07:02,36,30,1.13,8.2,9.4,252,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0:00,80.6,0:00,No,17:06.21,2,0.0,0,0,0,3,garmin,0,8.181818181818182,0.745945945945946,11.069182389937106,7.547169811320755,11.069195679695653,14.839139135823881
1,4,2019-04-27,Running,False,Boulder Running,2.59,320,00:20:02,147,165,2.5,182,201,0 days 00:07:44,0 days 00:06:45,108,92,1.14,7.0,8.2,255,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:02,0:00,73.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,41.698841698841704,0.7945945945945946,11.379310344827585,7.758620689655173,11.379665206677657,14.321347368948073
2,5,2019-04-28,Running,False,Denver Running,12.64,"1,453",01:38:16,149,171,3.1,179,200,0 days 00:07:47,0 days 00:05:21,581,220,1.16,7.5,8.9,250,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:38:16,0:00,66.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,45.96518987341772,0.8054054054054054,11.306209850107066,7.7087794432548185,11.306638269468916,14.038443488937917
3,11,2019-04-30,Running,False,Denver Running,6.53,736,00:50:03,142,154,2.6,183,204,0 days 00:07:40,0 days 00:06:36,118,131,1.14,7.5,8.8,247,48.5% L / 51.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:03,0:00,50.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,18.07044410413476,0.7675675675675676,11.478260869565217,7.826086956521739,11.478328092060675,14.954159838248062
4,15,2019-05-02,Running,False,Denver Running,6.17,644,00:50:18,136,159,2.2,178,243,0 days 00:08:09,0 days 00:06:59,295,285,1.1,8.1,9.1,257,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:18,0:00,59.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,47.81199351701783,0.7351351351351352,10.797546012269937,7.361963190184048,10.797988694433624,14.688440503457501
5,18,2019-05-04,Running,False,Boulder Running,18.02,"1,872",02:21:15,147,164,3.1,180,190,0 days 00:07:50,0 days 00:07:02,574,469,1.13,7.5,8.7,254,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:21:15,0:00,68.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,31.853496115427305,0.7945945945945946,11.23404255319149,7.659574468085107,11.234246985006214,14.138338042354759
6,21,2019-05-05,Running,False,Boulder Running,3.51,430,00:30:18,134,152,2.3,177,184,0 days 00:08:37,0 days 00:07:55,102,75,1.04,7.8,8.3,261,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:18,0:00,75.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,29.059829059829063,0.7243243243243244,10.212765957446807,6.963249516441006,10.212920635380037,14.099927742875423
7,22,2019-05-06,Running,False,Denver Running,3.13,345,00:30:15,121,162,1.4,171,196,0 days 00:09:40,0 days 00:05:57,154,151,0.97,9.4,9.2,280,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:15,0:00,69.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,49.201277955271564,0.654054054054054,9.103448275862068,6.206896551724138,9.103843507249886,13.919099577200239
8,34,2019-05-10,Running,False,Denver Running,3.29,358,00:25:30,134,148,2.2,182,202,0 days 00:07:44,0 days 00:07:03,75,59,1.13,7.6,8.8,250,47.8% L / 52.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:30,0:00,57.2,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,22.796352583586625,0.7243243243243244,11.379310344827585,7.758620689655173,11.379416403651824,15.710388318474532
9,35,2019-05-11,Running,False,Boulder Running,6.12,777,00:50:03,148,160,3.0,179,195,0 days 00:08:10,0 days 00:07:18,157,148,1.09,7.5,8.3,257,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:03,0:00,59.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,25.65359477124183,0.8,10.775510204081632,7.346938775510204,10.775637388497382,13.469546735621726
