,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
13,46,2018-02-23,Running,False,Lafayette Running,4.54,525,00:35:03,147,165,2.5,178,186,0 days 00:07:43,0 days 00:07:05,148,148,1.17,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:03,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,32.59911894273128,0.7945945945945946,11.403887688984879,7.775377969762419,11.404105040502627,14.352104982945482
14,47,2018-02-24,Running,False,Lafayette Running,2.24,279,00:20:01,137,153,2.0,172,206,0 days 00:08:56,0 days 00:06:39,52,52,1.06,8.7,8.7,273,48.5% L / 51.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:01,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,23.21428571428571,0.7405405405405405,9.850746268656716,6.716417910447761,9.850841478060147,13.302231193000928
15,49,2018-02-25,Running,False,Lafayette Running,12.14,"1,273",01:36:08,148,167,2.7,176,186,0 days 00:07:55,0 days 00:05:56,427,453,1.15,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:36:08,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,35.17298187808896,0.8,11.11578947368421,7.578947368421052,11.116036109435727,13.895045136794659
16,55,2018-02-27,Running,False,Lafayette Running,4.52,577,00:35:38,154,170,3.0,176,189,0 days 00:07:53,0 days 00:06:10,157,144,1.16,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:38,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,34.73451327433629,0.8324324324324325,11.162790697674417,7.6109936575052854,11.163032239685332,13.410136132089521
17,59,2018-03-01,Running,False,Lafayette Running,8.21,806,01:03:17,144,166,2.7,176,230,0 days 00:07:43,0 days 00:04:55,105,98,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:03:17,0:00,0.0,0:00,No,00:00.00,8,0.0,0,0,0,3,garmin,0,12.78928136419001,0.7783783783783784,11.403887688984879,7.775377969762419,11.403921142883592,14.65087091273239
18,64,2018-03-04,Running,False,Denver Running,10.36,"1,035",01:20:03,145,159,2.4,176,184,0 days 00:07:44,0 days 00:06:57,203,305,1.18,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:20:03,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,19.594594594594597,0.7837837837837838,11.379310344827585,7.758620689655173,11.379388703879183,14.51853041529413
19,68,2018-03-06,Running,False,Lafayette Running,3.01,363,00:26:16,141,166,2.1,174,186,0 days 00:08:43,0 days 00:07:54,66,66,1.06,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:16,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,21.926910299003325,0.7621621621621621,10.095602294455066,6.8833652007648185,10.095689348188328,13.246117229892487
20,70,2018-03-07,Running,False,Boulder Running,6.59,736,00:50:07,148,160,2.8,179,188,0 days 00:07:36,0 days 00:07:16,164,154,1.18,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:07,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,24.88619119878604,0.8,11.578947368421053,7.894736842105264,11.57907598166551,14.473844977081885
21,71,2018-03-08,Running,False,Lafayette Running,8.05,934,01:00:02,152,172,3.2,177,199,0 days 00:07:28,0 days 00:05:03,256,187,1.22,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:02,0:00,0.0,0:00,No,00:00.00,13,0.0,0,0,0,3,garmin,0,31.80124223602484,0.8216216216216217,11.785714285714283,8.035714285714285,11.785928053519902,14.344715065139352
22,75,2018-03-10,Running,False,Lafayette Running,3.3,409,00:25:02,153,164,2.7,173,183,0 days 00:07:35,0 days 00:06:59,49,56,1.22,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:02,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,14.84848484848485,0.827027027027027,11.604395604395604,7.912087912087912,11.604441491230933,14.031514221423024
23,77,2018-03-11,Running,False,Denver Running,12.01,"1,220",01:31:38,146,163,2.6,175,188,0 days 00:07:38,0 days 00:06:25,410,413,1.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:31:38,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,34.138218151540386,0.7891891891891892,11.528384279475981,7.860262008733624,11.528625241034627,14.608189517749356
24,83,2018-03-13,Running,False,Lafayette Running,6.83,760,00:50:06,149,166,2.8,178,188,0 days 00:07:20,0 days 00:06:27,226,233,1.23,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:06,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,33.08931185944363,0.8054054054054054,11.999999999999998,8.181818181818182,12.00023564303744,14.899621435986084
25,85,2018-03-14,Running,False,Lafayette Running,2.53,233,00:23:57,121,135,1.4,169,178,0 days 00:09:27,0 days 00:07:58,33,39,1.01,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:57,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,13.043478260869566,0.654054054054054,9.312169312169312,6.34920634920635,9.312197726615622,14.237657681189175
