,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2018-06-02,Running,False,Lafayette Running,3.45,421,00:25:03,151,162,2.7,181,188,0 days 00:07:16,0 days 00:06:53,62,56,1.23,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:03,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,17.97101449275362,0.8162162162162162,12.110091743119265,8.256880733944953,12.110161887603073,14.836953306003766
1,3,2018-06-03,Running,False,Denver Running,8.04,867,01:00:06,144,164,2.7,179,190,0 days 00:07:29,0 days 00:06:36,308,305,1.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:06,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,38.30845771144279,0.7783783783783784,11.75946547884187,8.017817371937639,11.759774987898124,15.108044255285783
2,5,2018-06-05,Running,False,Denver Running,4.54,546,00:35:11,141,163,2.6,179,191,0 days 00:07:45,0 days 00:06:22,164,180,1.17,7.7,8.9,250,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:11,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,36.12334801762115,0.7621621621621621,11.354838709677418,7.741935483870968,11.35510444790707,14.898541296899348
3,8,2018-06-06,Running,False,Lafayette Running,4.77,560,00:35:03,151,170,2.8,181,195,0 days 00:07:21,0 days 00:06:16,82,92,1.21,7.3,8.9,249,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:03,0:00,0.0,0:00,No,00:00.00,9,0.0,0,0,0,3,garmin,0,17.19077568134172,0.8162162162162162,11.972789115646258,8.16326530612245,11.972852573778894,14.668726663239044
4,10,2018-06-07,Running,False,Lafayette Running,1.87,205,00:15:08,135,144,1.7,179,186,0 days 00:08:07,0 days 00:07:13,26,33,1.11,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15:08,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,13.90374331550802,0.7297297297297297,10.84188911704312,7.392197125256673,10.84192670682889,14.857455116765516
5,18,2018-06-19,Running,False,Lake Oswego Running,3.21,479,00:30:19,153,183,3.0,173,207,0 days 00:09:27,0 days 00:05:53,558,568,0.97,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:19,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,173.83177570093457,0.827027027027027,9.312169312169312,6.34920634920635,9.317214690300931,11.265913187618773
6,19,2018-06-20,Running,False,Portland Running,5.75,777,00:55:45,150,181,2.8,169,193,0 days 00:09:41,0 days 00:06:10,938,942,0.98,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:45,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,163.1304347826087,0.8108108108108109,9.087779690189327,6.196213425129088,9.092116060218121,11.21360980760235
7,23,2018-06-26,Running,False,Denver Running,4.39,571,00:35:26,154,170,3.6,177,184,0 days 00:08:05,0 days 00:07:30,89,59,1.13,7.8,8.7,254,49.2% L / 50.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:26,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,20.273348519362187,0.8324324324324325,10.886597938144329,7.422680412371133,10.886678187899353,13.07815236858039
8,32,2018-06-29,Running,False,Louisville Running,6.01,761,00:47:30,159,182,3.8,181,190,0 days 00:07:54,0 days 00:06:45,243,217,1.13,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:30,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,40.43261231281198,0.8594594594594595,11.139240506329113,7.594936708860759,11.139567105423884,12.96113153775735
9,39,2018-07-03,Running,False,Denver Running,5.29,638,00:40:01,156,172,3.4,178,200,0 days 00:07:34,0 days 00:05:56,85,82,1.2,7.5,9.0,253,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:01,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,16.068052930056712,0.8432432432432433,11.629955947136564,7.929515418502203,11.630009799619378,13.791998800830672
