,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2019-09-12,Running,False,Denver Running,6.23,730,00:45:14,147,159,3.3,178,199,0 days 00:07:16,0 days 00:06:42,144,125,1.24,7.6,9.6,255,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:14,0:00,73.4,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,23.113964686998393,0.7945945945945946,12.110091743119265,8.256880733944953,12.110207780095388,15.240737682432972
1,4,2019-09-15,Running,False,Steamboat Springs Running,23.21,"2,604",03:00:10,145,168,3.5,173,256,0 days 00:07:46,0 days 00:06:20,725,663,1.19,8.1,9.8,264,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3:00:10,0:00,44.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,31.236535975872467,0.7837837837837838,11.33047210300429,7.725321888412017,11.33067037989387,14.456372553657697
2,7,2019-09-16,Running,False,Louisville Running,6.21,736,00:45:15,146,170,3.3,178,192,0 days 00:07:17,0 days 00:06:38,249,253,1.24,7.6,9.7,254,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:15,0:00,80.6,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,40.09661835748792,0.7891891891891892,12.082379862700229,8.237986270022883,12.082728251253581,15.310306345766524
3,10,2019-09-17,Running,False,Denver Running,6.76,782,00:50:05,144,161,3.2,177,198,0 days 00:07:25,0 days 00:05:48,148,118,1.21,7.8,9.5,256,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:05,0:00,82.4,0:00,No,00:30.39,13,0.0,0,0,0,3,garmin,0,21.893491124260354,0.7783783783783784,11.865168539325841,8.089887640449438,11.86527054028203,15.243576735778996
4,13,2019-09-18,Running,False,Denver Running,3.25,386,00:25:46,133,151,2.5,173,199,0 days 00:07:56,0 days 00:07:03,125,118,1.17,8.2,9.8,260,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:46,0:00,78.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,38.46153846153846,0.7189189189189189,11.092436974789916,7.563025210084033,11.092731265580781,15.429738978439433
5,14,2019-09-19,Running,False,Denver Running,10.11,"1,203",01:11:51,152,175,3.9,177,197,0 days 00:07:06,0 days 00:06:02,430,397,1.27,7.4,9.7,253,48.5% L / 51.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:11:51,0:00,77.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,42.532146389713155,0.8216216216216217,12.3943661971831,8.450704225352114,12.39476831566812,15.085737752622382
6,21,2019-09-21,Running,False,Denver Running,6.81,840,00:50:30,150,160,3.4,174,184,0 days 00:07:25,0 days 00:06:28,207,197,1.24,7.8,9.9,261,48.2% L / 51.8% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:30,0:00,75.2,0:00,No,24:34.31,2,0.0,0,0,0,3,garmin,0,30.39647577092511,0.8108108108108109,11.865168539325841,8.089887640449438,11.86536515536348,14.633950358281623
7,22,2019-09-22,Running,False,Denver Running,20.02,"2,108",02:34:37,142,163,3.2,174,208,0 days 00:07:43,0 days 00:06:47,945,810,1.2,8.2,10.0,259,48.6% L / 51.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:34:37,0:00,60.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,47.20279720279721,0.7675675675675676,11.403887688984879,7.775377969762419,11.40434339198139,14.857771320539134
8,26,2019-09-24,Running,False,Louisville Running,5.88,825,00:45:26,158,188,4.1,175,190,0 days 00:07:44,0 days 00:06:56,197,262,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:26,0:00,78.8,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,33.50340136054422,0.8540540540540541,11.379310344827585,7.758620689655173,11.379539427125023,13.324144265937527
9,29,2019-09-26,Running,False,Louisville Running,8.26,985,01:00:15,148,167,3.5,181,192,0 days 00:07:18,0 days 00:06:02,361,325,1.22,7.4,9.3,250,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:15,0:00,71.6,0:00,No,15:00.90,3,0.0,0,0,0,3,garmin,0,43.704600484261505,0.8,12.054794520547945,8.219178082191782,12.055207481360492,15.069009351700615
