,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-05-14,Running,False,Longmont Running,5.35,628,00:46:52,146,163,3.1,175,201,0 days 00:08:45,0 days 00:07:30,157,138,1.06,8.9,9.6,236,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:52,0:00,71.6,0:00,No,03:07.64,6,0.0,32,14,41,12,garmin,0,29.345794392523366,0.8538011695906432,10.057142857142855,6.857142857142857,10.057298190656223,11.779438291795987
1,1,2020-05-15,Running,False,Longmont Running,5.51,591,00:47:13,142,162,2.8,175,214,0 days 00:08:34,0 days 00:07:26,141,135,1.07,9.1,9.9,233,49.2% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:13,0:00,68.0,0:00,No,03:57.15,6,0.0,30,13,39,12,garmin,0,25.58983666061706,0.8304093567251462,10.27237354085603,7.003891050583658,10.272494184776072,12.370397926737382
2,3,2020-05-16,Running,False,Boulder Running,17.01,"2,587",04:51:43,128,181,3.7,110,249,0 days 00:17:09,0 days 00:07:32,5535,"5,515",0.85,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4:51:43,0:00,55.4,0:00,No,00:03.05,18,0.0,16,16,16,12,garmin,0,325.39682539682536,0.7485380116959064,5.131195335276968,3.4985422740524785,5.1409303261814605,6.867961607633045
3,4,2020-05-17,Running,False,Longmont Running,1.7,215,00:16:37,143,157,2.2,178,187,0 days 00:09:46,0 days 00:08:44,23,20,0.93,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16:37,0:00,73.4,0:00,No,06:20.72,2,0.0,16,16,16,12,garmin,0,13.529411764705882,0.8362573099415205,9.010238907849828,6.143344709897611,9.010268487673596,10.774516862882411
4,6,2020-05-17,Running,False,Boulder County Running,17.57,"2,152",03:38:16,138,162,3.7,150,246,0 days 00:12:25,0 days 00:07:35,2064,"2,060",0.86,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,3:38:16,0:00,53.6,0:00,No,05:19.54,18,0.0,18,18,18,12,garmin,0,117.47296528173023,0.8070175438596491,7.0872483221476505,4.832214765100671,7.089002210474655,8.784198391240334
5,7,2020-05-19,Running,False,Longmont Running,6.01,629,00:50:35,143,159,2.7,176,185,0 days 00:08:25,0 days 00:07:35,115,105,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,50:35,0:00,69.8,0:00,No,00:03.39,7,0.0,20,20,20,12,garmin,0,19.13477537437604,0.8362573099415205,10.455445544554454,7.128712871287129,10.455514202375198,12.502747752490622
6,9,2020-05-21,Running,False,Longmont Running,6.48,810,01:01:12,148,168,3.2,163,228,0 days 00:09:27,0 days 00:02:54,187,180,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:01:12,0:00,77.0,0:00,No,00:14.67,12,0.0,19,19,19,12,garmin,0,28.858024691358022,0.8654970760233918,9.312169312169312,6.34920634920635,9.312308398029556,10.759491459885501
7,10,2020-05-22,Running,False,Longmont Running,6.0,687,00:51:46,147,163,3.1,170,187,0 days 00:08:37,0 days 00:06:42,148,144,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,51:46,0:00,78.8,0:00,No,00:02.09,7,0.0,0,0,0,12,garmin,0,24.666666666666668,0.8596491228070176,10.212765957446807,6.963249516441006,10.212877403347667,11.880285958996266
8,11,2020-05-23,Running,False,Boulder County Running,24.03,"3,236",06:12:18,127,182,4.0,117,246,0 days 00:15:30,0 days 00:06:10,5023,"5,036",0.88,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,6:12:18,0:00,57.2,0:00,No,00:14.90,25,0.0,15,15,15,12,garmin,0,209.03037869330004,0.7426900584795322,5.677419354838709,3.870967741935484,5.681866710693829,7.650387460855471
9,12,2020-05-24,Running,False,Boulder County Running,17.5,"2,196",04:07:09,124,163,3.3,138,241,0 days 00:14:07,0 days 00:08:39,2740,"2,749",0.83,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4:07:09,0:00,48.2,0:00,No,05:23.36,18,0.0,16,16,16,12,garmin,0,156.57142857142858,0.7251461988304093,6.233766233766233,4.250295159386068,6.236506433741065,8.600343549755824
