date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2020-05-14,Running,False,Longmont Running,5.35,628,00:46:52,146,163,3.1,175,201,0 days 00:08:45,0 days 00:07:30,157,138,1.06,8.9,9.6,236,49.5% L / 50.5% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:52,0:00,71.6,0:00,No,03:07.64,6,0.0,32,14,41,12,garmin,0
2020-05-15,Running,False,Longmont Running,5.51,591,00:47:13,142,162,2.8,175,214,0 days 00:08:34,0 days 00:07:26,141,135,1.07,9.1,9.9,233,49.2% L / 50.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:13,0:00,68.0,0:00,No,03:57.15,6,0.0,30,13,39,12,garmin,0
2020-05-15,Walking,False,Longmont Walking,2.62,280,00:51:54,108,136,0.6,100,218,0 days 00:19:49,0 days 00:12:17,72,43,0.81,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,51:54,0:00,82.4,0:00,No,12:06.82,3,0.0,17,17,17,12,garmin,0
2020-05-16,Running,False,Boulder Running,17.01,"2,587",04:51:43,128,181,3.7,110,249,0 days 00:17:09,0 days 00:07:32,"5,535","5,515",0.85,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,4:51:43,0:00,55.4,0:00,No,00:03.05,18,0.0,16,16,16,12,garmin,0
2020-05-17,Running,False,Longmont Running,1.70,215,00:16:37,143,157,2.2,178,187,0 days 00:09:46,0 days 00:08:44,23,20,0.93,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16:37,0:00,73.4,0:00,No,06:20.72,2,0.0,16,16,16,12,garmin,0
2020-05-17,Cycling,False,Longmont Cycling,21.13,600,01:36:19,113,143,1.6,0,0,13.2,21.4,719,659,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:36:19,0:00,80.6,0:00,No,04:48.66,5,0.0,19,19,19,12,garmin,0
2020-05-17,Running,False,Boulder County Running,17.57,"2,152",03:38:16,138,162,3.7,150,246,0 days 00:12:25,0 days 00:07:35,"2,064","2,060",0.86,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,3:38:16,0:00,53.6,0:00,No,05:19.54,18,0.0,18,18,18,12,garmin,0
2020-05-19,Running,False,Longmont Running,6.01,629,00:50:35,143,159,2.7,176,185,0 days 00:08:25,0 days 00:07:35,115,105,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,50:35,0:00,69.8,0:00,No,00:03.39,7,0.0,20,20,20,12,garmin,0
2020-05-20,Cycling,False,Longmont Cycling,42.28,"1,225",02:49:41,121,167,2.3,0,0,14.9,30.5,"1,496","1,440",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:49:41,0:00,62.6,0:00,No,10:21.29,9,0.0,18,18,18,12,garmin,0
2020-05-21,Running,False,Longmont Running,6.48,810,01:01:12,148,168,3.2,163,228,0 days 00:09:27,0 days 00:02:54,187,180,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:01:12,0:00,77.0,0:00,No,00:14.67,12,0.0,19,19,19,12,garmin,0
